label,auriculaire,pouce,majeur,anuleur,index,acx,acy,acz,gyx,gyy,gyz
1,-58,169,66,22,166,448,6836,15116,3,-1528,746
1,-60,169,66,22,166,-44,6972,15308,19,-1479,841
1,-58,167,65,21,165,-364,6884,15628,89,-2017,1084
1,-58,169,65,19,163,-340,7048,15312,183,-2356,1647
1,-60,169,65,21,163,-132,7004,14912,179,-2850,2075
1,-60,169,65,21,163,-40,6988,14328,439,-2523,2962
1,-60,169,65,21,162,-212,6740,14776,543,-3034,2904
1,-60,167,65,21,162,-224,6696,15108,531,-3247,2545
1,-60,169,63,21,160,152,6800,15260,326,-3323,2042
1,-60,169,61,21,158,704,6808,14640,341,-2401,1532
1,-60,167,58,19,155,296,7084,14576,49,-1669,1521
1,-60,167,56,19,153,84,6736,15076,-146,-2402,1183
1,-60,167,53,19,150,160,6952,14816,47,-2134,2012
1,-60,167,51,19,150,324,6820,14480,164,-2365,2660
1,-60,165,51,19,148,248,6828,14320,516,-2583,2888
1,-58,165,48,19,147,372,6736,14436,514,-2542,3031
1,-58,167,46,19,144,720,6992,14920,365,-2854,3159
1,-55,167,44,19,142,536,6876,14816,224,-3291,3240
1,-55,165,41,19,139,1524,7224,14548,-50,-3583,2711
1,-52,165,41,19,137,1684,7028,14860,-215,-3581,1971
1,-52,165,39,19,135,1592,7092,14276,16,-3839,2795
1,-52,165,37,19,134,1688,6788,14672,-105,-3715,3219
1,-52,165,37,17,132,2172,7292,14600,-141,-3407,3097
1,-49,163,36,17,130,2280,7080,14628,-227,-3582,3213
1,-49,165,34,17,129,2304,6736,14840,-632,-4049,3115
1,-49,165,36,16,129,2312,6860,14692,-925,-4700,2899
1,-49,165,37,14,129,2636,6880,14788,-1027,-4545,2744
1,-49,163,37,14,127,2736,6548,14724,-1092,-5063,2398
1,-49,165,39,12,126,3624,6612,14728,-1076,-4511,1776
1,-52,167,41,9,126,3480,6420,14508,-1004,-3877,856
1,-52,167,39,8,126,3336,6620,14624,-1019,-3645,517
1,-52,165,41,6,126,3236,6552,14612,-1037,-3663,605
1,-55,167,42,4,126,3548,6560,14588,-1127,-3474,556
1,-58,167,44,3,126,3796,6604,14356,-1185,-2694,663
1,-60,167,48,1,126,3404,6452,14536,-1262,-2851,269
1,-60,167,51,1,127,3604,6508,14420,-1303,-2879,632
1,-63,167,56,0,129,4308,6788,13956,-1208,-2590,-85
1,-66,167,60,0,129,3660,6408,14064,-1162,-2042,-266
1,-69,167,66,-3,130,4364,6236,14244,-1277,-2184,-131
1,-74,167,72,-3,132,3840,6908,15328,-1448,-1529,137
1,-77,167,78,-3,134,4380,6552,15368,-1066,-597,775
1,-77,169,78,-4,132,4376,5644,13716,-217,670,1802
1,-80,167,78,-4,132,3600,5860,14572,15,597,1874
1,-80,169,78,-4,132,3884,5904,14612,124,771,1756
1,-80,169,77,-4,132,3800,5772,14812,81,619,1502
1,-77,169,78,-4,132,3544,5948,14888,-5,79,1090
1,-77,167,77,-4,130,3948,6080,14800,-15,39,657
1,-77,169,77,-4,129,4268,6456,14792,-228,430,192
1,-77,167,77,-4,129,3732,6644,14808,-330,254,718
1,-80,169,77,-6,130,4040,6508,14656,-281,640,1204
1,-33,91,42,30,209,2260,5020,15360,-13,-187,489
1,-30,91,42,30,209,2864,5156,14936,22,-306,88
1,-33,91,44,30,209,3104,5164,15072,-138,57,-231
1,-30,91,44,30,209,3040,5380,15252,24,-22,-239
1,-30,93,44,30,209,3268,5392,15332,41,275,43
1,-30,93,44,30,209,3056,5388,15548,159,184,402
1,-30,93,44,30,207,3132,5304,15368,179,212,608
1,-33,93,42,30,207,3048,5140,15156,160,94,290
1,-33,93,42,30,207,3372,5296,14948,-13,229,-250
1,-33,93,44,30,209,3108,5224,15228,-87,323,-609
1,-30,91,44,30,207,3152,5580,15200,6,136,-683
1,-30,93,42,30,207,3408,5700,14988,53,320,-316
1,-30,93,44,30,209,3268,5732,15236,-29,736,2
1,-33,93,42,30,207,2888,5604,15424,-68,687,361
1,-30,93,42,30,207,3152,5360,15176,1,767,190
1,-33,91,41,29,207,3468,5228,15240,-121,1685,-537
1,-33,93,41,29,207,2648,5068,15296,-49,1860,-749
1,-36,93,37,29,209,2080,5084,15468,51,843,-678
1,-36,93,36,27,209,2728,5004,15064,360,436,-687
1,-36,93,34,27,207,3344,5220,14828,523,541,-310
1,-38,93,32,27,207,2744,4928,15356,986,792,256
1,-38,93,32,27,207,3012,5180,15152,1177,1070,523
1,-38,93,30,25,207,3004,5444,15048,652,1272,585
1,-38,95,30,27,209,2760,5132,15420,458,1089,351
1,-38,95,29,25,207,2920,5480,15536,289,873,250
1,-38,97,27,25,209,2452,5032,15252,478,343,427
1,-41,97,25,27,209,2640,5524,14852,756,92,138
1,-38,99,25,27,207,2748,5448,15108,963,307,148
1,-41,100,24,27,209,2768,5544,15176,1095,676,81
1,-41,102,24,25,209,2748,5800,15096,661,846,299
1,-41,106,22,25,211,2764,5972,14944,455,820,510
1,-44,108,20,25,211,2776,5348,14532,724,971,1150
1,-41,109,22,25,211,2860,4952,14284,1326,1269,1540
1,-41,109,22,25,211,3708,4896,14932,1877,1491,1537
1,-44,111,24,25,212,3468,4524,16120,1908,926,199
1,-47,111,22,24,211,3300,5836,15972,1614,1166,121
1,-47,111,22,24,211,988,5840,16056,1339,-188,5
1,-49,115,24,21,211,1124,5840,16324,1589,-2335,-18
1,-55,117,24,19,211,2320,5788,15688,1418,-2946,-572
1,-55,120,29,17,211,2380,6232,15220,1170,-3491,-1657
1,-55,122,34,17,211,1304,4900,16244,869,-6465,-2390
1,-55,124,37,16,209,2852,5948,14956,54,-2777,-1850
1,-58,126,41,17,211,2708,6344,14584,-159,-2508,-1898
1,-55,127,44,14,209,2384,6088,15172,-707,-3346,-2221
1,-58,129,46,16,209,2352,6784,14724,-53,-3508,-1934
1,-58,131,51,12,207,2444,6296,15292,-529,-4095,-2381
1,-60,129,54,11,206,3744,6512,13212,62,-3509,-1740
1,-60,129,58,11,204,3596,6452,14792,-800,-4141,-1743
1,-60,129,61,9,202,4180,6208,14272,-986,-3165,-877
1,-63,129,61,8,201,4076,6552,14588,-942,-3253,-875
1,-52,230,12,32,4,-2312,5920,15036,-58,249,-288
1,-52,230,12,32,4,-2504,6020,14944,-10,330,-167
1,-55,232,12,32,4,-2416,5844,14960,-3,482,-69
1,-52,230,12,32,4,-2484,5964,15028,-12,699,-105
1,-52,232,12,32,4,-2812,6084,14992,-329,581,-203
1,-52,232,12,34,4,-2852,5752,15184,-428,478,-321
1,-52,230,12,32,4,-2868,5680,15252,-271,282,-384
1,-52,230,12,32,4,-2824,5784,15172,-227,125,-283
1,-52,230,12,32,4,-2712,5684,15032,-186,139,-192
1,-52,230,12,32,4,-2588,5720,14888,-68,199,-39
1,-52,230,12,32,4,-2616,5808,15248,-28,442,16
1,-52,230,12,32,4,-2848,5784,15184,-195,200,145
1,-52,230,12,32,6,-2552,5540,15028,-168,191,92
1,-58,230,12,32,4,-2616,5656,15164,-74,360,-46
1,-55,230,12,32,4,-2596,5756,15204,-135,252,-100
1,-52,230,12,32,4,-2544,5744,15232,-130,169,-98
1,-52,230,12,32,6,-2536,5844,15060,-100,272,-24
1,-52,230,12,32,6,-2488,5908,15120,-79,324,109
1,-52,230,12,32,6,-2528,5864,15244,-86,279,87
1,-55,230,10,32,6,-2816,5920,15288,-115,29,100
1,-52,230,13,32,6,-2576,5804,15104,-30,47,59
1,-52,230,12,32,6,-2544,5844,15064,-27,138,88
1,-52,228,12,32,6,-2620,5884,14972,-65,25,146
1,-52,230,13,32,6,-2448,5908,15104,-52,60,139
1,-52,230,12,32,6,-2472,6072,15196,-137,113,168
1,-52,230,12,32,6,-2544,5968,15132,-191,74,267
