label,auriculaire,pouce,majeur,anuleur,index,acx,acy,acz,gyx,gyy,gyz
1,227,126,3,8,32,272,-2528,16256,-9180,3822,480
1,221,122,3,6,31,308,-3084,16288,-8860,3653,776
1,221,124,1,6,32,216,-3460,16132,-8723,3519,940
1,218,126,1,6,31,432,-3604,16080,-8574,3593,1158
1,218,129,1,9,32,800,-4008,15916,-8582,3910,1301
1,218,135,1,9,32,796,-4040,15956,-8594,4374,1027
1,216,136,3,9,32,524,-4388,15900,-8307,4824,717
1,216,136,3,11,32,-88,-4272,15920,-7871,4725,483
1,216,136,3,11,34,-140,-4392,15848,-7676,4216,156
1,216,136,3,11,32,-172,-4376,15592,-7594,4040,-241
1,213,135,3,12,34,-360,-4416,15552,-7691,3994,-512
1,213,135,3,12,34,-324,-4236,15324,-7773,4220,-744
1,213,136,3,14,34,-536,-3900,15188,-8184,4747,-928
1,216,135,5,14,34,-1116,-4232,14720,-8082,5269,-593
1,213,133,3,14,34,-1744,-4684,14976,-7676,4778,-287
1,213,131,5,14,34,-2616,-4660,14948,-7273,3616,-306
1,213,131,5,14,34,-2788,-4716,14708,-7101,2002,-107
1,210,131,5,14,32,-2536,-4792,14328,-7159,970,-179
1,207,131,5,14,32,-2168,-4692,14208,-7551,529,-630
1,210,131,3,14,34,-1600,-4364,14388,-8387,354,-960
1,207,135,3,16,34,-880,-4576,13888,-9376,627,-1045
1,207,135,5,16,34,-492,-5092,13524,-10140,1564,-1269
1,207,136,3,16,36,-888,-5652,13872,-10755,2444,-1694
1,207,138,5,16,36,-996,-5972,13932,-11513,2742,-2000
1,207,140,5,16,36,-1024,-6508,14068,-12149,3081,-2290
1,204,144,5,17,36,-720,-6968,13892,-12582,3491,-2902
1,204,145,5,19,36,-748,-7596,14012,-12852,3491,-3881
1,204,147,5,21,34,-832,-8076,13812,-12905,3549,-4639
1,202,149,6,21,37,-1712,-9012,13916,-13148,4264,-5212
1,202,151,6,24,36,-1212,-8860,13252,-12962,3546,-4943
1,202,153,6,30,36,-1612,-9296,12816,-13054,3160,-5636
1,202,151,6,37,36,-1936,-10068,12328,-12845,2798,-5845
1,202,151,8,45,36,-1168,-10192,11212,-12679,2264,-5486
1,202,151,10,55,36,-1024,-10196,10432,-12193,1891,-5639
1,202,151,10,63,36,-2120,-10640,10472,-11584,1202,-5983
1,202,151,10,71,36,-1588,-10772,9536,-11573,1147,-6420
1,202,151,12,74,37,-2572,-10752,9328,-11348,1302,-6249
1,202,153,12,77,37,-1852,-10988,8940,-11404,965,-6126
1,199,151,12,82,37,-1712,-11196,8696,-11169,1087,-6023
1,199,151,12,84,37,-1020,-11580,8856,-11187,955,-6058
1,199,151,13,87,37,-752,-11380,9136,-11071,956,-6276
1,199,151,13,90,39,-76,-11668,9484,-11265,277,-6883
1,199,153,15,92,40,200,-11472,10580,-11740,239,-6201
1,196,151,17,94,42,-308,-12552,10240,-12173,457,-6472
1,196,151,17,97,42,724,-12140,10148,-12532,8,-6287
1,196,149,18,98,44,1088,-12776,11096,-13005,-325,-6484
1,196,153,20,98,45,364,-12724,10588,-13279,-526,-6556
1,196,153,20,100,47,1304,-12908,10892,-13588,-1833,-6392
1,199,153,24,102,49,1148,-13976,9744,-13763,-1863,-6346
1,199,154,27,103,52,784,-14288,9268,-13481,-3030,-6201
1,119,214,25,32,14,13472,-13040,4956,7461,12265,12787
1,119,216,22,27,13,12336,-11896,4484,7452,12719,13898
1,113,216,20,24,11,13576,-11816,4704,6885,14364,15934
1,113,216,18,22,11,11940,-12268,5452,6541,14731,18910
1,113,216,17,17,11,10376,-13676,6112,7199,14388,21015
1,113,216,13,17,13,8648,-15108,7476,8450,12093,21711
1,116,214,12,16,16,8408,-15084,8216,9637,8530,21636
1,119,214,8,16,21,13120,-16176,7004,11966,5601,13902
1,127,214,5,17,34,8988,-13044,8796,12763,3027,19385
1,132,216,1,19,55,11940,-18088,8256,12565,9507,26175
1,144,216,0,19,63,13384,-19044,7548,13351,12968,28523
1,149,214,-1,19,54,8084,-19544,7384,15266,19281,27149
1,155,214,-3,19,37,9504,-15972,8672,16056,23755,24908
1,160,212,-3,21,29,5060,-12684,10176,14605,24913,24677
1,163,208,-3,24,24,400,-12116,11376,13028,20678,24514
1,168,205,-1,27,24,-1944,-12424,8372,10684,19536,27192
1,166,203,0,29,22,-3028,-15120,11004,11734,15052,27727
1,152,203,0,32,22,-1780,-17064,11264,14527,12628,27659
1,138,205,0,34,21,-3288,-15704,12104,17533,15438,24920
1,130,207,1,30,22,-6780,-12504,12424,17767,11063,21896
1,124,210,1,29,24,-8428,-11456,11860,17942,7713,21957
1,121,217,3,25,24,-7900,-10232,10480,19244,4720,17828
1,119,226,1,24,26,-6580,-8400,10928,18176,4191,17393
1,113,230,3,19,26,-8944,-6108,12508,18426,3876,15512
1,113,235,1,12,26,-6920,-5528,11004,18267,3841,15348
1,116,241,1,9,26,-8364,-5708,10668,18077,3168,15896
1,113,244,1,8,24,-7948,-5052,10044,17515,1352,16181
1,119,248,1,8,22,-7408,-3868,10556,16894,-384,15763
1,121,250,1,4,22,-6904,-2480,9696,16107,-942,15806
1,121,252,1,4,21,-6544,-2804,9572,15685,-1297,15601
1,124,252,1,6,22,-5832,-2056,9076,15657,-773,15032
1,124,253,1,6,21,-5368,524,8328,13941,-228,14513
1,132,255,1,4,22,-6016,712,8680,11043,184,13763
1,138,255,1,4,21,-6732,-172,9100,8932,-384,13895
1,146,255,1,4,21,-6440,-356,8972,7530,-1893,12945
1,155,257,1,6,21,-6040,320,8908,5944,-2964,11393
1,166,255,0,4,21,-5780,1052,9156,3469,-3141,9984
1,180,257,1,6,19,-5780,916,8700,326,-3719,8177
1,193,257,0,6,19,-5776,688,9560,-2879,-4333,6716
1,207,259,1,9,19,-4972,-528,10076,-4933,-4679,5898
1,221,257,1,9,21,-4636,-3052,10788,-5547,-4486,4643
1,235,259,3,9,19,-2828,-3324,11180,-6120,-3848,2032
1,249,259,1,11,21,-3148,-4940,13108,-7168,-3598,-170
1,260,261,3,12,21,-3168,-7044,15052,-7118,-4774,-1535
1,271,261,3,16,22,-1544,-8668,15632,-7012,-5199,-2392
1,279,261,3,19,21,92,-10024,17116,-6043,-4672,-2672
1,288,261,5,21,22,-2552,-5764,27220,-6422,-4703,-3643
1,293,262,5,25,24,-1124,-8956,18388,-6274,-5532,-2445
1,299,262,6,32,24,312,-12172,14204,-4661,-1952,-2106
1,299,261,8,40,24,-2580,-11096,15140,-4267,268,-808
1,224,221,10,45,27,2376,-5812,15256,796,6869,-499
1,224,221,10,43,27,2152,-5528,14840,1236,7685,-976
1,227,223,10,42,26,1240,-4504,15304,1179,7821,-1287
1,227,223,8,40,26,556,-4172,15804,723,6887,-1603
1,227,223,8,38,26,260,-3880,15748,62,6425,-1186
1,227,223,8,37,24,-192,-4444,15912,-571,5699,-1222
1,224,221,8,35,24,-468,-5208,15516,-692,5092,-1117
1,227,219,8,34,24,-512,-4980,15164,-645,4819,-1371
1,227,221,6,34,24,-612,-4700,15056,-991,4706,-1247
1,227,221,6,34,24,-720,-4976,15020,-1505,4445,-1075
1,227,221,6,34,24,-676,-5328,15088,-1645,4455,-1315
1,227,221,8,34,24,-1464,-5300,15816,-1737,3739,-1931
1,227,221,8,34,24,-1952,-4828,16116,-2021,2991,-1195
1,227,221,8,35,24,-1776,-5044,15676,-2402,1823,-833
1,229,221,8,37,24,-1420,-5452,15480,-2633,1368,-517
1,229,221,8,38,24,-1020,-5740,15392,-2436,1189,-322
1,229,221,8,40,24,-768,-5992,15560,-2290,798,-29
1,229,221,8,40,24,-4,-5936,15252,-2258,877,-86
1,229,221,8,42,26,456,-6072,15308,-2287,1440,-186
1,229,221,8,43,26,52,-6484,15732,-2156,1769,-392
1,229,221,8,43,26,32,-6360,15788,-1964,1874,-249
1,229,221,8,45,26,-252,-6440,16024,-1807,1161,-212
1,229,221,8,45,26,-84,-6792,15820,-1467,1184,8
1,229,221,10,45,26,0,-6840,15932,-1167,1027,20
1,229,223,6,47,26,12,-7032,15880,-940,995,-95
1,229,221,8,47,26,168,-6764,15724,-608,1038,-156
1,229,221,8,45,26,48,-6896,15880,-236,897,-253
1,229,221,10,45,26,168,-6856,15780,59,1082,-407
1,232,221,8,45,22,252,-6472,15744,49,1130,-514
1,229,221,10,45,26,200,-6284,15800,-77,1141,-510
1,229,221,8,47,27,164,-6280,15640,-129,1097,-485
1,229,223,10,47,26,176,-6368,15472,70,1142,-742
1,229,221,8,47,27,180,-6032,15428,141,1459,-976
1,229,221,8,47,27,-152,-5864,15528,18,1379,-968
1,229,221,8,47,26,-344,-5948,15532,21,1381,-890
1,229,221,10,47,26,-508,-5964,15516,0,1406,-864
1,229,221,8,47,26,-660,-6100,15664,-22,1344,-893
1,229,221,10,47,26,-944,-6072,15608,-21,1172,-997
1,229,221,10,47,27,-1144,-5992,15636,-30,905,-970
1,229,221,8,47,26,-1460,-6268,15700,-12,686,-666
1,229,221,8,47,27,-1192,-5880,15492,113,524,-700
1,229,221,10,47,26,-1476,-6104,15604,188,543,-660
1,229,221,8,47,31,-1024,-5688,15304,292,516,-547
1,229,221,8,47,27,-1348,-5636,15564,319,498,-328
1,229,221,10,47,26,-1348,-5392,15512,127,325,38
1,229,221,8,47,27,-1364,-5388,15448,-46,-3,346
1,229,221,10,47,26,-1168,-5480,15304,-63,-119,342
1,229,221,10,47,27,-944,-5476,15212,-189,-52,214
1,229,221,10,47,26,-996,-5700,15400,-196,-310,239
1,229,221,10,47,27,-476,-5748,15372,-153,-400,268
1,213,219,12,42,31,-5248,-4888,14808,165,483,-1112
1,213,219,13,43,31,-5332,-4828,14896,205,422,-1373
1,213,219,13,43,32,-5332,-4832,14956,201,370,-1482
1,213,217,12,43,31,-5328,-4932,14924,261,411,-1347
1,216,217,12,42,31,-5424,-4924,14988,324,539,-1033
1,213,219,12,43,32,-5524,-4868,14908,330,517,-801
1,213,217,12,42,31,-5620,-4984,14896,334,664,-894
1,213,217,12,42,31,-5692,-4732,14840,343,605,-985
1,213,217,12,43,34,-5760,-4672,14932,241,381,-968
1,213,217,12,43,31,-5592,-4776,14768,244,188,-836
1,213,217,12,43,31,-5484,-4780,14816,220,380,-890
1,213,217,12,42,31,-5548,-4748,14864,191,435,-1049
1,213,217,12,43,31,-5548,-4784,14872,167,397,-1188
1,213,217,12,43,31,-5572,-4708,14788,104,289,-1233
1,213,217,12,42,31,-5652,-4620,14944,44,202,-1045
1,213,217,12,42,32,-5528,-4780,14864,104,158,-775
1,213,217,12,43,31,-5624,-4760,14944,109,190,-531
1,213,217,12,43,31,-5388,-4796,14864,125,157,-365
1,213,217,12,42,31,-5292,-4832,14856,121,238,-495
1,213,217,12,43,31,-5224,-4760,14804,142,172,-716
1,213,217,12,43,31,-5300,-4560,14816,32,169,-612
1,213,217,10,42,29,-5156,-4780,14824,-47,141,-624
1,213,217,12,43,29,-5164,-4900,14860,-71,243,-828
1,213,217,10,42,31,-5180,-5060,15000,-37,160,-1178
1,213,217,10,43,31,-5200,-5348,14980,33,-51,-1671
1,210,217,12,43,31,-5224,-5020,14992,96,-183,-2318
1,210,217,12,43,31,-5164,-4936,15088,59,-434,-2635
1,213,217,12,43,31,-5208,-4744,14932,-72,-465,-2569
1,213,217,12,43,31,-5016,-4724,15000,-137,-555,-2191
1,213,217,10,43,31,-5004,-4740,14868,-146,-450,-1537
1,213,217,12,42,31,-4808,-4816,14896,-127,-71,-933
1,213,216,12,42,31,-4760,-4824,14960,-85,22,-500
1,213,217,10,42,31,-4800,-4884,15052,-10,261,-441
1,213,217,12,43,31,-4900,-4820,15068,6,233,-481
1,210,217,12,43,29,-5092,-4820,14968,7,73,-613
1,213,217,12,43,31,-4932,-4664,14940,-88,46,-627
1,213,217,12,43,31,-5048,-4860,14892,-115,66,-828
1,213,217,12,43,31,-5276,-4656,14848,-191,31,-1116
1,213,217,10,40,31,-5336,-4532,14956,-298,-80,-967
1,213,216,12,43,31,-5276,-4552,14868,-372,-158,-515
1,213,216,12,42,31,-5260,-4720,14920,-420,-154,109
1,213,217,12,43,32,-5100,-4968,14920,-429,-58,425
1,213,216,12,43,31,-5028,-5112,14900,-450,62,437
1,213,217,12,43,31,-5012,-5244,14972,-381,52,214
1,213,216,12,43,31,-4980,-5220,15124,-373,-258,-85
1,210,217,10,43,32,-4824,-5228,15032,-394,-377,-419
1,213,217,12,43,31,-4644,-5352,15036,-389,-490,-722
1,210,217,12,43,31,-4468,-5284,15000,-435,-424,-898
1,213,216,12,43,31,-4336,-5344,14980,-340,-336,-923
1,213,217,12,43,31,-4388,-5288,14936,-262,-161,-1000
1,210,216,12,43,31,-4056,-5468,15100,-108,385,42
1,210,216,10,42,32,-4092,-5524,15040,-150,409,-26
1,213,217,12,42,32,-4148,-5504,15212,-131,386,-109
