label,auriculaire,pouce,majeur,anuleur,index,acx,acy,acz,gyx,gyy,gyz
1,119,142,135,132,134,232,6660,15268,-127,1092,478
1,119,140,135,132,134,160,6656,15248,-258,915,650
1,116,140,135,132,134,192,6516,15112,-392,800,639
1,119,142,135,132,134,292,6500,15048,-458,769,681
1,119,140,137,132,134,312,6460,14984,-379,570,737
1,116,140,137,132,134,520,6412,15028,-289,679,851
1,119,140,137,132,134,568,6432,15136,-222,817,1001
1,119,140,137,132,134,588,6444,15124,-164,812,1216
1,119,142,137,132,134,536,6284,15324,-154,747,1270
1,119,142,137,132,134,720,6232,15224,-104,787,1341
1,119,142,137,132,134,776,6152,15228,-53,824,1375
1,119,142,137,132,134,676,6248,15216,17,778,1420
1,116,142,137,132,134,676,6256,15084,35,588,1391
1,121,140,137,132,134,948,6328,15032,22,773,1319
1,119,142,137,132,134,1028,6400,15016,75,858,1294
1,119,142,138,132,134,1168,6408,15056,0,941,1337
1,119,142,138,131,134,1172,6348,15136,-53,1045,1382
1,119,140,138,132,134,980,6264,15136,-33,1167,1445
1,119,142,137,132,134,816,6272,15212,-75,1064,1375
1,119,140,138,131,134,924,6176,15148,3,884,1295
1,119,142,138,132,134,1048,6212,15004,-40,720,1108
1,116,142,137,132,135,1156,6236,14960,-27,812,945
1,119,140,138,132,134,1128,6348,15052,-7,834,937
1,119,142,138,132,134,1040,6408,15196,-76,857,899
1,119,140,140,132,134,1196,6372,15116,6,888,1048
1,119,142,138,132,134,1148,6344,15088,-6,1008,1118
1,119,142,138,129,135,1128,6264,14968,-40,1028,1042
1,119,142,138,132,134,1000,6264,14980,-58,1093,941
1,119,140,138,131,134,872,6312,14984,-66,1072,805
1,119,140,138,132,134,988,6320,15032,2,1097,815
1,119,140,138,132,134,816,6392,15212,83,1092,895
1,119,140,138,132,134,772,6368,15172,134,993,1052
1,119,140,137,132,134,708,6372,15148,98,757,1003
1,119,140,138,132,134,768,6272,15040,62,828,839
1,119,140,138,132,134,792,6220,15140,35,755,731
1,119,140,137,132,134,792,6432,15212,-27,739,724
1,119,140,138,132,134,820,6324,15228,-97,800,687
1,116,140,138,132,134,732,6368,15140,-104,731,787
1,119,140,138,132,135,788,6412,15076,-78,652,857
1,119,142,138,131,135,728,6372,15184,-50,677,891
1,119,140,138,132,135,744,6328,15052,9,589,913
1,119,140,138,131,134,696,6184,15004,6,570,790
1,119,140,138,132,134,860,6324,15028,20,585,672
1,119,140,137,132,134,856,6436,15140,84,614,709
1,119,140,137,131,132,836,6468,15180,83,548,810
1,119,140,137,132,135,932,6404,15180,14,604,854
1,119,142,138,131,134,828,6300,15176,-37,615,824
1,119,140,137,132,134,760,6316,15124,-92,600,707
1,121,140,138,132,135,816,6328,15132,-48,517,635
1,119,140,137,132,134,948,6304,15144,16,488,561
1,152,178,154,128,148,2364,5888,14960,55,74,-247
1,149,178,154,128,148,2172,6068,15080,-67,286,-181
