label,auriculaire,pouce,majeur,anuleur,index,acx,acy,acz,gyx,gyy,gyz
1,224,167,171,186,180,2828,1212,16164,-75,340,37
1,218,165,171,186,180,2820,1312,16184,-106,362,40
1,227,169,174,189,183,2788,1284,16124,-141,353,66
1,227,169,173,189,183,2764,1244,16112,-154,388,110
1,224,169,173,191,183,2820,1264,16240,-180,374,150
1,224,169,173,191,183,2752,1148,16268,-188,395,183
1,224,169,173,189,183,2704,1076,16296,-163,378,183
1,224,169,173,191,183,2672,980,16272,-152,367,155
1,224,171,173,189,183,2656,984,16252,-131,344,122
1,224,169,174,191,183,2680,984,16276,-140,319,96
1,227,169,173,189,183,2720,944,16252,-119,291,56
1,224,169,173,189,183,2708,1028,16276,-90,299,41
1,224,169,173,189,183,2772,1052,16280,-72,334,42
1,224,169,173,189,183,2812,1092,16192,-65,315,60
1,224,169,173,189,183,2776,1072,16308,-67,332,41
1,224,169,174,189,183,2828,1120,16216,-55,345,43
1,224,169,173,189,183,2900,1084,16272,-94,376,21
1,224,167,173,189,183,2872,1116,16232,-93,372,9
1,224,169,173,189,183,2868,1036,16148,-106,385,18
1,224,169,173,191,183,2784,1048,16232,-94,385,59
1,224,169,173,189,183,2752,1112,16260,-101,396,52
1,224,169,173,191,183,2820,1056,16204,-72,363,43
1,224,171,174,191,183,2796,1044,16188,-77,342,51
1,224,169,174,189,183,2824,1084,16180,-75,395,37
1,224,169,174,189,183,2828,1056,16212,-61,357,18
1,224,169,173,189,183,2780,1092,16212,-75,349,13
1,224,169,173,189,183,2792,1028,16280,-59,341,-8
1,224,169,173,191,183,2672,1064,16228,-61,312,12
1,227,169,173,189,183,2716,1148,16260,-45,326,7
1,224,169,174,189,183,2796,1164,16220,-61,282,14
1,224,169,173,189,183,2816,1100,16184,-56,323,1
1,224,169,173,189,183,2784,1148,16148,-73,316,52
1,224,171,174,189,183,2784,1136,16160,-61,299,62
1,224,169,173,191,183,2804,1156,16212,-82,344,77
1,224,172,173,191,181,2884,1128,16220,-70,342,83
1,224,169,173,189,183,2852,1052,16180,-99,324,59
1,218,167,171,186,180,2856,1040,16196,-103,363,61
1,218,165,169,186,180,2852,1024,16160,-86,371,32
1,218,165,169,186,180,2812,1076,16228,-41,383,24
1,216,165,169,186,180,2812,972,16176,-38,365,15
1,224,169,173,189,183,2820,1076,16312,-53,350,1
1,224,169,173,189,183,2804,1128,16200,-32,393,17
1,224,169,173,189,183,2824,1020,16204,-2,365,-44
1,224,169,173,189,183,2816,1092,16244,-7,359,-51
1,224,169,174,189,183,2768,1120,16220,-11,377,-36
1,224,169,173,189,183,2748,1120,16220,-35,377,-48
1,224,169,173,189,183,2776,1192,16224,-51,367,-16
1,224,169,173,189,183,2800,1196,16208,-85,358,-31
1,224,169,173,189,183,2732,1184,16212,-77,337,4
1,218,169,173,189,183,2696,1152,16272,-61,362,13
1,224,97,174,192,188,3424,1352,16024,-68,353,196
1,224,97,173,189,188,3432,1300,16056,-102,324,124
1,224,99,173,189,189,3484,1360,15956,-93,323,77
1,227,99,174,191,188,3608,1272,16084,-122,385,17
1,224,100,174,189,188,3656,1376,15936,-124,481,-53
1,224,102,174,191,189,3620,1296,16028,-126,569,-116
1,221,100,173,188,188,3796,1360,16120,-94,502,118
1,221,102,173,189,188,3548,1240,16196,-83,416,197
1,221,100,171,189,188,3568,1252,16144,-124,300,129
1,224,102,173,188,186,3524,1160,16084,-103,308,74
1,221,100,173,188,188,3592,1180,16040,-140,344,20
1,224,102,173,189,188,3492,1200,16032,-124,304,-43
1,221,102,173,188,188,3544,1336,15984,-69,284,-70
1,221,100,173,189,188,3452,1296,16008,-84,279,-57
1,221,100,173,189,188,3580,1332,15944,-80,344,-5
1,221,100,173,189,188,3552,1300,15996,-78,370,72
1,224,102,173,189,186,3548,1364,16012,-57,415,149
1,221,100,173,189,188,3520,1360,16096,-15,480,182
1,221,102,173,189,188,3476,1340,16012,-53,476,89
1,221,102,173,189,188,3484,1336,16076,-20,440,-19
1,224,102,171,189,186,3556,1348,15980,-52,501,-40
1,224,104,173,189,186,3456,1372,15936,-95,648,-88
1,221,106,173,189,188,3536,1300,15840,-131,944,-176
1,221,111,171,189,186,3660,1260,15844,-122,1180,-225
1,221,117,173,189,186,3596,1524,15908,-113,1283,-48
1,221,122,173,189,186,3720,1564,16036,-339,1331,183
1,221,126,173,189,186,3568,1488,16124,-527,1210,480
1,224,127,173,189,186,3376,1192,16276,-307,1054,415
1,224,129,173,189,186,3396,1096,16108,-246,696,-10
1,221,129,173,189,186,3336,1136,16152,-247,652,-173
1,224,129,171,189,186,3248,1068,16156,-324,641,-232
1,221,131,173,189,188,3228,1076,16064,-341,663,-241
1,224,133,173,189,186,3228,1168,16096,-347,630,-232
1,221,133,171,189,186,3304,1088,16136,-291,686,-159
1,221,135,171,188,186,3240,1128,16156,-268,699,-66
1,221,135,169,188,184,3200,1156,16104,-204,655,11
1,221,136,171,188,184,3160,1180,16164,-120,654,46
1,218,136,171,188,184,3176,1252,16148,-131,539,-20
1,218,138,169,186,184,3116,1232,16180,-126,442,-100
1,218,138,171,188,184,3208,1332,16116,-133,392,-114
1,218,138,171,189,184,3232,1352,16128,-171,340,-100
1,218,138,171,188,184,3260,1304,16180,-164,318,-34
1,218,138,171,189,184,3304,1292,16056,-174,298,57
1,218,138,171,188,184,3264,1256,16152,-200,332,68
1,221,140,169,188,184,3284,1304,16104,-204,336,-2
1,218,140,171,188,184,3228,1300,16128,-177,365,-29
1,218,140,171,188,184,3304,1328,16104,-160,398,86
1,221,140,169,188,184,3316,1252,16092,-116,435,185
1,221,140,171,188,184,3304,1136,16128,-101,419,242
1,218,142,169,188,184,3328,1140,16136,-100,405,268
1,268,88,224,209,211,4264,2496,15436,528,-121,-834
1,268,88,224,209,207,4304,2708,15556,709,320,-553
1,268,88,224,207,209,4076,2684,15788,990,268,-345
1,265,88,224,209,207,4080,2564,15680,1464,285,-263
1,268,88,226,209,211,4064,2596,15780,1712,414,-265
