label,auriculaire,pouce,majeur,anuleur,index,acx,acy,acz,gyx,gyy,gyz
1,204,61,13,17,63,-1828,7272,15132,1653,2379,2295
1,202,59,13,17,62,-2076,6328,15708,1202,2293,3294
1,199,59,13,17,58,-2348,5636,16124,943,1084,2975
1,202,59,15,19,60,-2212,5276,16008,923,-434,1423
1,207,61,13,19,62,-844,5752,14996,803,-596,402
1,202,59,13,19,62,-732,6676,14716,447,-982,-302
1,204,57,13,17,62,-104,7792,14792,-79,-808,410
1,202,57,13,19,67,68,7408,14528,-687,-145,1508
1,204,55,13,17,58,460,7748,14592,-1313,898,2037
1,202,55,13,16,67,-172,7468,15532,-1980,1185,2746
1,204,57,13,16,67,-544,6800,15428,-2532,403,2850
1,204,55,13,17,72,424,6636,15048,-2823,352,2534
1,207,55,13,16,76,588,5820,15196,-2765,610,2002
1,204,57,12,16,78,492,5724,15264,-2913,720,1271
1,204,57,10,14,80,552,6520,15444,-3422,981,81
1,207,57,12,16,76,-300,7836,15600,-4551,1369,-152
1,207,54,12,16,70,-1360,9140,13876,-4865,648,382
1,204,55,13,16,63,-1040,10376,12904,-5887,1240,388
1,207,55,13,14,58,-2372,11280,13048,-6941,2314,1153
1,204,54,10,16,57,-3572,10480,13720,-7526,1622,1442
1,204,55,15,14,52,-3144,9692,14072,-8331,-253,1444
1,204,55,13,14,54,-1888,7360,13900,-9243,-812,981
1,204,55,12,16,55,-1076,4936,14168,-9479,-637,253
1,210,57,12,16,60,-748,1840,16104,-9446,-1712,-814
1,216,61,15,17,63,-216,-2128,17532,-8616,-3307,-2176
1,216,59,13,19,68,2140,-4720,17860,-7302,-4155,-3599
1,221,61,17,21,76,3740,-6980,18528,-5594,-3602,-4235
1,210,57,12,17,76,4276,-8196,19596,-3874,-3363,-4700
1,218,61,15,21,83,5056,-8224,19320,-2508,-2900,-4527
1,216,61,15,19,83,5272,-7756,18616,-1189,-1304,-3953
1,216,61,17,21,83,4544,-6660,17876,355,526,-3288
1,216,55,13,19,83,3076,-4524,17444,1505,2295,-1965
1,213,61,17,17,83,1620,-2724,17248,2409,3791,-252
1,216,59,15,19,83,-24,-1804,16948,3399,4530,1193
1,216,61,15,19,81,-868,-8,16920,4047,5260,2185
1,216,63,13,17,76,-2068,1068,16404,4358,5030,2925
1,213,61,15,19,73,-2912,2396,16184,4342,4188,2467
1,216,61,15,17,68,-3272,3724,15776,4357,3327,2235
1,213,61,15,19,65,-3768,5464,15412,4046,2185,1704
1,213,61,15,19,65,-3948,6752,15216,3148,1116,1963
1,213,59,13,21,58,-3640,7504,14792,2427,408,2099
1,213,61,13,19,57,-3184,8216,14452,1878,337,2431
1,213,61,15,19,54,-3580,8688,14920,981,40,2530
1,210,61,17,17,55,-3532,8492,14820,-14,-954,2567
1,204,61,15,17,54,-3032,8092,14676,-959,-1575,2355
1,210,61,15,17,52,-2064,7428,14468,-1612,-2014,2020
1,210,63,15,19,49,-1148,6180,15040,-2100,-1852,1556
1,210,59,15,17,50,-788,4404,16320,-2317,-2103,875
1,210,63,13,17,49,-324,2960,16456,-2291,-2688,389
1,210,63,15,16,50,896,1108,16524,-1871,-3267,-154
1,193,79,20,25,47,-3140,392,15668,-4831,1366,11785
1,196,79,22,25,47,-3392,160,15848,-4332,1868,11862
1,193,79,22,24,47,-3668,72,16196,-3811,1928,11741
1,188,77,17,24,45,-3836,368,16488,-3748,1501,11589
1,188,75,18,24,45,-3380,-68,16032,-3718,1558,11385
1,185,75,18,22,47,-3500,-108,16072,-3693,1839,10707
1,185,75,18,21,44,-3680,412,16184,-3826,1647,10521
1,185,73,18,22,45,-3624,28,15796,-3788,1527,10379
1,185,75,18,21,44,-3860,228,16012,-3797,1789,10010
1,182,72,18,22,44,-4000,716,16088,-4108,1783,10632
1,185,73,18,22,42,-4152,-152,16176,-4013,1760,10936
1,182,73,18,21,40,-4264,116,16260,-3855,1492,10732
1,185,73,20,22,44,-4036,208,16188,-3746,1321,11205
1,185,73,22,22,45,-3808,-280,16080,-3557,1238,11137
1,182,77,17,21,37,-3576,-308,15676,-3330,1364,10788
1,182,75,18,21,44,-3520,184,15916,-3311,1720,10756
1,182,75,20,22,44,-3660,-152,15936,-3282,1692,10549
1,182,75,20,21,45,-3700,-116,16008,-3307,1706,9870
1,185,75,18,22,44,-3856,-32,15988,-3374,1497,9433
1,185,75,18,22,44,-3864,-8,16024,-3225,1345,8921
1,185,73,20,22,44,-3944,-224,16104,-3074,1155,8375
1,188,75,18,19,44,-3760,-36,16132,-3031,955,8280
1,185,77,20,22,45,-3716,-284,15972,-3055,1097,8277
1,188,75,18,22,44,-3696,16,16012,-3241,1419,8640
1,191,77,18,24,47,-4452,-384,17384,-3482,-404,8639
1,191,79,22,24,50,-3676,104,15660,-3462,1225,9797
1,199,81,24,25,50,-4104,-464,15960,-3322,1429,9706
1,199,81,22,25,50,-4184,-288,16064,-3277,1223,9813
1,210,86,25,29,52,-4004,-236,15752,-3440,1185,10031
1,202,82,24,27,49,-3764,-780,15600,-3238,1590,10060
1,204,84,25,29,52,-4096,-680,15808,-2936,2120,9497
1,207,86,25,27,52,-4592,108,16040,-2999,1740,9254
1,221,91,27,34,58,-4784,-88,16036,-3085,1251,9489
1,221,88,29,34,57,-4584,-388,15912,-3070,1194,9064
1,218,91,30,34,58,-4556,-320,15776,-2988,1167,8665
1,224,93,30,35,58,-4820,-248,15912,-3100,1099,8219
1,221,93,30,34,50,-4568,-92,15812,-3198,962,8238
1,227,91,32,32,52,-4292,-356,15688,-3148,1014,8276
1,221,91,29,34,58,-4304,-696,15148,-2965,692,7895
1,221,91,30,35,57,-4608,-828,16020,-2854,1288,8087
1,218,91,27,32,57,-5164,-756,16184,-2808,796,7960
1,218,90,29,27,55,-4616,-664,15908,-2778,449,7779
1,216,88,27,32,55,-4640,-848,15760,-2868,593,7443
1,216,88,29,32,55,-4352,-1116,15636,-2791,782,7430
1,216,88,27,32,55,-4596,-1368,15784,-2459,1118,7069
1,213,91,27,32,55,-4592,-1148,16032,-2242,850,6362
1,216,90,29,32,55,-4712,-868,16060,-2207,604,6136
1,216,88,27,32,55,-4584,-1004,16104,-2093,297,5814
1,216,88,29,30,55,-4708,-936,16020,-2032,205,5335
1,213,88,27,30,55,-4552,-508,15932,-2022,-1,5158
1,193,79,25,27,47,-1220,-504,16520,2054,-2475,-14628
1,193,77,27,29,47,-1100,-524,16664,1978,-2909,-16795
1,193,81,32,27,47,-1088,228,16492,1715,-3386,-19150
1,193,79,27,27,47,-1204,608,16496,1515,-3823,-20260
1,193,79,27,27,47,-1092,656,16308,1407,-4096,-21266
1,193,79,25,29,47,-872,840,16244,1350,-4062,-21732
1,188,79,27,27,45,-756,1196,16144,1231,-3914,-22101
1,191,77,27,27,47,-536,1556,16100,1119,-3745,-22145
1,191,77,27,22,45,-384,1748,16048,895,-3550,-22057
1,185,77,24,25,45,4,2368,15988,697,-3339,-21860
1,182,73,24,25,44,440,2516,15464,478,-2884,-21808
1,182,72,27,25,40,776,2948,15316,-67,-1943,-22024
1,182,72,24,24,42,768,3248,15192,-583,-1309,-22520
1,180,70,25,24,42,832,3508,15068,-1102,-604,-22985
1,180,70,24,22,40,724,3072,14836,-1140,-31,-23861
1,180,68,24,25,42,280,2484,14228,-1287,1161,-24906
1,180,70,25,24,40,-1012,1600,15540,-1208,638,-26706
1,180,68,24,25,40,-2060,952,16572,-1406,-861,-29156
1,180,66,25,24,40,-2660,764,16552,-1822,-2135,-30777
1,180,68,25,24,42,-2700,744,16904,-2329,-3217,-31755
1,177,66,25,25,34,-2324,-792,16836,-2148,-3816,-31566
1,177,64,25,25,40,-2852,-1208,17052,-1810,-4606,-32308
1,177,66,24,24,42,-3272,-1096,18680,-1529,-5933,-32316
1,177,66,24,24,42,-2684,-764,17544,-1137,-6690,-31029
1,177,66,24,25,42,-1944,-548,16928,-1124,-7065,-29133
1,177,70,24,24,42,-1204,-712,16620,-1093,-6468,-26168
1,177,66,24,25,44,-152,-1380,15928,-361,-5579,-23053
1,177,68,24,25,42,216,-1328,16228,80,-3707,-20660
1,177,66,24,25,44,-24,-1408,16496,975,-2258,-17726
1,174,68,22,25,42,-340,-476,17256,1462,-902,-14230
1,177,68,25,27,45,-204,-48,17256,1316,-163,-10592
1,180,70,25,25,44,-424,372,17200,873,315,-7147
1,185,73,22,27,47,-536,96,17116,406,-41,-4564
1,182,75,27,29,44,-88,104,16928,504,221,-2256
1,182,72,25,27,47,152,-120,16372,835,598,-205
1,180,73,25,29,40,124,140,16404,1016,1069,1155
1,180,73,25,29,40,56,144,16724,1326,1384,2214
1,180,73,25,27,42,48,208,16932,1294,1067,2580
1,177,73,24,29,40,152,432,16932,1172,472,2478
1,180,73,25,27,42,768,264,16328,1226,-41,2139
1,180,73,24,29,40,600,340,16372,1157,7,1371
1,177,72,25,27,42,596,460,16596,1083,-260,965
1,177,72,24,25,44,652,280,16332,1173,-332,308
1,174,72,24,27,42,676,732,16372,1140,149,133
1,177,73,25,29,42,372,1104,16652,1046,108,315
1,180,72,24,27,44,564,1208,16420,975,71,797
1,177,70,24,25,40,484,1216,16388,879,317,1222
1,174,72,25,25,40,620,1128,16268,911,493,1726
1,174,72,24,25,42,540,1212,16356,858,731,1937
1,174,70,24,25,42,676,1224,16156,784,638,2446
1,166,66,22,22,37,-480,2376,16504,-215,-192,648
1,163,68,24,22,36,-456,2236,16360,-222,-320,1075
1,166,66,24,22,37,-112,2100,16360,-183,-255,1278
1,166,66,22,22,36,-8,2016,16204,-184,-69,1239
1,166,66,22,22,36,216,1988,16116,-265,119,1057
1,163,68,22,21,37,-108,1892,16304,-226,213,926
1,160,64,22,22,34,4,1828,16424,-204,77,646
1,163,66,22,22,36,140,1904,16200,-137,208,405
1,163,66,22,22,36,92,2068,16440,-83,133,464
1,163,68,22,22,34,88,2080,16352,-142,123,632
1,163,66,22,22,36,140,2052,16404,-205,167,836
1,160,66,20,21,32,212,2140,16296,-190,129,1006
1,163,66,20,22,34,240,1988,16184,-191,241,1182
1,163,66,22,22,36,216,1880,16312,-144,400,1191
1,160,66,22,21,36,348,1892,16400,-132,379,1086
1,163,66,20,22,34,380,1996,16396,-123,356,1044
1,160,66,22,22,34,452,1892,16300,-88,383,979
1,163,66,22,22,36,392,1896,16200,-111,557,809
1,163,64,22,22,36,256,2060,16320,-180,599,760
1,160,66,22,22,34,188,1892,16320,-167,448,757
1,160,66,22,22,34,236,1916,16276,-115,424,718
1,160,66,22,22,34,240,2008,16280,-1,414,982
1,160,66,22,22,34,-48,2012,16340,-277,791,855
1,160,66,22,22,34,-236,2184,16320,-281,555,941
1,160,64,24,22,34,-448,2004,16416,-182,382,1106
1,163,66,22,21,34,-112,1972,16264,-255,644,1183
1,160,64,20,22,34,-520,1832,16340,-78,626,1139
1,160,66,22,22,34,-288,2076,16432,-41,474,1268
1,160,66,22,22,34,-336,2076,16224,-6,570,1295
1,160,66,20,21,32,-448,1944,16652,-9,403,1474
1,160,66,20,21,32,-292,1864,16412,-76,420,1524
1,160,64,22,22,36,668,1628,15848,98,624,939
1,160,64,22,21,34,-752,2112,16536,41,343,1870
1,160,66,22,21,34,280,1840,16044,192,464,1699
1,160,66,22,21,31,-620,1932,16048,188,572,1940
1,160,66,22,21,34,-208,2236,16648,226,446,2044
1,160,64,22,21,34,-64,2212,16340,243,589,2051
1,160,66,20,22,34,-160,2280,16136,110,375,2296
1,160,66,22,22,34,-232,2168,16404,5,467,2323
1,160,68,24,22,34,124,2172,16320,29,566,2099
1,163,68,24,22,37,40,2184,16188,94,504,2097
1,163,68,24,24,36,-76,2316,16400,107,414,2284
1,166,68,24,22,37,-280,2296,16232,138,383,2710
1,166,70,24,25,37,168,2232,16296,248,677,2721
1,166,68,24,22,37,4,2312,16200,276,806,3048
1,166,70,24,24,37,-324,2368,16432,121,849,3393
1,166,70,24,24,37,-268,2160,16304,92,760,3423
1,166,70,24,24,37,-236,2144,16260,45,811,3475
1,166,68,24,22,36,-460,2156,16592,184,525,3530
1,163,70,22,22,37,-320,2032,16308,229,322,3396
1,171,77,27,27,44,1116,2392,16164,408,-1386,1503
1,171,75,29,27,44,1416,2436,16128,376,-1461,1306
1,171,77,29,27,47,1680,2548,16212,307,-1410,1151
1,171,77,27,29,44,1884,2560,16136,201,-1306,1035
1,174,77,29,27,45,2132,2560,16116,98,-1123,937
1,171,75,27,27,42,2208,2492,16048,95,-891,879
1,168,75,29,27,44,2312,2380,16008,94,-522,915
1,171,75,27,27,44,2388,2344,16172,127,-136,1017
1,171,75,27,27,44,2172,2240,16124,135,152,1117
1,168,75,27,25,44,2144,2220,16296,97,411,1085
1,171,73,27,27,44,1912,2180,16288,79,449,1016
1,171,75,27,25,44,1736,2104,16320,10,424,818
1,168,73,27,27,42,1628,2100,16244,-6,403,559
1,171,75,27,25,42,1568,2172,16244,-20,465,381
1,168,75,27,25,44,1564,2216,16272,30,436,419
1,171,73,25,25,44,1600,2184,16132,-21,641,310
1,171,75,27,25,44,1680,2360,15948,-47,1105,344
1,168,75,25,27,44,1324,2276,16036,-80,1325,644
1,171,75,27,27,42,888,2212,16204,-103,1348,775
1,168,75,27,27,42,780,2284,16212,8,1223,970
1,168,73,27,25,42,464,2264,16476,57,1165,1183
1,168,75,27,25,44,692,2176,16452,218,845,1301
1,168,75,27,27,42,756,2260,16348,373,721,1334
1,168,73,27,27,42,792,2244,16348,373,881,1408
1,168,73,27,25,45,816,2268,16284,457,831,1412
1,171,77,29,27,44,812,2376,16276,459,996,1424
1,174,77,29,27,44,908,2508,16244,403,1054,1559
1,171,75,29,27,44,760,2324,16212,368,1013,1788
1,174,77,29,29,45,960,2448,16224,352,1139,1875
1,177,79,30,29,45,936,2484,16192,272,1215,2037
1,177,79,30,29,47,796,2436,16204,234,1228,2272
1,180,79,30,29,47,708,2332,16396,289,991,2476
1,180,79,30,30,47,764,2256,16256,270,989,2581
1,182,82,32,32,47,808,2372,16224,243,997,2620
1,182,82,32,30,49,796,2344,16336,128,869,2708
1,182,81,30,30,49,948,2236,16340,25,844,2489
1,185,82,32,30,49,1040,2364,16256,-49,808,2345
1,182,81,30,32,49,896,2268,16208,-169,855,2289
1,182,81,30,32,49,872,2132,16220,-267,855,2215
