label,auriculaire,pouce,majeur,anuleur,index,acx,acy,acz,gyx,gyy,gyz
1,227,199,186,175,173,-1344,-2300,16076,230,491,345
1,224,198,186,175,173,-1520,-2312,16172,267,631,509
1,221,198,186,175,173,-1632,-2208,16164,215,628,473
1,221,198,186,175,173,-1756,-2264,16284,86,614,491
1,221,199,186,176,175,-2196,-2352,16656,-95,361,938
1,224,199,186,176,175,-1812,-2280,16504,-137,431,266
1,224,199,186,176,175,-1752,-2160,16568,-292,585,481
1,221,199,186,176,175,-1972,-2344,16704,-218,429,492
1,224,201,186,176,175,-1920,-2388,16608,-247,306,394
1,221,199,186,176,175,-1800,-2564,16532,-177,251,447
1,221,199,186,176,175,-1708,-2652,16448,-77,194,582
1,221,199,186,176,175,-1716,-2644,16356,-33,137,537
1,221,199,186,176,175,-1468,-2480,16100,-54,191,376
1,221,201,186,176,176,-1256,-2468,15904,-144,271,195
1,224,201,188,178,176,-1236,-2460,15844,-238,331,75
1,224,201,188,178,176,-1120,-2368,15808,-183,607,6
1,224,201,188,178,176,-1248,-2348,16016,-216,818,69
1,224,201,186,178,176,-1316,-2172,16140,-222,1007,40
1,224,203,188,178,176,-1612,-2204,16348,-238,1123,219
1,224,201,188,178,176,-1940,-2280,16428,-260,1268,313
1,227,203,188,178,178,-2128,-2404,16348,-210,1190,347
1,227,203,190,178,178,-2156,-2412,16352,-247,1154,396
1,229,203,190,180,178,-2336,-2336,16392,-310,1031,479
1,229,201,190,180,178,-2100,-2516,16276,-237,850,418
1,232,201,190,180,178,-2124,-2568,16288,-121,744,489
1,232,203,190,180,178,-1920,-2372,16204,-30,807,547
1,235,203,192,180,178,-1952,-2712,16168,-113,971,397
1,235,203,190,180,180,-2012,-2668,16156,-93,921,475
1,238,203,192,181,178,-1632,-2644,16224,-36,1007,577
1,238,203,192,181,178,-1896,-2500,16280,-40,1079,341
1,238,203,192,181,180,-1600,-2364,16156,18,1228,402
1,238,203,192,181,180,-1608,-2552,16184,47,1334,346
1,240,203,192,181,178,-1684,-2548,16148,75,1578,278
1,240,201,190,180,178,-1484,-2468,16064,62,1801,135
1,240,201,192,181,178,-1580,-2588,16052,206,2229,34
1,240,199,192,181,178,-1756,-2724,15948,385,2472,-186
1,243,201,192,181,178,-1928,-2620,16240,620,2596,194
1,243,199,192,181,178,-2428,-2652,16372,787,2418,272
1,249,201,195,183,180,-2748,-2632,16396,674,2092,299
1,246,203,195,183,180,-2980,-2540,16476,564,1758,339
1,249,201,193,183,180,-3272,-2456,16492,414,1552,89
1,252,201,195,184,181,-3404,-2376,16624,253,1127,-116
1,252,201,193,184,181,-3408,-2196,16604,64,763,-238
1,252,203,195,184,181,-3152,-2268,16588,38,572,-338
1,252,203,195,184,181,-3104,-2300,16660,2,254,-476
1,254,201,195,184,181,-2896,-2296,16408,-35,11,-532
1,254,203,195,184,181,-2836,-2208,16300,-41,-122,-485
1,246,198,190,181,176,-2568,-2224,16200,104,-80,-214
1,246,198,192,181,176,-2496,-2388,16260,272,-202,179
1,246,198,190,181,176,-2320,-2460,16060,201,-177,64
1,285,221,209,204,198,-2032,-1536,16160,-132,190,232
1,285,223,209,204,198,-1988,-1692,16308,-88,222,282
1,288,221,210,204,199,-2044,-1600,16356,-115,253,334
1,290,225,212,205,201,-1968,-1732,16428,-85,284,291
1,290,223,210,205,201,-2008,-1672,16456,-99,253,255
1,290,223,210,205,201,-2016,-1684,16384,-125,247,155
1,290,223,212,204,199,-2040,-1708,16312,-122,274,255
1,288,223,210,205,199,-2052,-1728,16360,-142,213,222
1,288,223,210,204,199,-1912,-1732,16328,-105,214,270
1,288,223,212,204,199,-1920,-1768,16348,-165,217,175
1,288,223,212,204,199,-1868,-1696,16368,-152,242,141
1,288,223,212,204,199,-1916,-1692,16272,-154,255,3
1,288,223,217,192,181,-1892,-1652,16216,-151,303,93
1,221,181,174,167,162,-1908,-1636,16152,-152,324,87
1,221,181,174,167,162,-1832,-1652,16044,-176,337,85
1,221,181,174,167,162,-1888,-1784,16212,-83,366,180
1,221,181,174,167,162,-1844,-1672,16268,-101,418,162
1,218,181,173,167,160,-1716,-1720,16272,-97,439,78
1,221,181,174,167,162,-1880,-1700,16292,-74,481,39
1,221,181,173,167,162,-1920,-1680,16264,-75,473,-23
1,221,181,174,167,162,-1916,-1736,16440,-21,464,46
1,218,181,174,167,162,-2072,-1512,16416,7,467,86
1,221,181,174,167,162,-2108,-1564,16416,-5,458,66
1,221,181,174,167,162,-2228,-1480,16420,-65,365,100
1,221,181,174,167,162,-2220,-1524,16412,-51,277,122
1,221,181,174,167,162,-2316,-1652,16412,-44,244,203
1,221,181,174,168,162,-2172,-1640,16448,-60,155,76
1,221,181,174,167,162,-2116,-1568,16368,-100,158,129
1,221,181,173,167,162,-1996,-1624,16248,-90,142,145
1,221,181,174,167,162,-1972,-1592,16272,-54,171,186
1,221,181,174,167,163,-1912,-1640,16240,-110,241,217
1,218,181,174,168,163,-1936,-1724,16160,-102,266,167
1,221,181,174,168,162,-1888,-1788,16168,-102,260,149
1,221,181,174,168,162,-1876,-1764,16224,-110,289,115
1,221,181,174,167,163,-1908,-1752,16264,-100,331,138
1,221,181,174,167,162,-1832,-1712,16276,-78,373,50
1,221,181,174,167,162,-1972,-1588,16228,-88,337,45
1,221,181,176,167,162,-1956,-1636,16296,-54,341,76
1,221,181,174,167,162,-2084,-1460,16316,-92,330,93
1,221,181,174,168,162,-1952,-1448,16292,-150,393,37
1,221,181,174,167,162,-2388,-1472,16416,-199,194,161
1,221,181,174,168,162,-2232,-1812,16644,-196,187,313
1,221,180,174,168,162,-1980,-1644,16484,-166,450,335
1,221,181,174,168,162,-2012,-1800,16380,-177,470,239
1,221,181,174,167,162,-2092,-1860,16368,-154,318,107
1,221,181,174,168,163,-2128,-1732,16312,-142,243,45
1,221,181,174,168,162,-2120,-1796,16328,-142,249,32
1,221,181,174,168,163,-1936,-1660,16288,-117,267,105
1,221,181,174,168,163,-1900,-1664,16224,-109,240,65
1,221,181,174,168,162,-1968,-1696,16244,-122,288,40
1,221,181,176,168,163,-2096,-1600,16232,-82,323,85
1,224,181,174,168,163,-2100,-1612,16196,-97,338,168
1,224,181,176,168,163,-1976,-1628,16140,-157,368,49
1,224,181,174,170,163,-2060,-1616,16208,-166,381,-59
1,224,181,174,168,165,-2016,-1556,16336,-180,367,-41
1,224,181,176,170,163,-1976,-1520,16344,-167,400,15
1,221,181,174,168,163,-2116,-1604,16424,-154,446,65
1,221,181,176,168,163,-2152,-1612,16340,-108,478,108
1,221,181,174,167,163,-2224,-1764,16424,-111,410,54
1,221,181,174,168,163,-2252,-1900,16520,-48,339,25
1,224,181,174,167,163,-2240,-1820,16524,-32,230,35
1,224,181,176,168,163,-2228,-1720,16472,-43,197,-79
1,224,181,174,167,163,-2176,-1608,16348,-38,109,-246
1,221,181,174,168,162,-2144,-1472,16332,-56,110,-103
1,224,181,174,168,163,-2148,-1496,16188,-90,115,-58
1,221,181,174,168,163,-2032,-1352,16208,-69,139,28
1,224,181,174,168,163,-2096,-1420,16220,-95,139,83
1,221,181,174,168,163,-1996,-1476,16256,-115,251,182
1,221,181,174,167,163,-2012,-1620,16268,-132,273,165
1,221,183,174,168,163,-2008,-1572,16220,-177,257,125
1,224,181,174,168,162,-2044,-1708,16204,-151,315,67
1,221,181,174,168,162,-2024,-1680,16276,-79,393,121
1,221,181,174,168,162,-2172,-1604,16328,-85,390,188
1,224,181,174,168,163,-2160,-1640,16396,-60,358,194
1,221,181,174,168,163,-2180,-1592,16356,-96,214,74
1,224,181,174,168,162,-2116,-1572,16268,-116,208,96
1,224,181,174,168,163,-2016,-1656,16284,-119,245,49
1,224,181,174,168,162,-1984,-1600,16292,-126,314,44
1,221,181,174,168,162,-1996,-1572,16296,-104,337,90
1,221,181,176,168,162,-2040,-1648,16340,-85,337,94
1,221,181,174,168,163,-2164,-1612,16432,-107,302,64
1,221,181,174,168,163,-2212,-1580,16368,-136,231,-7
1,224,181,176,168,163,-2136,-1568,16276,-81,184,17
1,221,181,174,168,163,-2104,-1548,16304,-112,183,69
1,221,181,174,168,163,-2052,-1604,16316,-72,206,118
1,221,181,174,167,163,-1952,-1552,16316,-60,212,107
1,221,181,174,168,163,-1828,-1596,16284,-49,281,191
1,221,181,174,168,163,-1944,-1652,16312,-47,300,98
1,221,181,174,168,163,-1852,-1636,16328,-3,308,137
1,221,181,176,168,163,-2080,-1612,16328,-55,270,45
1,221,181,174,168,163,-1996,-1528,16364,-43,225,99
1,221,181,174,168,163,-2020,-1544,16360,-76,245,141
1,224,181,174,168,163,-1852,-1520,16332,-89,301,136
1,221,181,174,168,162,-1876,-1500,16320,-108,310,98
1,224,181,174,167,163,-1888,-1556,16240,-111,344,75
1,221,181,174,168,163,-1992,-1572,16228,-127,341,30
1,221,180,174,168,163,-2112,-1612,16232,-82,408,174
1,221,180,176,168,163,-2096,-1672,16316,-42,359,247
1,221,181,174,168,163,-1988,-1628,16392,-73,359,135
1,221,181,174,168,162,-2012,-1584,16360,-110,335,142
1,168,145,142,154,147,-20256,-4184,5644,-3480,-6814,-3023
1,168,147,142,155,148,-19024,-4336,5120,-2916,-7412,-3060
1,168,147,144,155,148,-19388,-4528,6068,-2312,-8280,-1983
1,168,147,144,155,147,-19768,-4560,6540,-2289,-9747,-2133
1,171,147,145,155,147,-19212,-4100,6576,-2297,-10617,-1607
1,174,149,147,155,150,-18744,-4068,6640,-2260,-11758,-375
1,174,151,149,155,150,-18732,-4552,6996,-2243,-12469,686
1,177,151,154,157,150,-18328,-4724,6708,-2429,-13183,947
1,180,154,154,157,152,-17960,-4648,6568,-2464,-12939,1197
1,182,154,156,158,152,-17420,-4648,6792,-2421,-13492,1289
1,182,158,157,158,152,-17312,-4736,7040,-2108,-13428,1874
1,185,158,159,160,153,-17084,-4544,7016,-1832,-14224,2241
1,188,162,161,160,153,-17088,-5000,7052,-1553,-14269,2283
1,191,163,162,160,153,-16408,-4368,7072,-1646,-15252,2252
1,191,165,164,162,155,-16264,-4224,6964,-1395,-15138,2555
1,193,167,166,162,155,-15936,-4244,7284,-1493,-15026,2134
1,193,167,166,163,157,-15204,-4000,6936,-1481,-14572,1923
1,196,167,166,163,157,-14928,-4256,6868,-1209,-14588,1525
1,196,169,168,163,157,-14592,-3444,7396,-615,-13337,4048
1,196,169,169,163,158,-13696,-4100,6552,-1205,-14502,704
1,196,171,169,163,158,-13328,-4684,6720,-854,-14029,773
1,199,171,169,163,158,-13656,-4592,7176,-479,-14073,522
1,199,171,169,163,158,-12896,-4400,7288,-122,-13678,578
1,199,171,171,163,160,-12204,-3968,7632,-44,-12950,829
1,199,171,171,165,158,-11752,-3872,8036,66,-12686,1126
1,199,171,171,165,160,-11936,-3792,8292,446,-12433,1314
1,199,172,171,163,158,-11452,-3572,8632,803,-12070,1425
