label,auriculaire,pouce,majeur,anuleur,index,acx,acy,acz,gyx,gyy,gyz
1,6-13,162,85,37,191,1568,4416,15820,-317,372,404
1,-11,160,84,37,189,1608,4168,15828,-311,225,612
1,-13,160,84,37,191,1724,4060,15860,-336,170,703
1,-11,160,84,37,191,1824,3968,15780,-352,95,684
1,-13,160,84,37,189,2008,3840,15836,-357,40,539
1,-11,160,84,37,191,2236,3748,15868,-355,85,435
1,-13,160,84,37,191,2320,3688,15872,-341,76,383
1,-13,162,84,37,189,2452,3720,15840,-287,139,391
1,-11,160,85,37,191,2464,3784,15828,-245,158,459
1,-11,160,85,37,189,2528,3644,15920,-204,247,456
1,-13,162,84,37,191,2560,3688,15888,-128,283,435
1,-11,160,84,37,191,2580,3616,15820,-95,251,277
1,-11,160,82,37,191,2720,3660,15804,-86,363,55
1,-11,162,84,37,191,2696,3836,15812,-119,458,-104
1,-11,160,85,37,189,2652,3852,15772,-148,543,-169
1,-11,160,84,37,191,2536,3832,15852,-144,627,-208
1,-13,160,82,37,189,2424,3772,15916,-87,579,-176
1,-11,160,84,37,191,2456,3772,15836,-44,595,-151
1,-13,162,85,37,191,2372,3752,15788,-13,661,-180
1,-11,162,84,37,191,2296,3668,15776,26,691,-230
1,-11,162,84,37,191,2236,3800,15864,42,727,-355
1,-11,160,84,37,191,2116,3760,15816,26,702,-394
1,-13,160,84,37,189,2000,3784,15856,69,701,-382
1,-11,160,84,37,191,1804,3912,15868,118,673,-313
1,-13,160,84,37,191,1820,3948,15888,89,595,-219
1,-11,162,84,37,189,1752,3900,15864,145,525,-190
1,-13,160,85,37,189,1780,4020,15924,135,419,-154
1,-11,160,84,37,189,1864,3956,15800,118,373,-194
1,-11,160,84,37,191,1840,3992,15812,101,370,-213
1,-13,162,84,37,189,2012,4108,15772,107,351,-142
1,-11,160,84,37,191,2032,4056,15748,102,432,-58
1,-13,160,84,37,191,2108,4112,15768,102,518,32
1,-13,160,84,37,189,2168,4008,15764,96,518,156
1,-11,160,84,37,191,2172,4048,15756,127,474,188
1,-11,160,84,37,191,2132,4072,15792,135,469,87
1,-11,160,84,37,191,2104,4012,15800,119,416,-62
1,-11,162,84,37,189,2076,3996,15724,90,371,-215
1,-11,160,84,37,191,2064,4168,15656,64,421,-296
1,-11,160,84,37,191,2060,4260,15744,37,405,-287
