label,auriculaire,pouce,majeur,anuleur,index,acx,acy,acz,gyx,gyy,gyz
1,127,151,106,136,181,-4188,6952,14060,365,393,41
1,124,149,104,136,180,-4228,6948,13904,361,548,59
1,124,147,106,136,178,-4332,7080,13904,376,765,37
1,121,149,104,136,180,-4480,7096,13884,364,884,82
1,124,147,104,136,180,-4608,7116,13880,336,979,110
1,121,147,104,137,180,-4768,6996,13852,358,1113,70
1,124,147,106,137,180,-4992,7092,13964,345,1131,28
1,121,149,104,136,175,-5224,7060,14128,322,1056,-91
1,124,149,102,136,180,-5352,7040,13972,264,970,-152
1,124,149,106,136,178,-5476,7144,13964,178,857,-175
1,124,147,104,136,180,-5480,7072,14004,123,689,-163
1,124,145,104,136,178,-5448,7088,13876,86,594,-103
1,124,149,104,137,183,-5476,7060,13860,71,481,-71
1,121,145,104,136,180,-5364,7072,13860,0,442,-20
1,124,147,106,136,180,-5332,7132,13952,1,350,19
1,124,145,106,136,180,-5348,7128,13908,-12,284,65
1,121,149,106,136,178,-5252,7124,13824,-67,185,85
1,121,147,102,136,180,-5216,7132,13948,-80,93,131
1,124,149,102,137,180,-5012,7152,13848,-104,52,197
1,124,147,99,137,178,-4816,7212,13792,-78,101,211
1,124,145,104,137,178,-4756,7160,13752,-120,205,215
1,124,147,104,137,178,-4684,7056,13864,-71,237,211
1,124,147,104,136,178,-4736,7008,13756,-64,338,141
1,124,149,104,136,180,-4880,7076,13780,-21,448,117
1,121,147,104,136,178,-4928,7016,13848,-32,462,111
1,124,147,104,136,176,-5192,6984,13836,12,300,178
1,121,147,104,136,178,-5180,6888,13852,64,150,228
1,121,149,106,136,178,-5172,6980,13964,34,229,202
1,124,147,104,137,178,-5072,7040,13956,63,237,147
1,124,144,101,137,176,-5188,6952,14000,67,219,116
1,124,147,104,136,178,-5172,7052,13956,56,167,161
1,124,147,104,137,178,-5200,6988,14056,33,75,82
1,124,147,106,136,178,-5200,7036,14008,-57,5,81
1,124,147,104,136,178,-5152,6956,13952,-55,-131,9
1,124,147,104,136,178,-5080,7052,13908,-46,-205,37
1,121,147,106,137,180,-5036,7052,13888,-16,-242,88
1,124,147,104,136,178,-4836,7120,13860,32,-178,222
1,121,147,102,136,178,-4820,7132,13872,45,-146,334
1,124,147,106,136,178,-4760,7128,13964,58,-94,379
1,124,147,104,137,178,-4672,7196,13932,40,-152,380
1,124,147,106,137,180,-4596,7120,13920,11,-159,289
1,124,149,106,137,176,-4552,7076,13912,23,-113,194
1,124,149,106,136,178,-4508,7028,13916,14,-98,137
1,124,147,106,136,176,-4492,7084,13992,68,-48,129
1,121,147,104,137,176,-4416,7088,13856,95,20,147
1,124,147,106,136,178,-4400,7040,14080,84,20,40
1,121,147,104,136,176,-4324,7044,13996,117,103,27
1,124,147,104,136,178,-4384,7060,14048,110,96,-48
1,124,147,104,137,178,-4396,7100,13996,155,168,-7
1,124,147,102,136,176,-4448,7120,13900,165,218,-22
1,127,147,106,137,175,-4860,7212,13808,-108,321,15
1,127,149,106,139,175,-4852,7144,13856,-114,329,13
1,127,149,108,139,176,-4900,7196,13816,-81,351,42
1,124,149,106,139,175,-4916,7132,13788,-61,350,66
1,127,151,106,139,178,-4908,7176,13804,-66,387,61
