label,auriculaire,pouce,majeur,anuleur,index,acx,acy,acz,gyx,gyy,gyz
1,1-44,162,204,201,158,-1120,-1148,16248,-383,245,-2133
1,-47,158,202,199,160,-556,-944,16172,-148,1136,-2679
1,-44,160,204,199,162,-980,-672,16292,164,1407,-2057
1,-44,160,204,199,163,-1268,-496,16320,372,1160,-1002
1,-44,160,202,199,165,-1904,-512,16088,438,1121,19
1,-44,160,204,199,165,-1980,-628,16264,387,1744,-80
1,-44,160,204,199,165,-1628,-92,16420,523,1951,-46
1,-44,158,205,201,165,-2444,-1116,16568,1067,1436,1023
1,-44,158,205,199,162,-2916,-832,16656,750,86,537
1,-44,160,207,199,160,-2276,-1072,16692,422,-16,574
1,-47,160,209,199,158,-2728,-1680,16604,991,28,-99
1,-47,160,209,199,157,-2452,-1596,16564,1553,-1064,-1291
1,-47,160,210,199,153,-1732,-908,16732,1299,-1500,-973
1,-52,162,210,199,148,-940,-724,16516,776,-1268,-515
1,-52,162,210,197,142,-1692,-980,16756,694,-1110,281
1,-55,162,212,197,134,-804,-1316,16544,760,-1048,-41
1,-63,162,212,196,126,-1592,-1244,16364,910,-1188,265
1,-69,163,214,196,121,-1068,-800,16060,635,-859,-334
1,-69,163,212,194,117,-796,-732,16228,524,-304,-830
1,-69,163,214,194,116,-1348,-576,16564,514,178,-789
1,-69,163,216,194,116,-1180,-784,16644,462,174,-1279
1,-69,162,214,194,117,-1288,-648,16760,233,244,-2166
1,-66,163,216,194,119,-1680,328,16660,-180,85,-2557
1,-66,163,216,192,124,-1368,116,16572,-387,-428,-2152
1,-66,163,216,194,129,-1468,-252,16328,-140,-595,-1465
1,-66,162,216,194,134,-1160,-600,16404,134,-607,-914
1,-66,163,216,194,135,-656,-468,16516,280,-232,-274
1,-66,162,216,194,137,-1300,-488,16320,675,-87,1820
1,-63,163,216,194,137,-1252,-516,16416,669,549,1537
1,-63,162,216,194,135,-1388,-72,16400,453,662,1282
1,-60,162,216,194,135,-1884,-352,16376,297,410,1425
1,-60,162,216,194,135,-1628,-908,16692,338,-32,1137
1,-60,162,216,194,137,-1332,-888,16540,222,34,336
1,-60,162,214,194,137,-1672,-652,16560,174,-331,-320
1,-60,160,214,194,137,-1092,-1028,16520,208,-428,-599
1,-60,162,214,194,140,-904,-864,16528,289,-361,-503
1,-60,162,214,194,144,-708,-364,16124,37,-57,-681
1,-60,162,214,194,148,-1152,-284,16376,-38,261,-878
1,-60,162,214,194,153,-1084,-200,16292,-53,341,-854
1,-60,162,214,194,158,-1244,-324,16308,162,360,-306
1,-63,162,212,194,163,-1336,-280,16296,204,215,47
1,-60,162,212,194,168,-1376,-164,16372,-19,452,242
1,-60,162,210,194,173,-1448,-24,16632,-127,240,1303
1,-60,162,210,194,175,-1656,-472,16856,-25,-131,1896
1,-63,162,210,194,176,-1460,-768,16640,-52,-359,1410
1,-60,163,210,194,178,-1328,-884,16824,88,-171,705
1,-60,163,212,194,178,-1316,-696,16528,9,-101,183
1,-58,163,212,194,180,-1064,-524,16440,-108,105,-290
1,-55,163,210,194,180,-1104,-332,16440,-265,143,-326
1,-52,163,212,196,180,-720,-488,16516,-334,324,-57
1,243,174,193,199,68,-5400,80,15712,316,1245,1757
1,243,174,197,201,65,-4900,688,14864,134,591,1814
1,246,174,200,201,67,-4924,-288,15868,-26,-570,795
1,246,172,200,202,65,-4400,536,16020,91,436,455
1,246,172,204,202,65,-3576,536,16120,1,884,308
1,249,174,204,204,67,-5720,224,16680,-728,287,-37
1,246,171,202,201,67,-5764,332,15644,-1352,-185,-506
1,249,172,204,201,65,-5332,660,15572,-1824,381,-640
1,254,171,204,202,65,-5344,572,15132,-2215,913,-631
1,257,171,204,202,65,-5412,304,15148,-2466,1238,-955
1,263,169,204,202,65,-5276,-56,15200,-2534,1526,-1290
