label,auriculaire,pouce,majeur,anuleur,index,acx,acy,acz,gyx,gyy,gyz
1,6163,151,154,152,145,10048,-3572,-13600,-2104,1164,-8678
1,155,147,152,152,144,10312,-4084,-13888,-1421,915,-9272
1,157,147,150,152,144,9144,-4204,-13200,-439,-67,-9092
1,155,145,149,150,142,9380,-3664,-13596,748,-1045,-8358
1,155,145,149,152,144,10252,-3312,-13564,2094,-1230,-7115
1,152,145,149,150,144,10956,-2400,-14140,3494,-660,-5283
1,152,145,149,150,144,11160,-2276,-14084,4746,340,-4031
1,152,145,149,150,144,10852,-2488,-13996,5933,946,-2673
1,152,147,149,150,142,10688,-2048,-14048,6575,1164,-1905
1,144,144,147,150,142,11328,-1496,-14116,7529,1713,-977
1,149,144,145,150,144,11556,-1160,-14056,8115,1770,40
1,149,144,147,150,144,11724,-960,-14056,8685,1822,904
1,149,144,149,152,144,11980,-792,-14088,8943,1982,1631
1,146,144,147,150,142,12328,-852,-14036,8947,2551,1825
1,149,144,147,150,144,12556,-528,-13968,8979,3416,2144
1,149,144,145,150,144,12400,-324,-13952,8870,4191,2265
1,149,142,145,150,144,12272,-468,-13916,8804,4865,2551
1,149,144,145,150,144,12280,-1180,-13988,8612,5518,2717
1,149,142,145,152,144,12312,-728,-13964,8519,6285,3306
1,146,142,144,150,144,12088,-1280,-13616,8201,6736,3018
1,146,140,142,150,145,11952,-1188,-13236,7921,7188,3076
1,146,142,144,150,144,11784,-1680,-12972,7631,7504,3154
1,146,140,140,150,144,11472,-1980,-12540,7326,7856,3424
1,146,140,140,152,142,11540,-2456,-12272,6913,7846,2835
1,149,140,138,150,144,11760,-2796,-11888,6537,8034,2459
1,146,142,138,152,142,11740,-3180,-11348,6308,8010,2171
1,146,140,135,150,142,11964,-3372,-11096,6167,8267,2275
1,144,140,137,154,142,11820,-3564,-10984,6049,8196,2521
1,144,140,137,152,142,11860,-3884,-10772,5764,7770,2568
1,144,140,137,150,142,12016,-4192,-10404,5467,7618,2358
1,144,140,135,152,142,12552,-4488,-10448,5148,7749,1801
1,144,140,135,150,140,12676,-4756,-10276,4964,8134,1175
1,144,138,135,150,142,12852,-5172,-10292,4862,8381,688
1,144,140,133,150,140,12884,-5400,-10076,4784,8481,284
1,144,138,132,150,139,13164,-5732,-9884,4713,8844,-150
1,144,140,132,150,139,13440,-5952,-9568,4706,9282,-544
1,141,140,132,150,137,13452,-6192,-9380,4750,9633,-978
1,141,138,130,150,135,13504,-6244,-9116,4831,10013,-1377
1,141,138,128,150,134,13768,-6356,-8912,4917,10342,-1541
1,141,138,126,150,134,13876,-6576,-8684,5006,10494,-1718
1,138,138,126,150,130,14188,-6712,-8204,5229,11111,-1903
1,132,138,125,150,127,14192,-6400,-7724,5612,11634,-2011
1,130,138,125,149,124,14144,-6524,-7528,6078,12063,-1955
1,119,138,123,150,122,14020,-6136,-6920,6485,11951,-1916
1,116,136,120,149,119,13768,-6104,-6420,6871,11501,-1472
1,110,136,118,149,117,13748,-5840,-6376,7097,10866,-1174
1,108,136,116,149,116,13736,-5568,-5740,7370,10127,-646
1,102,136,114,149,114,13800,-5172,-5396,7497,9775,-64
1,99,136,116,147,112,13776,-4904,-5132,7495,9545,269
1,99,136,114,145,112,13740,-5004,-5112,7407,9333,643
1,-113,156,-1,-21,-8,4216,-2020,14456,3419,5717,-4301
1,-119,158,-5,-19,-6,3740,-2088,15032,3191,4976,-4991
1,-113,158,-1,-21,-4,4020,-1508,15400,2779,4231,-4877
1,-113,160,-3,-21,-6,4028,-1092,14848,2582,3135,-4996
1,-110,160,-6,-21,-6,4244,-1328,15104,2136,3127,-4543
1,-113,160,-1,-21,-8,4120,-868,14804,2031,3338,-3854
1,-116,162,-3,-22,-8,3812,-1488,14944,1975,2971,-3109
1,-113,162,-3,-22,-6,4348,-572,14972,1918,3710,-2402
1,-113,162,-1,-21,-6,4032,-400,14592,1842,3096,-1540
1,-116,162,-1,-21,-8,4096,-904,14996,1817,2519,-1437
1,-116,163,0,-21,-6,4540,-824,15332,1511,2813,-1260
1,-110,165,-1,-21,-6,4796,-488,14892,1283,2791,-557
1,-116,165,0,-25,-6,4900,-500,15168,895,2516,-527
1,-113,165,0,-21,-8,4716,-492,15288,525,2550,-700
1,-113,165,-1,-21,-8,5044,-288,15012,328,2501,-355
1,-113,165,-3,-21,-6,4668,-1004,15644,301,2211,-165
1,-110,165,-1,-19,-6,4872,-972,15440,374,2087,524
1,-113,165,-1,-19,-6,5336,-784,15396,304,2588,997
1,-110,165,-1,-19,-6,4900,-828,15480,39,2648,1436
1,-110,165,0,-19,-4,4868,-748,15380,-75,2564,1596
1,-116,165,0,-21,-6,5004,-864,15224,90,2183,1859
1,-110,165,0,-19,-4,5004,-1448,15492,157,2260,1486
1,-110,165,0,-19,-4,5108,-1160,15712,-172,2352,813
1,-110,165,0,-19,-4,5292,-516,15872,-464,1994,456
1,-108,167,1,-17,-3,4656,-1628,15684,-488,2055,69
1,-108,167,0,-19,-4,4536,-1576,15720,-274,2026,-131
1,-110,165,-1,-19,-3,4360,-1584,16044,-117,1759,-212
1,-110,165,1,-17,-3,4372,-1700,16064,37,1691,-126
1,-110,165,1,-17,-4,4432,-1732,15880,226,1585,-157
1,-108,167,0,-17,-3,4476,-1692,15724,299,1412,-289
1,-108,167,1,-19,-3,4488,-1644,15692,333,1274,-382
1,-110,165,3,-22,-4,4648,-1484,15576,335,1239,-518
1,-108,165,-3,-17,-4,3772,-1812,15740,396,951,-425
1,-105,165,1,-17,-3,4100,-1164,16168,317,891,-498
1,-105,165,3,-16,-3,4324,-1180,15820,413,775,-356
1,-108,165,1,-17,-3,4136,-1112,15828,311,802,-323
1,-108,165,1,-17,-4,4252,-1176,15720,235,859,-232
1,-105,163,1,-16,-4,4144,-1204,15840,124,766,-419
1,-105,163,-3,-16,-1,4248,-1056,15592,104,627,-278
1,-108,165,1,-16,-3,4000,-1120,15680,139,672,-239
1,-105,165,1,-16,-3,4288,-1092,15784,91,879,-283
1,-105,165,3,-16,-4,4248,-856,15880,-25,654,-333
1,-105,165,3,-16,-3,3952,-1012,15748,0,301,-356
1,-105,165,3,-16,-4,4520,-1252,15732,170,476,-337
1,-105,165,1,-16,-3,4464,-976,15764,157,385,-309
1,-105,167,3,-16,-3,4544,-940,15896,19,284,-268
1,-105,165,1,-16,-1,4684,-1068,15924,-2,290,-189
1,-105,165,1,-16,0,4828,-1240,15724,91,367,-143
1,-102,165,1,-16,-1,4876,-1100,15708,105,442,-19
1,-105,165,3,-16,-1,4784,-1136,15684,72,351,-43
1,-83,217,17,-3,6,6136,5320,14144,49,1760,829
1,-83,219,17,-3,4,6112,5540,14380,95,1846,1165
1,-83,217,17,-3,6,5848,5460,14304,140,1826,1408
1,-80,219,15,-1,4,5656,5348,14292,300,1689,1205
1,-83,219,15,-3,6,5816,5440,14168,314,1579,1170
1,-83,217,15,-4,6,5740,5640,14280,57,1579,1269
1,-85,217,15,-3,4,5548,5680,14332,-67,1429,1281
1,-83,217,15,-3,3,5676,5460,14336,-19,1176,986
1,-83,216,17,-3,6,5472,5608,14336,84,911,709
1,-91,217,15,-3,6,5464,5496,14280,73,572,472
1,-83,217,15,-3,6,5860,5632,14028,120,628,283
1,-83,217,15,-3,6,5952,5452,14244,14,777,86
1,-83,217,13,-3,6,5408,5452,14316,-51,442,-188
1,-85,217,15,-4,4,6044,5592,14260,-80,394,-488
1,-83,217,17,-3,6,6036,5764,14204,-195,655,-411
1,-83,216,15,-3,4,5928,5476,14252,-244,610,-245
1,-83,217,13,-3,6,5760,5408,14328,-88,464,-153
1,-83,216,15,-3,6,6080,5688,14308,-83,420,67
1,-83,216,17,-3,4,5988,5532,14420,-252,520,400
1,-83,216,15,-3,6,5780,5144,14240,-125,384,294
1,-83,217,17,-3,6,6004,5352,14300,74,434,270
1,-83,217,15,-3,6,6144,5432,14436,60,786,348
1,-83,217,17,-3,6,5804,5272,14328,-35,730,237
1,-83,217,17,-3,6,5980,5332,14220,-82,824,21
1,-83,217,17,-3,4,5680,5344,14456,-149,545,-244
1,-83,216,17,-3,4,5440,5228,14380,1,222,-455
1,-80,217,17,-3,4,5832,5576,14372,88,36,-319
1,-83,217,17,-3,6,5820,5252,14364,288,308,-88
1,-83,217,15,-3,6,6128,5436,14304,245,437,-406
1,-80,217,15,-3,6,5504,5360,14300,89,401,-773
1,-83,217,17,-3,6,5872,5444,14476,-8,165,-999
1,-80,217,17,-1,6,5488,5528,14176,43,3,-1069
1,-80,217,15,-3,6,5820,5172,14628,330,240,-928
1,-80,216,17,-1,4,5516,5668,14252,505,-45,-1014
1,-80,217,15,-3,6,5828,6044,14152,140,-219,-1058
1,-80,216,13,-3,8,5600,5872,14204,-48,-102,-945
1,-80,217,17,-3,6,5976,6008,14080,-113,61,-656
