label,auriculaire,pouce,majeur,anuleur,index,acx,acy,acz,gyx,gyy,gyz
1,146,147,162,152,85,-2908,4712,15444,-184,475,-137
1,144,145,161,150,85,-2976,4640,15568,-133,490,-11
1,141,145,161,150,85,-2940,4644,15560,-80,418,71
1,144,145,161,150,85,-3080,4632,15404,-92,397,9
1,144,145,161,150,85,-3116,4580,15412,-103,371,-65
1,144,145,161,150,85,-3092,4648,15396,-96,424,-26
1,141,145,162,150,83,-3248,4668,15476,-52,356,64
1,144,145,161,150,83,-3208,4772,15424,-36,337,215
1,141,147,161,150,86,-3304,4792,15488,-74,242,263
1,144,145,162,150,85,-3184,4788,15464,-58,132,297
1,144,145,161,150,85,-3184,4720,15412,-41,78,267
1,141,145,161,150,83,-3024,4708,15352,-19,22,312
1,144,145,161,152,85,-2904,4812,15452,-28,35,341
1,144,145,161,150,85,-2772,4844,15436,-39,3,237
1,144,145,161,150,85,-2628,4872,15444,-25,43,264
1,144,145,159,150,86,-2552,4876,15432,-48,66,192
1,144,147,162,150,85,-2448,4904,15440,-35,160,200
1,144,145,161,150,85,-2516,4840,15436,-31,190,189
1,144,145,162,150,85,-2492,5000,15304,-46,250,132
1,144,145,162,149,83,-2584,4984,15440,-34,315,61
1,144,147,162,150,85,-2624,5020,15324,-25,290,-15
1,144,147,162,150,83,-2648,5052,15328,-28,297,-116
1,144,147,161,150,85,-2644,5160,15264,-65,333,-111
1,144,147,162,150,83,-2748,5184,15352,-164,344,-62
1,144,147,162,150,85,-2828,5144,15296,-182,323,28
1,144,147,161,150,85,-2896,5072,15292,-171,301,61
1,144,145,161,150,85,-2948,4956,15356,-234,356,-18
1,144,147,162,150,85,-2980,4940,15336,-267,325,-11
1,144,147,161,150,85,-3064,4912,15384,-296,221,-73
1,144,145,161,150,83,-2992,4756,15380,-241,188,-38
1,144,145,162,150,85,-2884,4772,15432,-249,212,65
1,144,145,162,150,85,-2896,4756,15428,-265,249,144
1,144,145,161,150,85,-2748,4668,15496,-249,234,302
1,144,145,161,150,85,-2780,4628,15528,-205,227,260
1,144,147,162,150,85,-2860,4636,15528,-202,212,290
1,144,145,162,150,83,-2724,4580,15588,-148,207,261
1,141,145,161,150,85,-2616,4624,15480,-57,226,254
1,144,145,161,150,85,-2572,4672,15436,-27,297,197
1,144,147,161,150,85,-2628,4828,15540,-16,334,174
1,144,145,161,147,85,-2692,4732,15488,-40,366,157
1,144,145,161,150,85,-2612,4916,15484,-7,450,170
1,141,145,161,150,85,-2704,5028,15532,-80,437,204
1,141,145,162,150,85,-2652,4948,15452,-95,430,197
1,138,145,161,150,85,-2712,4892,15400,-116,442,136
1,141,145,162,150,85,-2564,4860,15444,-145,476,57
1,144,145,161,150,85,-2536,4888,15488,-103,492,21
1,144,147,162,150,85,-2480,4872,15476,-121,503,39
1,144,145,161,150,85,-2472,4876,15520,-73,562,63
1,144,145,162,150,83,-2560,4816,15404,-88,617,59
1,141,145,161,150,85,-2472,4832,15472,-86,664,-17
1,141,144,162,152,86,-2960,4768,15408,-174,517,-95
1,144,145,162,152,86,-3064,4820,15360,-110,481,-93
1,144,145,162,150,86,-3152,4740,15280,-133,510,-48
1,144,145,161,152,85,-3172,4772,15436,-105,473,-43
1,144,144,162,152,86,-3124,4796,15312,-34,405,-3
1,144,145,162,152,86,-3136,4716,15360,-17,412,-26
1,141,144,161,150,85,-2972,4892,15372,-87,437,-60
1,144,144,161,150,85,-3056,4912,15456,-101,403,-10
1,141,144,161,150,85,-3068,4868,15472,-138,411,15
1,141,144,161,150,85,-3052,4860,15384,-107,347,43
1,141,144,161,150,85,-3024,4836,15380,-128,398,16
1,141,144,162,150,85,-2996,4888,15388,-94,406,42
1,141,144,161,150,85,-2936,4788,15320,-104,387,48
1,144,144,161,150,85,-2940,4820,15300,-38,406,73
1,144,144,161,150,85,-2928,4864,15368,-79,487,71
1,141,144,161,150,85,-2936,4884,15424,-143,461,69
1,144,144,161,150,85,-3016,4816,15492,-107,443,36
1,144,144,161,150,83,-3028,4836,15448,-91,381,-34
1,141,144,162,150,85,-3044,4832,15440,-96,345,-61
1,141,144,162,150,85,-2940,4752,15440,-113,362,-85
1,144,144,162,150,85,-2856,4664,15356,-115,440,-70
1,141,144,162,150,85,-2936,4748,15420,-133,485,-21
1,144,145,161,150,85,-3052,4724,15480,-84,418,5
1,141,144,161,150,85,-3040,4792,15436,-44,442,-2
1,141,144,161,150,83,-3116,4784,15312,-43,462,-63
1,144,145,161,150,85,-3144,4848,15372,-103,527,-83
1,144,144,161,150,85,-3360,4880,15448,-124,442,-60
1,144,144,161,150,85,-3388,4912,15404,-126,409,37
1,144,144,161,150,83,-3320,4840,15392,-93,326,174
1,141,144,161,150,85,-3404,4740,15348,-139,214,148
1,141,144,162,150,85,-3324,4692,15292,-131,178,155
1,141,144,161,150,86,-3216,4620,15404,-183,262,-9
1,141,144,162,150,85,-3216,4716,15496,-174,208,47
1,141,145,161,150,85,-3168,4748,15508,-173,133,189
