label,auriculaire,pouce,majeur,anuleur,index,acx,acy,acz,gyx,gyy,gyz
1,-38,151,25,22,196,5400,-14708,5604,215,650,342
1,-41,149,25,21,194,5280,-14692,5656,119,640,250
1,-41,147,24,21,194,5180,-14732,5664,-41,473,17
1,-36,149,24,21,194,5112,-14728,5600,-253,300,-153
1,-41,149,25,21,194,5196,-14876,5544,-361,203,-340
1,-41,147,25,21,194,5268,-14768,5480,-364,233,-289
1,-41,147,25,21,194,5428,-14720,5540,-204,332,-188
1,-38,149,22,21,193,5508,-14776,5536,-43,519,-2
1,-41,149,24,19,194,5352,-14664,5488,108,628,199
1,-41,147,25,21,193,5196,-14692,5560,159,614,265
1,-41,149,24,21,194,5080,-14640,5544,42,447,260
1,-41,147,25,21,194,5004,-14640,5556,-107,199,149
1,-38,147,25,19,194,5212,-14748,5700,-290,142,-27
1,-41,147,24,21,194,5356,-14852,5684,-371,195,-161
1,-41,147,24,21,194,5464,-14980,5668,-297,339,-158
1,-41,149,24,21,194,5420,-15020,5740,-134,443,-40
1,-44,147,24,21,193,5308,-14988,5684,55,462,127
1,-41,149,24,22,193,5180,-14904,5592,170,415,303
1,-41,149,24,19,194,5088,-14876,5560,178,237,296
1,-41,149,25,21,194,5204,-14800,5552,63,95,142
1,-41,147,25,21,194,5292,-14776,5548,-50,87,-63
1,-41,149,25,21,194,5332,-14672,5520,-197,179,-159
1,-41,147,24,21,194,5340,-14732,5492,-248,273,-212
1,-41,147,25,21,194,5380,-14776,5480,-212,368,-136
1,-41,147,25,21,194,5388,-14784,5524,-142,442,-12
1,-41,147,24,21,194,5208,-14884,5580,-40,387,122
1,-41,147,25,21,194,5296,-14756,5592,73,258,210
1,-41,149,24,21,194,5284,-14780,5552,94,234,226
1,-41,149,25,22,194,5380,-14772,5500,15,207,169
1,-38,147,24,21,193,5532,-14784,5544,-50,321,10
1,-41,149,25,21,194,5488,-14884,5544,-143,498,-134
1,-41,149,24,21,194,5360,-14788,5512,-227,533,-212
1,-41,149,24,21,194,5268,-14744,5540,-245,496,-156
1,-41,147,25,21,194,5300,-14732,5536,-135,389,-54
1,-41,149,24,22,194,5248,-14764,5540,-54,344,84
1,-41,149,24,21,194,5208,-14732,5504,-31,300,208
1,-41,149,24,21,196,5380,-14800,5540,-45,324,157
1,-41,149,25,21,194,5388,-14828,5652,-70,365,66
1,-41,147,24,22,194,5384,-14820,5652,-73,405,-62
1,-41,149,25,21,194,5348,-14848,5624,-114,470,-46
1,-41,147,25,21,194,5300,-14836,5572,-67,433,-22
1,-41,149,24,21,194,5196,-14768,5660,-34,381,52
1,-41,147,25,21,194,5076,-14920,5680,60,268,159
1,-41,147,25,21,194,5084,-14808,5608,142,169,203
1,-38,147,24,21,194,5188,-14772,5612,194,141,287
1,-41,149,24,21,194,5372,-14732,5632,245,230,288
1,-41,147,24,21,194,5484,-14752,5540,157,401,193
1,-38,147,24,22,194,5532,-14468,5476,183,472,232
1,-41,149,24,21,194,5204,-14884,5660,122,483,141
1,-41,149,24,21,193,5192,-14488,5592,79,348,186
=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=
1,-38,149,25,22,194,5500,-15048,5448,-242,418,-51
1,-38,149,27,22,194,5436,-14972,5428,-232,552,-71
1,-38,151,25,21,196,5460,-15016,5472,-178,653,-39
1,-38,149,22,22,193,5384,-14960,5416,-90,689,20
1,-38,149,27,21,194,5468,-15032,5476,-54,801,45
1,-38,151,27,22,194,5204,-14944,5460,-25,702,-11
1,-38,147,25,22,193,5200,-14948,5520,-65,570,-74
1,-41,149,25,21,194,5308,-14856,5636,-121,484,-210
1,-41,149,25,22,194,5332,-14924,5584,-190,504,-269
1,-38,147,25,21,194,5316,-14904,5576,-173,454,-363
1,-38,147,25,22,194,5320,-14776,5592,-142,493,-275
1,-38,147,24,21,193,5376,-14768,5552,-63,462,-215
1,-38,147,25,21,193,5424,-14680,5464,-26,495,-97
1,-38,149,25,22,193,5376,-14660,5532,-26,499,-64
1,-38,147,24,21,193,5552,-14556,5532,-96,565,-131
1,-38,149,24,21,194,5584,-14680,5568,-216,661,-283
1,-41,149,25,21,193,5536,-14636,5596,-331,734,-418
1,-41,147,25,21,194,5480,-14756,5616,-306,757,-466
1,-41,149,25,21,194,5292,-14760,5720,-207,741,-365
1,-41,149,24,21,193,5188,-14900,5836,-35,639,-143
1,-38,147,25,21,193,5256,-14812,5896,138,633,-13
1,-41,147,25,22,193,5220,-14704,5952,214,587,99
1,-41,147,25,22,194,5312,-14680,5868,194,463,50
1,-38,147,25,21,193,5364,-14436,5772,144,432,-69
1,-38,149,25,19,193,5436,-14292,5580,23,513,-203
1,-38,149,24,21,193,5292,-14216,5640,-153,555,-198
1,-38,149,25,21,194,5196,-14236,5568,-234,457,-136
1,-38,149,24,22,194,5200,-14396,5656,-204,405,0
1,-38,149,25,22,193,5228,-14612,5696,-129,394,142
1,-38,147,25,22,194,5392,-14716,5668,-92,446,276
