label,auriculaire,pouce,majeur,anuleur,index,acx,acy,acz,gyx,gyy,gyz
1,22,127,36,45,196,-11996,-9696,6772,1487,-105,3993
1,16,126,36,45,196,-12028,-9748,6720,1337,-312,4167
1,19,126,36,45,196,-12076,-9488,6796,1140,-715,4069
1,13,124,37,45,194,-12144,-9472,6772,827,-1164,3957
1,19,124,36,43,194,-12108,-9336,6972,515,-1526,3858
1,16,122,36,43,191,-11988,-9588,6988,181,-1739,3502
1,16,122,36,43,193,-12080,-9532,7144,-133,-2118,3117
1,16,122,36,45,193,-12144,-9676,7276,-418,-2338,2860
1,16,120,36,45,193,-12040,-9920,7300,-587,-2588,2663
1,16,120,36,43,191,-11956,-9912,7208,-627,-2820,2505
1,13,118,34,43,189,-11792,-9888,7140,-461,-2794,2527
1,13,118,36,43,189,-11284,-9464,6940,-139,-2526,2744
1,16,117,36,43,188,-11220,-9884,6908,218,-2117,2239
1,11,115,34,42,186,-11196,-9776,6748,446,-1453,1923
1,11,115,34,42,188,-11268,-9404,6640,561,-1032,1615
1,13,117,34,43,188,-11552,-9156,6728,522,-639,1591
1,13,117,34,42,186,-11668,-9184,6828,503,-437,1691
1,11,115,32,42,184,-11980,-9224,7192,446,-390,1868
1,11,115,34,40,184,-11988,-9368,7316,466,-584,2007
1,8,113,32,40,181,-12008,-9556,7332,557,-629,2110
1,8,113,32,40,183,-11828,-9676,7416,585,-754,1725
1,11,115,34,42,186,-11832,-9436,7448,568,-660,1546
1,11,115,34,42,186,-12052,-9564,7596,557,-655,1293
1,13,117,34,43,186,-12372,-9536,7864,529,-901,912
1,13,115,34,42,184,-12720,-9424,7912,437,-1391,726
1,11,113,32,40,181,-12640,-9444,7876,281,-1904,743
1,11,113,34,40,181,-12448,-9672,7736,332,-2294,600
1,8,111,30,38,180,-12164,-9560,7676,334,-2545,315
1,5,109,30,38,178,-11884,-9488,7472,347,-2741,66
1,5,109,30,37,178,-11576,-9400,7180,411,-2856,-83
1,5,109,30,38,178,-11340,-9240,7068,546,-2736,-247
1,5,109,30,38,178,-11216,-8936,6960,654,-2696,-328
1,5,109,30,38,176,-11656,-8884,7824,644,-3758,-568
1,5,109,29,38,178,-10724,-8676,6596,582,-2756,-582
1,5,108,29,38,176,-10656,-8316,6908,279,-2827,-563
