label,auriculaire,pouce,majeur,anuleur,index,acx,acy,acz,gyx,gyy,gyz
1,30,108,145,19,109,9904,-14476,-1916,116,-1926,176
1,30,106,144,19,108,9564,-13948,-1884,-634,-2445,-872
1,24,104,142,17,108,9436,-13544,-2516,-542,-2771,-2230
1,24,104,142,17,109,10272,-13412,-2640,-327,-2258,-2580
1,24,102,144,17,109,9876,-13188,-2832,-387,-1618,-2308
1,24,102,144,17,109,9944,-13604,-2460,220,-539,-1945
1,22,102,144,16,109,10464,-13072,-2520,620,403,-1110
1,24,102,145,17,109,9684,-13124,-2188,1050,1113,595
1,27,104,147,17,109,9164,-13388,-2008,1262,1310,1887
1,27,104,145,19,106,9900,-12892,-2192,1304,1527,3241
1,27,104,145,19,103,9804,-13412,-2028,1498,2004,3625
1,27,104,145,17,99,9912,-13696,-1836,1786,2456,3461
1,27,106,145,19,98,9444,-13228,-1848,1525,2268,2770
1,27,104,144,17,94,9192,-13336,-1508,1012,2169,2306
1,27,104,144,17,93,8880,-13120,-1396,251,1251,1828
1,24,102,142,17,91,9244,-13476,-1292,-75,731,1609
1,24,102,144,17,91,8944,-14028,-1140,-72,232,818
1,27,104,144,17,91,9156,-13520,-1396,-202,-42,223
1,27,104,144,17,93,9004,-13652,-1480,-530,180,131
1,30,106,145,19,96,8724,-14080,-1472,-724,-140,247
1,30,104,145,17,96,9228,-14204,-1708,-557,-424,221
1,30,106,145,19,98,9508,-13996,-1912,-228,-399,234
1,33,106,147,21,99,9560,-14020,-1964,22,-92,388
1,33,106,147,19,99,9644,-13992,-2204,166,267,99
1,33,108,147,19,99,9440,-13912,-2060,224,732,59
1,33,108,147,19,99,9428,-13600,-2156,138,819,146
1,33,108,147,19,99,9276,-13828,-1956,243,993,354
1,36,108,147,19,101,8980,-13576,-1748,233,1082,773
1,33,106,145,19,99,8560,-13712,-1316,207,764,1335
1,30,106,147,19,98,8928,-13688,-1428,115,548,1712
1,33,106,147,21,99,8556,-14032,-1316,127,340,1871
1,30,104,145,19,96,8656,-14096,-1428,210,104,1983
1,33,106,147,19,98,9064,-14224,-1380,400,392,1513
1,33,104,145,19,96,8876,-14152,-1520,401,659,946
1,30,106,145,19,96,8792,-13952,-1504,245,769,397
1,36,108,149,21,96,8348,-14044,-1380,-168,529,93
1,36,108,147,19,96,8212,-14088,-1316,-378,-185,-188
1,33,106,147,19,93,8388,-13956,-1412,-623,-723,-120
1,36,108,147,19,94,8800,-14228,-1668,-436,-710,-108
1,33,106,147,19,94,8900,-14256,-1532,-161,-208,-90
1,36,108,149,21,94,8756,-14268,-1520,39,250,108
1,36,108,145,21,91,8740,-14188,-1624,232,515,180
1,36,106,145,21,93,8636,-13884,-1580,331,784,180
1,36,109,147,21,93,8392,-13540,-1504,83,617,284
1,36,109,147,21,93,8052,-13700,-1484,-42,108,326
1,33,106,144,19,91,8300,-13836,-1364,-269,-181,333
1,36,108,145,21,91,8384,-13872,-1464,-344,-521,200
1,30,106,144,19,90,8564,-14096,-1448,-349,-559,393
1,30,106,144,19,91,8744,-14260,-1572,-147,-632,399
1,33,106,144,21,90,9076,-14212,-1612,32,-202,485
1,44,120,137,32,222,7968,-15272,-1936,319,798,2724
1,44,117,138,30,222,7584,-15712,-1944,780,1167,1921
1,47,118,137,32,224,8040,-15468,-1976,787,1916,1339
1,47,118,133,32,224,7520,-15476,-2284,651,2647,960
1,47,117,128,32,224,7380,-15224,-2620,341,2596,591
1,47,117,125,32,222,7316,-15308,-2496,147,2492,64
1,47,115,123,32,222,7636,-14720,-2460,-205,2518,-535
1,47,117,123,32,222,7552,-14412,-2408,-613,2624,-666
1,47,115,123,34,220,7228,-14556,-2368,-942,2673,-1123
1,47,115,123,34,220,7620,-14288,-2624,-1190,2809,-1778
1,49,118,126,35,222,8056,-14388,-2444,-1306,3090,-1298
1,47,117,130,35,220,8016,-14580,-2316,-1376,3261,-1132
1,52,118,133,37,220,7796,-14120,-1860,-1507,3498,-900
1,52,118,137,37,219,7592,-16992,-1664,-42,3418,234
1,52,120,138,37,217,7912,-16756,-1736,844,3572,-244
1,52,122,142,38,216,9020,-11672,-2508,-1766,3807,343
1,47,118,138,34,207,7768,-15184,-1892,-1419,6297,1544
1,49,120,142,35,206,7796,-15332,-948,-1301,6666,181
1,44,118,138,35,206,6596,-14064,-980,-1445,5084,-824
1,47,118,137,35,201,5800,-15480,-956,-1106,3642,-377
1,52,124,137,38,207,6172,-15640,-816,-505,2165,-699
1,52,124,135,38,206,6304,-15360,-808,62,1677,-249
1,52,126,135,38,207,6384,-15384,-1096,275,1400,354
1,55,127,135,40,207,6320,-15296,-856,346,1096,592
1,47,122,130,37,198,6944,-14948,-896,194,1586,476
1,55,129,137,42,206,6796,-15076,-1108,199,1856,685
1,58,131,138,42,207,6716,-15168,-804,234,1988,582
1,49,126,135,38,199,6444,-15188,-692,193,1381,57
1,49,126,133,37,193,6468,-14880,-752,84,685,-317
1,49,126,133,37,180,6296,-14464,-932,-157,-533,-551
1,49,126,130,37,157,6552,-14608,-1184,-600,-1175,-978
1,47,126,128,35,127,6500,-15092,-1416,-883,-65,501
1,44,126,125,35,119,9788,-14336,-688,-1122,995,-1140
1,44,122,123,34,112,7944,-14352,-2036,-1596,2487,-794
1,41,124,120,32,106,7304,-15196,-1780,-1230,1385,-1968
1,38,122,118,30,99,7392,-14556,-1928,-758,520,-2017
1,38,122,116,30,96,7960,-15120,-1500,-73,-119,-2000
1,38,122,116,30,96,7684,-15032,-1500,245,-440,-1839
1,36,120,116,29,98,8456,-14796,-2116,651,22,-1794
1,36,120,116,29,98,7612,-14768,-1236,777,956,-1182
1,36,117,114,29,94,7904,-14128,-1376,852,1581,-620
1,36,117,116,29,91,7652,-14752,-1152,1067,2098,-129
1,36,115,111,29,83,6884,-14444,-1052,1302,1645,43
1,36,115,111,29,78,7048,-14544,-1132,1305,816,416
1,36,115,109,29,73,7440,-14612,-1328,1196,508,205
1,36,113,109,29,70,8000,-14240,-1252,547,1591,318
1,36,113,109,29,67,7284,-14752,-956,361,1924,-258
1,36,113,111,27,63,6900,-14520,-660,-303,1274,-1390
1,36,111,113,29,62,7332,-14052,-1088,-791,146,-2375
1,36,111,113,29,60,7504,-14392,-988,-1242,-84,-2789
1,55,117,132,37,99,9392,-14820,-1592,-984,2044,-465
1,58,118,132,38,96,9608,-14716,-1496,-836,2818,-860
1,55,118,132,38,96,8628,-14456,-1624,-769,2601,-517
1,58,118,132,38,94,8856,-14748,-1364,-641,2558,239
1,55,118,133,38,96,8832,-14576,-1332,-349,2745,537
1,55,118,132,38,96,8552,-14272,-1320,-263,2964,645
1,55,117,132,37,94,8004,-14356,-1164,-346,2986,766
1,55,117,132,38,96,7608,-14388,-872,-599,2892,855
1,55,118,132,38,96,7768,-14348,-636,-692,2964,161
1,55,118,130,38,98,7060,-14604,-716,-637,2463,416
1,55,118,126,37,99,7368,-14672,-612,-522,2307,617
1,55,118,126,38,99,7072,-14688,-516,-448,1967,580
1,55,118,125,38,101,7312,-14652,-496,-566,2111,962
1,55,118,125,38,103,7420,-14528,-452,-552,2166,1066
1,55,118,125,38,101,7516,-14732,-508,-528,2161,1070
1,58,118,126,38,104,7608,-14580,-644,-574,1967,850
1,55,118,126,38,104,7520,-14736,-716,-668,1601,654
1,55,118,128,38,104,7692,-14692,-864,-870,1384,496
1,58,118,130,38,104,7992,-14708,-932,-1056,1321,114
1,55,118,132,38,104,8032,-14616,-924,-1182,1373,-41
1,58,118,133,38,104,7884,-14680,-988,-1254,1334,-74
1,58,118,135,38,104,8036,-14492,-992,-1196,1296,-33
1,58,118,137,38,106,8068,-14512,-1016,-1100,1548,135
1,58,118,138,40,106,7060,-14624,-644,-1001,1416,312
1,58,118,138,40,104,7332,-14412,-884,-1085,1139,780
1,58,118,137,38,104,7532,-14504,-928,-1034,1104,1072
1,58,120,138,40,104,7428,-14532,-832,-1037,1133,1064
1,60,118,138,40,104,7388,-14808,-760,-1002,1328,1003
1,60,120,138,42,104,7588,-14896,-776,-987,1561,732
1,60,118,138,40,104,7548,-15056,-724,-970,1780,640
1,66,118,133,34,98,7596,-15344,-732,-829,1662,590
1,63,122,144,43,108,8124,-15060,-1024,-725,1451,524
1,63,124,144,43,108,8340,-15252,-1240,-682,1455,352
1,63,122,142,40,108,8400,-14988,-1348,-743,1563,73
1,66,122,142,42,106,8228,-14764,-1288,-849,1921,16
1,63,122,142,42,106,8064,-14612,-988,-914,2065,-98
1,60,122,142,42,108,8000,-14536,-1056,-895,2160,29
1,63,122,142,42,108,8160,-14500,-1000,-752,2133,319
1,58,118,138,40,104,8536,-14620,-1140,-634,2066,648
