label,auriculaire,pouce,majeur,anuleur,index,acx,acy,acz,gyx,gyy,gyz
1,0,-3224,7712,14496,1450,5872,200185,158,183,167,181
1,180,153,180,165,178,508,5912,15276,-360,-240,-68
1,177,154,181,163,178,372,5980,15356,-201,16,-205
1,177,153,180,163,176,640,5852,15384,-25,45,-259
1,177,153,180,163,176,512,5848,15400,36,97,-25
1,177,154,181,163,178,232,6148,15400,140,348,259
1,174,153,180,163,178,280,6064,15264,190,460,330
1,177,154,178,163,176,176,6132,15288,209,416,325
1,174,153,178,163,176,264,6132,15228,196,380,363
1,174,151,178,162,176,200,6164,15176,75,448,234
1,174,153,176,163,175,132,6252,15360,24,545,224
1,177,153,176,163,175,292,6156,15168,-25,570,260
1,174,154,176,163,175,48,6148,15152,-103,643,233
1,168,154,174,163,175,120,6188,15108,-151,659,194
1,174,154,173,163,173,56,6124,15304,-173,596,165
1,171,154,171,163,171,136,6056,15220,-260,608,130
1,171,154,169,162,170,196,6060,15304,-292,541,56
1,171,153,168,162,170,380,5956,15232,-289,469,-57
1,168,154,166,162,168,320,5828,15160,-292,461,-141
1,168,151,164,162,168,364,5932,15292,-286,530,-104
1,168,153,162,160,168,148,5924,15400,-325,496,-9
1,166,154,161,160,166,300,5892,15320,-206,531,120
1,166,153,159,160,165,212,5808,15296,-145,482,199
1,166,153,159,160,166,140,5892,15152,-59,495,97
1,166,154,161,162,166,228,5840,15120,-75,476,-85
1,166,151,159,162,165,152,5924,15236,-66,497,-240
1,163,153,157,160,165,168,6008,15280,-154,467,-316
1,163,154,156,160,165,252,6116,15268,-180,513,-357
1,160,153,156,160,163,184,6072,15204,-185,646,-267
1,160,154,154,158,163,56,6072,15268,-230,674,-176
1,157,153,150,158,162,108,6156,15288,-295,776,-158
1,155,153,145,158,162,116,6160,15300,-423,734,-171
1,152,153,144,155,162,92,6180,15420,-578,613,-114
1,149,151,140,155,160,172,5884,15208,-525,630,-135
1,146,153,138,154,160,340,5908,15276,-454,665,-260
1,144,151,137,152,160,8,6060,15224,-418,526,-225
1,144,153,135,150,158,-104,5932,15292,-377,392,-38
1,144,153,133,149,158,156,5908,15336,-281,590,-101
1,141,153,133,149,158,-116,5520,15904,-229,217,-91
1,141,153,132,147,158,216,5892,15320,-116,407,53
1,138,153,133,147,157,56,5768,15332,-117,488,-45
1,138,151,132,145,157,112,5860,15400,-110,512,15
1,135,151,130,144,157,28,5812,15296,-70,526,57
1,132,151,130,144,157,36,5868,15340,-40,566,60
1,135,149,128,142,157,52,5916,15380,-6,603,71
1,132,151,130,141,157,48,5980,15280,-48,647,63
1,132,151,128,141,157,-132,5944,15408,-19,524,-30
1,130,151,128,139,157,-60,5952,15184,-53,515,-7
1,130,151,128,137,155,-68,6008,15200,-41,515,-87
1,130,151,128,137,157,-12,6036,15280,-46,471,-56
1,119,147,126,134,150,-540,5920,15368,-15,387,-82
1,119,149,128,134,148,-532,5936,15308,-44,345,-49
1,119,147,128,134,150,-364,5984,15320,-68,454,-40
1,119,147,126,134,148,-500,6004,15312,0,342,-27
1,119,147,128,132,148,-376,5924,15232,10,318,46
1,119,147,128,134,148,-376,6076,15248,-116,385,6
1,119,147,128,132,148,-316,5984,15232,-130,353,-5
1,116,147,128,132,148,-280,5988,15236,-149,412,-22
1,116,145,128,132,148,-384,5944,15328,-99,411,18
1,116,145,128,132,148,-208,6020,15204,-139,520,-52
1,119,145,128,132,147,-292,5828,15252,-82,506,-23
1,116,147,128,134,148,-324,5924,15352,-104,551,-40
1,116,145,130,131,148,-328,5920,15300,-100,561,-96
1,116,145,130,132,148,-460,5900,15316,-66,546,-84
1,116,145,128,132,148,-452,5972,15300,-57,522,-66
1,116,145,128,132,148,-476,5972,15360,-51,553,-55
1,113,145,128,132,148,-384,5940,15272,-99,603,-91
1,116,145,130,132,148,-504,6028,15348,-54,584,-94
1,116,145,130,132,148,-464,6068,15208,-84,616,-162
1,113,145,130,132,148,-588,6060,15356,-156,846,-258
1,116,145,130,132,148,-356,5928,15272,-222,916,-387
1,119,147,133,132,148,-740,6012,15348,-46,862,-310
1,119,145,130,132,148,-768,5928,15264,-34,641,-173
1,116,145,132,132,148,-700,6004,15224,-109,463,-216
1,119,145,133,132,148,-560,5936,15312,-110,676,-131
1,116,145,132,132,148,-564,6356,15356,-147,579,-226
1,116,145,133,132,148,-844,5720,15364,57,647,-17
1,116,147,133,132,148,-656,5876,15116,42,669,21
1,113,147,133,132,148,-524,5824,15248,-37,646,-26
1,116,144,133,132,148,-548,5912,15228,-23,518,-110
1,116,145,135,132,148,-828,5800,15368,49,447,-79
1,116,145,135,132,148,-588,5924,15236,-32,526,-170
1,116,145,137,132,148,-588,6084,15452,-39,486,-97
1,116,147,137,132,148,-640,5996,15328,-44,404,-24
1,116,147,137,132,148,-576,6136,15272,-54,477,13
1,116,145,137,132,148,-588,6056,15236,-30,479,106
1,116,147,137,132,148,-604,5976,15256,-40,459,98
1,116,145,137,132,148,-572,6024,15308,-65,457,29
1,116,147,137,132,148,-412,5860,15340,-55,579,-27
1,119,145,137,132,148,-692,5976,15340,-62,339,-45
1,116,145,135,132,148,-672,6036,15220,-70,446,-64
1,116,145,137,132,148,-564,6016,15268,-80,386,-57
1,116,145,138,132,148,-592,6028,15268,-76,464,-33
1,116,145,137,134,148,-576,6044,15296,-110,501,-8
1,116,147,138,132,148,-688,5976,15292,-98,437,31
1,116,145,137,134,148,-676,5948,15256,-142,429,63
1,116,145,138,132,148,-692,5924,15268,-128,405,63
1,116,145,137,132,148,-736,5960,15284,-130,343,82
1,119,145,138,134,148,-692,5952,15284,-120,322,94
1,116,145,138,134,148,-704,6036,15308,-128,263,136
1,-74,234,3,0,214,-2696,6548,14264,116,786,293
1,-74,234,5,-1,214,-2704,6808,14348,87,1083,219
1,-74,234,5,-1,214,-2632,6780,14392,212,1138,-151
1,-74,234,5,-1,212,-2656,6812,14304,272,1376,-121
1,-74,234,5,-1,214,-2508,6812,14112,477,1811,-250
1,-74,235,5,0,214,-2992,7100,14556,456,1993,-400
1,-77,232,3,-1,211,-3612,7308,14952,315,1507,-373
1,-74,232,3,-1,212,-3740,7172,14888,-9,1042,-348
1,-77,234,5,-1,212,-3356,7168,14492,-106,967,-207
1,-77,232,3,-1,212,-3204,6808,14204,-12,1028,12
1,-80,232,3,-1,212,-3216,6888,14244,91,1362,-113
1,-77,234,5,-1,212,-3496,7148,14348,69,1464,-69
1,-77,234,5,-1,212,-3712,6964,14376,98,1059,-48
1,-77,232,5,-1,212,-3584,6936,14448,-58,1343,-239
1,-77,234,5,-1,212,-4424,7256,14928,-159,871,-155
1,-77,232,5,-1,212,-4260,6956,14812,40,-63,64
1,-74,234,5,0,212,-3696,6800,14084,186,167,-22
1,-74,234,5,0,211,-3448,7104,13952,192,267,65
1,-74,232,5,0,212,-3448,7020,14012,124,331,19
1,-74,234,5,0,212,-3524,7208,14056,18,464,-9
1,-74,232,5,0,212,-3412,7100,14104,54,714,-152
1,-74,234,5,0,212,-3700,7340,14304,102,754,-210
1,-74,234,5,0,214,-3596,7332,14384,63,681,-147
1,-74,234,5,0,212,-3776,7116,14348,-5,428,-146
1,-74,234,5,0,212,-3456,7200,14244,-88,479,-186
1,-74,234,5,0,212,-3536,7292,14292,-138,569,1
1,-72,234,6,0,212,-3344,7016,14248,-73,576,-105
1,-74,234,5,0,212,-3272,6968,14356,15,725,-228
1,-74,234,5,0,212,-3476,7148,14400,-10,686,-156
1,-72,234,5,0,212,-3396,7188,14432,-37,650,-170
1,-72,232,5,0,212,-3500,7028,14408,82,557,-198
1,-74,234,5,0,212,-3524,7192,14540,49,490,-221
1,-74,234,6,0,212,-3744,7276,14500,-52,405,-199
1,-72,234,6,0,211,-3708,7392,14380,-189,239,-190
1,-72,234,6,0,212,-3608,7296,14192,-48,110,74
1,-72,234,6,1,212,-3512,7248,14100,-159,220,195
1,-72,234,6,1,212,-3596,7428,14120,-327,244,325
1,-72,234,6,0,212,-3568,7136,14220,-332,279,442
1,-72,232,6,0,212,-3456,6968,14088,-298,436,316
1,-72,234,8,1,211,-3448,7152,14248,-322,482,10
1,-72,234,6,0,212,-3540,6976,14268,-276,255,-206
1,-72,234,6,0,211,-3296,6912,14136,-238,323,-327
1,-72,232,8,1,212,-3400,7256,14120,-186,578,-352
1,-72,234,6,0,212,-3348,7344,14240,88,516,197
1,-80,234,6,1,212,-3988,7128,14812,-133,547,721
1,-74,232,8,1,212,-3772,7144,14624,-283,260,975
1,-72,234,6,1,212,-3404,6804,14152,-267,385,696
1,-72,232,6,0,212,-3604,6764,14496,-285,304,335
1,-72,234,6,1,212,-3644,6808,14468,-252,-7,-66
1,-72,230,8,1,211,-3296,6964,14076,87,-11,-206
1,-66,226,12,6,212,-3728,7132,14164,-176,297,116
1,-66,228,12,4,211,-3744,7092,14260,-170,382,148
1,-63,228,13,4,212,-3444,6956,14232,-126,507,-12
1,-66,228,10,4,212,-3708,6932,14400,-134,419,-60
1,-63,228,12,3,211,-3736,7024,14316,-88,337,-97
1,-66,228,12,4,212,-3624,7048,14320,-101,308,-101
1,-66,226,10,4,211,-3544,7084,14124,-129,408,21
1,-66,226,12,4,211,-3644,7284,14208,-192,466,89
1,-66,226,12,4,209,-3652,7096,14236,-144,611,152
1,-66,226,12,4,209,-3728,7164,14368,-86,585,155
1,-66,226,12,4,209,-3684,7100,14356,-164,445,144
1,-69,226,12,4,209,-3588,7180,14352,-76,351,-104
1,-66,226,12,4,211,-3660,7360,14268,-207,227,-63
1,-66,226,12,4,211,-3536,7124,14180,-156,447,-89
1,-66,226,12,4,209,-3704,6984,14120,-151,618,-35
1,-66,226,10,4,211,-3628,7876,14068,-370,575,54
1,-66,226,12,4,209,-3772,6716,14144,-400,810,621
1,-66,226,13,6,211,-4276,6692,14540,-243,948,556
1,-63,226,12,4,209,-4196,6844,14420,-207,625,457
1,-66,225,13,4,209,-4132,6748,14280,-217,461,143
1,-66,226,12,4,209,-4048,6716,14272,-58,229,-74
1,-69,226,12,4,211,-4180,6940,14276,-13,-27,-135
1,-66,226,12,4,209,-3796,7076,14044,36,26,-43
1,-66,226,12,4,209,-3908,7204,14192,22,321,168
1,-66,226,12,4,209,-3872,7192,14244,5,268,358
1,-66,226,12,4,209,-3764,7108,14284,-73,349,387
1,-66,226,12,4,209,-3796,7196,14340,-86,333,292
1,-66,226,12,4,209,-3852,7088,14388,-135,96,271
1,-66,226,12,4,209,-3648,6992,14288,-117,-8,125
1,-66,226,12,4,209,-3416,7032,13968,-35,-29,159
1,-66,226,12,4,211,-3348,7216,14176,13,382,242
1,-66,226,12,4,209,-3604,7152,14456,-63,345,345
1,-66,226,12,4,209,-3452,7196,14364,-66,349,246
1,-66,225,12,4,211,-3432,7176,14296,-37,454,260
1,-66,226,12,4,209,-3532,7088,14444,-175,336,131
1,-66,226,13,4,209,-3568,7072,14388,-76,233,-41
1,-66,226,12,4,209,-3292,7220,13932,33,352,-86
1,-66,225,13,4,211,-3712,7216,14264,-84,594,-95
1,-66,226,12,4,211,-3764,7208,14388,-77,382,-72
1,-66,225,12,4,209,-3716,7368,14156,-108,409,-121
1,-66,226,12,3,211,-3796,7320,14220,-226,365,23
1,-66,226,12,4,209,-3760,7128,14120,-216,412,16
1,-69,226,13,4,209,-3704,7132,14184,-186,431,32
1,-66,226,12,6,209,-3800,7224,14160,-208,402,51
1,-66,226,12,6,209,-3764,7020,14360,-178,386,146
1,-66,226,12,6,209,-3816,6956,14424,-149,410,54
1,-66,226,12,4,209,-4028,7056,14436,-210,154,88
1,-63,225,12,4,209,-3640,6872,14156,-189,229,-11
1,-63,225,12,4,209,-3692,7096,14372,-211,348,-55
1,-66,225,12,4,209,-3684,7124,14176,-235,22,86
1,-63,216,15,6,207,-3432,7052,14132,-181,355,-61
1,-60,216,15,8,206,-3548,6904,14308,-230,452,-146
1,-60,214,15,6,207,-3744,6900,14524,-222,422,-6
1,-60,216,15,8,207,-3816,6812,14460,-145,339,-18
1,-60,214,15,8,207,-3652,6700,14268,-145,436,3
1,-60,216,13,8,207,-3692,6732,14348,-195,494,-57
1,-63,214,15,6,206,-3716,6808,14380,-139,418,-83
1,-63,214,13,8,202,-3860,6684,14480,-79,454,-128
1,-63,214,15,8,206,-3908,6828,14332,-81,387,-2
1,-66,214,13,8,204,-3752,6796,14296,-6,447,-40
1,-60,214,15,8,204,-3876,7012,14492,-46,341,-57
1,-63,214,13,8,206,-3836,6968,14396,-78,100,-71
1,-63,214,15,6,206,-3612,7084,14160,-116,241,-108
1,-63,214,15,6,207,-3656,7052,14116,-188,379,-51
1,-63,214,15,6,204,-3736,6888,14412,-214,336,-50
1,-63,214,15,8,206,-3676,6932,14264,-99,156,89
1,-63,214,15,6,206,-3612,6744,14300,-81,459,74
1,-63,214,13,8,206,-3796,6832,14544,-81,356,123
1,-63,214,15,8,204,-3736,6712,14476,-41,213,-18
1,-63,214,15,6,206,-3700,6924,14528,-66,269,-73
1,-63,212,15,8,204,-3644,6972,14412,-108,218,-58
1,-63,212,13,6,206,-3716,6892,14396,-144,224,-38
1,-63,214,13,6,204,-3612,6872,14468,-124,312,-2
1,-63,214,15,6,206,-3368,7032,14400,-155,368,168
1,-60,214,13,6,206,-3436,6904,14244,-73,375,8
1,-60,214,15,8,206,-3620,6964,14344,-110,723,-74
1,-63,212,13,6,206,-3584,6952,14268,-107,572,-116
1,-63,212,15,8,206,-3964,7016,14356,-134,555,-80
1,-63,214,13,6,206,-3928,6956,14260,-113,484,39
1,-63,214,15,6,206,-4116,6944,14184,-162,567,11
1,-63,214,13,6,206,-4236,6832,14388,-179,420,49
1,-63,212,13,6,206,-4224,6824,14368,-173,329,-75
1,-63,214,15,6,206,-4156,6808,14260,-173,307,-79
1,-60,212,13,6,206,-4176,6848,14316,-252,289,-40
1,-60,212,15,6,206,-4100,6800,14404,-284,233,21
1,-60,214,15,6,204,-4040,6936,14404,-312,248,67
1,-63,214,15,6,206,-3988,6760,14364,-347,223,236
1,-63,216,13,6,206,-3956,6504,14572,-319,106,278
1,-60,214,13,6,206,-3660,6412,14432,-197,204,282
1,-63,212,13,8,204,-3620,6380,14596,-158,207,214
1,-63,212,13,8,206,-3576,6480,14640,-99,138,174
1,-60,212,15,8,206,-3508,6556,14632,8,49,123
1,-63,212,13,8,206,-3460,6756,14572,30,35,141
1,-63,212,15,8,206,-3156,6732,14332,32,219,102
1,-63,214,15,8,206,-3256,6948,14432,45,393,35
1,-63,214,17,6,204,-3360,6944,14452,53,331,183
1,-60,214,15,6,206,-3300,7028,14296,21,650,153
1,-63,214,13,6,206,-3528,7068,14592,4,708,192
1,-63,214,15,6,204,-3616,7000,14492,-33,490,2
1,-63,212,13,6,206,-3644,6996,14164,-33,550,-82
1,-58,212,15,6,206,-3748,6748,14396,-94,204,235
1,-60,214,17,8,206,-3732,6652,14500,-45,301,142
1,-60,214,17,8,206,-3676,6760,14456,-1,253,175
1,-60,214,17,8,206,-3716,6740,14356,-30,259,107
1,-60,212,17,8,206,-3664,6856,14388,4,340,74
1,-60,212,17,8,206,-3748,7008,14532,-52,346,54
1,-60,210,15,8,204,-3720,6820,14428,-93,316,77
1,-60,212,17,8,204,-3736,6840,14408,-104,282,43
1,-60,212,17,8,204,-3668,6836,14288,-61,297,11
1,-60,212,15,4,204,-3728,6828,14280,-37,362,3
1,-60,212,17,8,204,-3820,6968,14528,-82,399,60
1,-60,212,15,6,204,-3880,6808,14544,-86,308,138
1,-60,212,15,8,204,-3724,6804,14376,-100,333,152
1,-60,212,15,6,204,-3828,6756,14516,-124,321,167
1,-60,212,15,8,204,-3640,6716,14344,-99,305,141
1,-60,212,15,8,204,-3680,6816,14356,-35,398,25
1,-60,212,17,8,206,-3852,6784,14468,-126,272,-34
1,-60,212,15,8,204,-3736,6808,14436,-119,230,-1
1,-63,212,15,8,204,-3724,6852,14344,-121,385,30
1,-60,212,15,8,204,-3788,6784,14404,-125,363,83
1,-60,212,17,8,204,-3696,6804,14384,-150,358,141
1,-63,212,17,8,204,-3716,6768,14368,-93,393,114
1,-63,212,17,8,204,-3720,6780,14456,-85,438,82
1,-60,212,17,8,204,-3736,6796,14460,-85,294,101
1,-60,212,17,8,204,-3540,6608,14352,-47,473,-46
1,-60,212,15,8,204,-3800,6908,14584,-108,460,2
1,-60,212,15,8,204,-3696,6724,14436,-83,322,-3
1,-58,212,15,8,204,-3712,6796,14352,-48,492,-40
1,-60,212,15,8,204,-3728,6968,14404,-123,500,-28
1,-60,212,15,8,204,-3824,6824,14356,-98,386,8
1,-60,212,17,6,204,-3840,6920,14336,-85,411,-47
1,-60,212,15,6,204,-3952,6892,14316,-98,520,-24
1,-60,212,17,8,204,-3828,6840,14424,-179,419,-66
1,-60,210,17,6,204,-3872,6792,14504,-165,387,11
1,-60,210,15,8,204,-3708,6720,14320,-118,462,-17
1,-60,210,17,8,204,-3980,6880,14380,-126,374,119
1,-60,210,15,8,202,-3784,6596,14220,-84,232,143
1,-60,210,17,6,204,-3660,6744,14292,-64,551,24
1,-60,210,15,8,204,-3884,6668,14592,-80,436,5
1,-60,208,15,8,204,-3972,6724,14664,-95,214,43
1,-60,210,17,8,204,-3736,6776,14360,-62,234,19
1,-60,210,15,8,204,-3772,6808,14252,-54,322,44
1,-60,210,15,8,204,-3824,6724,14356,-7,286,83
1,-60,210,15,8,204,-3664,6788,14324,30,392,134
1,-60,210,15,8,204,-3792,6948,14324,13,515,155
1,-60,210,17,8,204,-3800,6880,14560,-16,450,129
1,-60,210,17,8,204,-3932,6856,14508,-32,352,117
1,-60,210,17,8,204,-3916,6992,14464,-106,248,52
1,-63,210,17,8,204,-3772,6852,14344,-148,234,41
1,-60,210,17,8,204,-3764,6872,14276,-172,322,-18
1,-60,212,17,9,204,-3832,6788,14392,-52,559,44
1,-60,212,17,9,206,-3996,6800,14476,-89,459,-58
1,-58,214,17,9,206,-4020,6756,14456,-132,416,-78
1,-60,212,17,9,204,-4192,6752,14448,-144,414,-130
1,-58,212,17,9,206,-4184,6696,14444,-136,308,-145
1,-60,212,15,9,204,-4040,6636,14280,-112,402,-231
1,-60,210,17,8,204,-4204,6672,14280,-116,356,-221
1,-60,210,17,8,204,-3944,6652,14200,-15,412,-246
1,-60,212,17,8,202,-4100,6728,14284,-76,548,-208
1,-58,210,17,9,204,-4396,6636,14452,-66,509,-57
1,-60,212,17,8,202,-4316,6608,14316,-34,390,51
1,-60,210,17,8,204,-4408,6592,14424,-56,441,111
