label,auriculaire,pouce,majeur,anuleur,index,acx,acy,acz,gyx,gyy,gyz
1,-5,140,190,42,220,-2088,4080,15524,115,104,-40
1,-8,138,190,40,219,-2048,4032,15736,60,324,-47
1,-8,138,190,40,217,-2040,4212,15804,-96,408,0
1,-8,138,190,40,219,-2120,4060,15932,-165,617,65
1,-8,138,188,40,219,-2264,4084,15988,-168,541,117
1,-8,138,190,40,219,-2296,4080,15988,-129,412,175
1,-8,136,188,40,219,-2304,3844,15736,-27,310,163
1,-11,138,190,40,219,-2252,3812,15748,38,416,47
1,-8,138,190,40,219,-2296,3736,15724,52,274,-160
1,-8,138,188,40,219,-2168,3540,15716,118,372,-407
1,-8,136,188,40,219,-2184,3336,15832,283,442,-829
1,-8,135,190,40,219,-2300,3428,15992,495,168,-1153
1,-8,138,190,40,220,-2288,3504,15956,576,123,-1434
1,-8,138,188,40,219,-2016,3452,15796,694,170,-1473
1,-8,138,188,40,219,-2464,3648,15880,676,-69,-1670
1,-8,138,190,40,219,-2284,3808,15568,633,-86,-1611
1,-5,138,188,42,219,-2108,3944,15736,468,226,-1437
1,-8,138,188,40,219,-2320,4284,15832,185,264,-820
1,-8,138,188,40,220,-2228,4248,15740,76,297,-167
1,-8,138,190,42,219,-2364,4264,15896,67,481,365
1,-8,138,188,40,219,-2352,4240,15824,157,602,833
1,-8,136,188,42,219,-2108,4156,15600,204,730,987
1,-8,138,188,40,219,-2560,4192,15656,114,690,884
1,-8,138,188,42,219,-2384,4160,15568,-63,342,585
1,-8,136,188,40,219,-2256,3988,15720,-198,388,269
1,-8,136,188,40,219,-2304,4104,15784,-228,390,58
1,-8,136,190,40,217,-2220,4084,15828,-286,290,-140
1,-8,138,188,42,219,-2300,3704,15604,-358,738,-438
1,-5,138,188,40,219,-1968,4004,15788,-237,457,-95
1,-5,136,188,42,217,-1872,4136,15500,-241,843,182
1,-5,138,188,40,217,-2180,4144,15520,-230,900,378
1,-8,138,188,42,217,-2000,4336,15400,-350,1195,358
1,-5,138,188,42,217,-2148,3936,15852,-405,1410,502
1,-5,140,186,42,217,-2176,3764,15772,-442,1497,420
1,-5,138,186,42,216,-2484,3524,16128,-489,1204,65
1,-5,140,186,42,214,-2576,3408,16184,-417,723,-238
1,-8,140,186,42,216,-2500,3416,16104,-504,284,-772
1,-5,140,186,43,214,-2396,3336,15840,-335,65,-1146
1,-5,138,186,42,216,-2568,3632,15792,-213,-121,-1093
1,-5,140,186,42,216,-2552,3824,15544,-80,-114,-761
1,-5,140,186,42,214,-2320,3912,15488,-124,254,-405
1,-2,138,188,42,216,-2424,4108,15756,-130,564,-41
1,-5,138,186,42,216,-2536,4248,15956,-160,705,256
1,-5,138,188,42,216,-2720,4208,15956,-132,828,522
1,-5,138,188,42,216,-2856,4000,15928,-68,680,644
1,-5,138,188,42,214,-2864,3912,15692,-133,494,517
1,-5,138,188,42,214,-2704,3912,15648,-175,370,373
1,-5,140,188,42,216,-2840,3876,15756,-276,-2,-33
1,-5,138,188,42,214,-2824,3756,15624,-301,-325,-337
1,-5,140,188,42,216,-2324,3880,15524,-337,-321,-466
1,-52,154,157,32,191,-3580,3232,16652,565,3527,393
1,-52,162,150,32,191,-3448,4924,18208,-24,3005,-368
1,-52,165,149,32,191,-4036,4300,17128,-398,1285,-272
1,-49,169,147,32,191,-3176,3384,16248,-396,781,-892
1,-52,171,147,32,191,-2988,3608,15604,-31,1000,-968
1,-52,171,147,32,191,-2960,3660,15568,92,147,-824
1,-52,171,147,32,189,-3248,3940,15040,25,-133,-742
1,-52,169,147,32,189,-3220,4156,15528,-313,-60,-797
1,-55,165,149,32,189,-3576,4228,16300,-942,-985,-768
1,-52,158,152,32,189,-3164,4420,15896,-1706,-1677,-1382
1,-52,147,154,32,189,-3116,4640,15216,-2203,-1663,-1940
1,-55,138,156,32,189,-2940,4232,15112,-2554,-2236,-2140
1,-55,131,161,30,189,-2432,3592,15148,-2277,-1635,-2143
1,-58,131,162,29,189,-2644,3928,15512,-1445,-1149,-1498
1,-60,129,168,29,189,-2964,3952,15856,-675,-1121,-915
1,-63,129,173,25,189,-2756,3832,16048,-505,-942,-431
1,-63,127,174,24,189,-2932,3976,15848,-492,-1212,-239
1,-66,127,178,24,189,-2400,3548,15936,-559,-1180,-369
1,-66,127,181,22,188,-2588,3456,15616,-543,-978,-650
1,-69,126,183,22,188,-2056,3400,15460,-774,-1129,-1027
1,-69,126,185,21,191,-1972,3260,15320,-739,-889,-1167
1,-72,124,186,17,189,-2368,3448,16464,-523,-463,-1271
1,-72,124,186,17,189,-2732,3540,16564,-309,-910,-1301
1,-74,124,186,16,191,-2644,3372,16128,-410,-1577,-1428
1,-74,122,186,16,189,-2484,3132,16000,-216,-1443,-1209
1,-72,120,188,16,191,-2256,3200,16132,-215,-1338,-1349
1,-74,124,188,16,189,-2692,3336,15592,-43,-1841,-1175
1,-74,122,188,16,191,-2312,3100,15556,-17,-1831,-1252
1,-74,122,190,16,191,-2788,3180,15908,-161,-1816,-1758
1,-74,122,188,14,191,-2980,3484,16476,-556,-2510,-1769
1,-72,124,188,14,193,-2852,3528,17092,-706,-3377,-1369
1,-74,122,188,14,193,-3184,3828,16496,-672,-4478,-940
1,-72,122,188,14,193,-3472,4012,16508,-1060,-5486,-341
1,-74,124,188,12,194,-2648,4400,16968,-2013,-6311,562
1,-72,124,188,12,194,-3120,4388,17216,-2466,-7559,1914
1,-72,124,190,12,196,-2116,3852,16568,-2350,-8039,3505
1,-69,122,190,12,196,-1004,3168,15856,-1627,-8200,5326
1,-69,122,190,11,198,-156,2168,15948,-895,-7534,6083
1,-69,122,190,11,198,-224,3416,15332,-512,-6389,6071
1,-69,124,190,11,198,688,3244,15652,-1403,-5949,5278
1,-66,124,192,11,199,1464,2648,15720,-1570,-4933,3949
1,-66,124,192,9,199,828,2372,15796,-1036,-4567,2300
1,-69,124,192,11,199,988,2376,14840,-374,-4683,574
1,-69,126,190,9,199,2088,2696,14596,-494,-3702,-403
1,-66,126,190,9,199,1972,2824,15584,-766,-2235,-1055
1,-66,124,192,9,199,1944,3044,15772,-841,-1415,-1010
1,-66,126,190,9,199,1788,3276,16300,-910,-678,-793
1,-66,126,192,9,201,1184,2904,16832,-491,-182,-1025
1,-66,126,192,9,199,876,3068,15896,-338,-249,-1009
1,-69,126,192,12,201,1736,3076,14456,-372,-364,-640
1,-52,129,185,25,196,560,2396,15856,-24,647,-40
1,-49,129,185,25,196,320,2400,16308,-87,939,-8
1,-52,129,186,25,196,16,2400,16620,-143,793,10
1,-49,129,185,25,194,-116,2384,16388,-164,335,261
1,-49,129,186,25,196,56,2040,16500,-26,411,136
1,-49,129,186,27,196,84,2304,16420,29,372,-19
1,-49,127,185,24,194,40,2180,16304,33,82,-182
1,-49,129,185,25,194,-20,2248,16016,143,272,-306
1,-49,129,185,22,194,240,2424,16020,128,402,-291
1,-49,129,185,25,194,-124,2288,16428,170,344,-138
1,-49,127,185,25,194,-48,2420,16456,215,375,103
1,-49,129,185,25,193,-248,2464,16516,296,161,353
1,-49,129,185,25,194,-132,2308,16340,339,56,492
1,-52,129,185,25,194,60,2340,16112,195,13,461
1,-49,127,185,25,194,112,2396,16304,5,167,233
1,-49,127,185,25,194,-176,2504,16452,-104,-17,49
1,-49,129,185,25,194,280,2436,16388,-90,-47,-69
1,-49,126,185,25,194,120,2312,16324,41,-318,-86
1,-49,129,185,25,194,712,2536,15836,-4,-3,46
1,-49,129,185,25,193,660,2508,16092,-4,282,208
1,-47,129,185,25,194,788,2696,16052,-100,537,288
1,-47,129,185,25,194,512,2580,16344,-141,645,278
1,-49,129,183,25,194,376,2524,16836,-178,556,228
1,-49,127,185,25,194,384,2424,16780,-146,127,172
1,-49,129,185,25,194,376,2448,16492,-75,-1,107
1,-47,129,185,25,194,420,2552,15932,-83,-41,231
1,-47,127,186,25,194,800,2420,15552,-243,507,185
1,-47,129,186,25,193,416,2532,16012,-372,887,275
1,-47,129,186,25,193,368,2308,16356,-480,1058,220
1,-47,129,185,25,194,84,2388,16616,-330,1034,190
1,-47,127,185,25,194,-124,2132,16736,-238,752,79
1,-47,129,185,25,194,-120,2248,16468,-147,535,-30
1,-47,129,185,25,194,-180,2300,16260,-122,318,22
1,-49,129,185,25,194,52,2188,15940,-112,470,54
1,-47,129,186,25,193,116,2140,15656,-199,562,4
1,-47,127,185,25,194,-12,2260,16164,-358,1205,-5
1,-52,129,185,25,194,-332,2188,16672,-374,905,-40
1,-47,129,186,25,193,-592,2116,16852,-178,630,-134
1,-47,127,185,25,193,-628,2164,16600,-51,243,-6
1,-49,129,185,25,193,-512,2180,16312,-39,71,67
1,-47,129,185,25,193,-412,1952,16220,88,30,219
1,-47,127,185,25,194,-232,2192,15872,54,-183,241
1,-47,127,185,25,193,280,2212,15928,-105,369,349
1,-47,127,185,25,194,-24,2300,16316,-218,321,276
1,-47,127,185,25,193,72,2088,16480,-170,394,279
1,-47,129,185,25,194,0,2356,16756,-8,240,341
1,-47,127,185,25,193,-128,2264,16844,135,112,672
1,-47,126,185,25,193,144,2148,16380,368,11,768
1,-47,124,185,25,194,104,1832,16100,487,-175,841
1,-49,122,185,25,193,696,2108,15832,426,350,578
1,-47,124,185,27,188,-276,2520,16248,-68,459,91
1,-47,126,185,25,188,-208,2352,16240,-129,417,141
1,-44,126,185,25,188,-204,2352,16184,-112,440,36
1,-44,126,185,27,188,-240,2376,16204,-120,529,69
1,-44,124,185,29,188,-400,2244,16448,-65,469,89
1,-47,126,185,27,189,-368,2436,16344,-11,331,62
1,-47,124,183,25,186,-468,2352,16372,30,202,153
1,-47,124,183,25,186,-260,2332,16080,24,33,113
1,-47,124,183,25,186,-232,2424,16080,8,331,78
1,-44,124,183,25,186,-232,2532,16232,-27,316,143
1,-47,124,185,25,186,-308,2520,16312,0,229,190
1,-47,124,183,25,186,-264,2608,16328,36,324,249
1,-47,126,183,25,186,-348,2572,16264,23,129,215
1,-47,124,183,25,186,-104,2524,16176,-9,116,203
1,-44,126,183,27,186,-204,2496,16380,-1,262,119
1,-47,126,183,25,186,-164,2472,16356,-3,161,120
1,-44,126,183,25,186,-188,2448,16092,31,63,86
1,-47,124,183,25,186,52,2648,16156,-84,355,3
1,-47,124,183,27,186,-80,2496,16388,-144,169,-39
1,-44,124,183,25,186,-76,2368,16224,-83,66,-92
1,-47,124,183,25,186,232,2476,16196,3,268,-58
1,-47,124,181,25,184,144,2600,16288,-46,326,15
1,-47,127,183,25,186,40,2540,16404,-53,305,53
1,-47,126,185,25,186,-16,2544,16240,43,243,129
1,-44,126,183,25,184,56,2644,16048,-12,328,222
1,-49,126,183,25,186,100,2652,16108,-63,591,294
1,-44,124,183,27,186,-124,2616,16344,-91,520,191
1,-44,124,183,27,186,-176,2612,16332,-58,419,210
1,-47,124,183,27,186,-28,2556,16068,-120,320,48
1,-47,126,183,25,186,-104,2564,16148,-176,390,-125
1,-44,126,183,27,186,-144,2404,16168,-265,279,-303
1,-47,124,183,25,184,-120,2564,16236,-232,417,-339
1,-44,124,183,27,186,-220,2596,16392,-157,365,-168
1,-47,124,183,25,186,-144,2652,16192,-78,274,72
1,-47,126,183,25,186,-160,2556,16236,-57,493,272
1,-52,126,183,25,186,-152,2468,16192,-56,395,455
1,-44,126,183,25,186,-152,2392,16256,-78,464,392
1,-44,124,183,27,184,-204,2320,16388,-128,565,127
1,-44,126,183,27,186,-276,2292,16608,-201,274,-155
1,-44,126,183,25,186,-244,2276,16480,-144,101,-324
1,-44,126,183,27,184,-244,2396,16284,0,34,-280
1,-44,124,181,27,186,-220,2436,16176,48,45,-68
1,-44,124,183,27,186,-100,2512,16084,71,131,101
1,-47,124,183,25,186,-52,2624,16004,13,315,358
1,-47,126,183,25,184,24,2452,16308,-50,436,400
1,-47,124,183,27,186,-92,2456,16412,-82,396,205
1,-47,124,185,27,186,-148,2356,16528,11,196,0
1,-47,126,183,25,184,-120,2480,16380,-2,85,-152
1,-44,126,183,25,184,-200,2484,16372,54,41,-130
1,-47,124,183,27,184,-200,2600,16348,147,-6,16
1,-44,126,183,27,186,-36,2508,16284,-104,362,-1
1,-44,127,183,29,188,-128,2492,16316,-111,379,27
1,-44,127,183,29,188,-16,2556,16168,-169,375,-10
1,-41,129,183,27,188,-228,2424,16420,-169,384,19
