label,auriculaire,pouce,majeur,anuleur,index,acx,acy,acz,gyx,gyy,gyz
1,141,106,120,123,121,10732,-9600,-8220,-25,385,152
1,144,108,120,123,119,10740,-9572,-8184,-28,355,127
1,144,104,120,123,121,10712,-9464,-8168,-27,376,137
1,141,106,120,123,119,10656,-9548,-8236,-59,321,119
1,144,106,121,120,119,10672,-9552,-8156,-49,273,175
1,144,108,120,123,119,10892,-9584,-8240,-31,284,125
1,146,106,120,124,119,10728,-9308,-8228,-75,278,310
1,146,106,121,123,121,10856,-9636,-8240,-7,302,403
1,146,106,121,123,119,10816,-9616,-8172,52,353,370
1,149,102,121,124,119,10756,-9460,-8236,53,381,478
1,149,108,120,123,119,10728,-9652,-8084,72,475,451
1,149,106,121,123,119,10960,-9640,-8220,32,443,414
1,149,106,121,124,119,10768,-9548,-8284,9,480,312
1,149,106,123,124,121,10716,-9700,-8072,-48,343,190
1,152,106,121,123,121,10648,-9652,-8124,-97,358,90
1,152,104,121,123,119,10688,-9616,-8104,-124,368,5
1,152,109,121,123,119,10684,-9620,-8108,-125,325,-21
1,152,104,121,123,119,10652,-9588,-8096,-138,291,10
1,152,104,121,123,119,10744,-9516,-8092,-157,285,87
1,152,106,121,123,119,10704,-9544,-8116,-163,292,108
1,152,106,121,123,121,10720,-9600,-8064,-127,267,165
1,152,106,121,123,119,10792,-9704,-8132,-78,292,169
1,152,106,121,123,119,10680,-9644,-8116,-61,291,167
1,152,108,116,124,119,10648,-9628,-8160,-54,341,150
1,155,108,121,123,119,10696,-9620,-8100,-77,359,122
1,152,106,121,124,119,10708,-9644,-8228,-85,307,52
1,155,106,123,124,119,10712,-9600,-8100,-111,295,26
1,152,106,121,123,119,10652,-9608,-8188,-122,298,-19
1,155,106,121,123,121,10684,-9608,-8156,-153,290,-33
1,152,106,121,123,119,10628,-9568,-8132,-202,322,-40
1,155,106,121,123,121,10704,-9620,-8164,-224,304,-13
1,152,108,123,123,119,10704,-9568,-8104,-199,276,-19
1,152,106,121,123,119,10716,-9684,-8196,-156,278,-13
1,155,108,121,123,121,10724,-9628,-8248,-171,307,-47
1,152,108,121,123,119,10720,-9608,-8244,-150,334,12
1,155,106,121,123,117,10704,-9644,-8216,-132,404,22
1,152,108,123,124,121,10652,-9624,-8188,-126,401,29
1,152,106,123,124,119,10712,-9648,-8184,-103,383,-3
1,152,106,121,123,119,10724,-9632,-8124,-84,376,17
1,152,106,121,123,122,10720,-9608,-8108,-86,365,-11
1,152,106,121,123,119,10656,-9572,-8132,-87,322,-20
1,152,106,121,123,121,10704,-9524,-8200,-95,314,-32
1,152,106,121,123,119,10728,-9540,-8156,-114,260,8
1,152,108,121,123,121,10748,-9560,-8224,-109,229,12
1,152,106,121,123,119,10700,-9544,-8236,-104,245,46
1,152,108,120,124,119,10772,-9664,-8204,-108,264,19
1,152,106,120,123,121,10700,-9680,-8248,-114,251,11
1,152,106,121,124,119,10768,-9624,-8176,-73,284,-27
1,149,106,121,123,121,10732,-9736,-8252,-67,317,-24
1,152,108,121,123,119,10768,-9552,-8264,-63,373,-24
1,138,106,121,123,119,10764,-9444,-8244,-154,434,115
1,135,108,118,123,119,10720,-9468,-8184,-171,456,113
1,135,108,120,123,119,10728,-9500,-8208,-166,409,91
1,135,111,118,123,119,10664,-9416,-8204,-173,364,89
1,135,106,120,123,119,10672,-9528,-8260,-224,353,100
1,135,106,118,124,119,10680,-9560,-8348,-203,306,141
1,135,106,120,123,119,10668,-9596,-8344,-191,301,181
1,135,106,120,121,119,10704,-9456,-8348,-172,346,193
1,135,106,120,121,119,10832,-9628,-8340,-141,407,201
1,135,108,120,123,119,10832,-9532,-8304,-108,444,146
1,135,108,120,123,121,10784,-9624,-8276,-92,461,147
1,135,106,118,121,119,10760,-9428,-8248,-93,462,149
1,132,108,118,121,119,10752,-9556,-8232,-120,471,173
1,132,106,118,123,121,10744,-9504,-8192,-139,484,138
1,130,108,118,121,119,10700,-9432,-8208,-145,500,134
1,135,106,120,123,119,10668,-9536,-8252,-174,450,122
1,135,106,120,123,119,10584,-9372,-8192,-231,382,67
1,138,108,118,120,119,10648,-9416,-8116,-275,380,91
1,127,106,118,123,119,10732,-9464,-8196,-283,380,135
1,135,106,120,123,117,10692,-9664,-8240,-279,359,180
1,135,108,118,121,119,10712,-9608,-8164,-240,403,178
1,135,106,120,121,121,10680,-9700,-8276,-206,412,163
1,135,108,120,121,119,10704,-9728,-8236,-170,447,198
1,135,108,118,121,121,10664,-9760,-8204,-100,443,137
1,135,109,121,123,119,10544,-9692,-8240,-101,432,95
1,135,106,118,123,119,10592,-9636,-8196,-58,374,65
1,132,106,118,123,119,10592,-9532,-8164,-27,320,11
1,132,108,118,123,119,10624,-9488,-8236,-49,271,-4
1,132,106,118,123,119,10716,-9428,-8212,-101,230,-7
1,138,106,118,121,119,10680,-9388,-8296,-147,225,12
1,135,108,118,121,119,10752,-9428,-8280,-168,221,-1
1,135,106,118,121,119,10848,-9428,-8244,-184,262,58
1,135,108,120,123,119,10848,-9420,-8304,-156,282,66
1,135,108,118,121,119,10788,-9472,-8272,-166,359,116
1,132,108,118,123,119,10792,-9452,-8224,-135,410,176
1,132,106,118,123,119,10684,-9428,-8208,-79,438,204
1,135,108,120,123,119,10656,-9420,-8148,-94,466,229
1,135,108,118,121,119,10604,-9424,-8052,-118,410,286
1,135,106,118,121,119,10592,-9516,-8132,-141,302,358
1,135,106,118,123,121,10620,-9604,-8176,-157,195,364
1,135,106,120,123,119,10684,-9684,-8188,-105,129,341
1,135,106,118,123,119,10664,-9852,-8208,-18,110,365
1,132,106,118,123,119,10608,-9944,-8212,128,127,250
1,132,106,118,123,119,10600,-9860,-8228,245,212,235
1,135,108,120,121,119,10484,-9800,-8188,359,179,217
1,135,106,120,121,119,10392,-9640,-8060,438,83,118
1,135,108,118,123,117,10444,-9468,-8144,430,-81,69
1,135,108,118,121,119,10616,-9264,-8216,400,-205,66
1,135,106,118,123,119,10784,-9236,-8336,238,-237,161
1,135,106,118,123,119,10804,-9216,-8508,63,-221,344
1,146,118,149,136,142,-1268,-6360,15884,75,522,221
1,149,120,147,136,140,-1072,-6336,15708,145,344,57
1,149,118,147,134,142,-976,-6280,15492,143,132,-154
1,149,118,147,136,140,-724,-6180,15192,-21,150,-276
1,149,118,149,136,140,-752,-6348,15164,-134,168,-326
1,146,117,147,134,140,-456,-6232,15096,-223,198,-395
1,146,118,149,134,140,-436,-6264,15240,-230,316,-387
1,146,118,147,134,140,-344,-6420,15284,-162,417,-445
1,146,118,147,134,140,-372,-6364,15472,-122,458,-432
1,146,118,147,134,140,-376,-6452,15432,1,512,-361
1,149,118,149,132,140,-364,-6400,15508,99,493,-323
1,149,118,147,134,140,-504,-6352,15476,152,402,-291
1,149,118,147,134,140,-528,-6288,15488,136,394,-324
1,146,118,149,134,140,-652,-6176,15464,43,316,-360
1,149,118,147,136,140,-700,-6136,15352,-2,237,-435
1,149,118,145,134,139,-632,-6076,15440,17,170,-487
1,149,118,147,134,139,-724,-6032,15376,-20,188,-505
1,149,118,147,134,140,-696,-5936,15332,9,135,-389
1,149,118,147,136,139,-600,-5944,15404,36,168,-259
1,149,118,147,136,140,-604,-5860,15452,-12,128,-101
1,152,118,147,134,140,-664,-5852,15508,-85,110,91
1,149,118,147,134,140,-648,-6040,15448,-102,42,212
1,149,117,147,134,140,-504,-6064,15428,-50,25,285
1,149,118,149,134,139,-436,-6044,15348,-45,-50,329
1,146,118,147,134,139,-336,-5984,15284,-128,-18,327
1,149,118,147,134,140,-332,-6008,15240,-170,46,365
1,146,118,147,134,140,-256,-6200,15280,-163,158,477
1,149,118,147,134,140,-228,-6196,15384,-41,245,459
1,149,118,147,134,140,-364,-6132,15376,44,205,588
1,149,118,147,134,139,-464,-6020,15412,67,305,684
1,149,118,147,134,139,-516,-5964,15460,22,287,694
1,149,118,145,136,140,-632,-6076,15416,-68,196,806
1,152,118,147,134,139,-496,-6192,15388,-163,145,695
1,149,118,147,134,139,-360,-6224,15292,-157,101,571
1,146,118,147,134,139,-136,-6412,15204,-126,87,435
1,149,118,147,136,139,-100,-6360,15316,-137,143,272
1,149,118,147,132,139,-140,-6348,15296,-148,196,171
1,149,118,147,134,139,-188,-6216,15280,-181,241,115
1,149,118,145,136,139,-212,-6284,15224,-246,316,-4
1,149,118,145,134,139,-352,-6300,15352,-236,284,-27
1,149,118,144,134,139,-384,-6180,15304,-303,314,-55
1,152,118,145,134,139,-516,-6268,15360,-314,321,12
1,149,118,145,134,139,-372,-6208,15252,-230,294,13
1,149,118,147,134,139,-520,-6104,15284,-173,247,52
1,149,118,145,134,139,-368,-6196,15260,-164,333,90
1,149,117,147,134,140,-340,-6152,15380,-172,347,95
1,146,118,145,136,139,-464,-6024,15520,-236,426,157
1,149,122,145,134,140,-236,-6176,15464,-253,423,176
1,149,118,147,136,139,-280,-6156,15316,-241,515,115
1,149,118,147,136,139,-156,-6228,15196,-233,514,129
1,138,131,130,124,119,-1740,-12796,11012,2797,-538,-41
1,138,131,130,126,121,-1128,-12492,11112,2757,-1219,-973
1,138,131,130,126,121,-564,-12252,10944,2771,-1074,-1212
1,138,129,130,126,121,-316,-11720,10860,2645,-870,-1270
1,138,127,132,126,122,-208,-11600,10596,2452,-498,-949
1,141,126,132,126,122,192,-11396,10564,2192,386,-555
1,138,126,132,126,122,-456,-11424,10668,1857,1073,-504
1,138,122,132,126,122,-44,-11164,10408,1676,1358,186
1,135,120,132,126,122,-2832,-14124,10324,1909,3098,-492
