label,auriculaire,pouce,majeur,anuleur,index,acx,acy,acz,gyx,gyy,gyz
1,243,163,20,30,22,-2204,5292,15328,-98,531,161
1,238,158,20,29,19,-2276,5412,15392,-166,562,292
1,238,160,22,30,19,-2304,5208,15416,-154,525,313
1,240,158,20,30,19,-2324,5156,15468,-67,400,310
1,238,160,20,29,21,-2200,5212,15452,-126,278,256
1,238,158,20,30,21,-2120,5100,15388,-94,262,166
1,238,160,20,30,19,-2048,5188,15416,-60,205,39
1,238,160,20,30,19,-1876,5208,15292,-74,280,-33
1,240,162,20,29,21,-1904,5252,15384,-2,366,14
1,238,160,20,30,21,-1960,5336,15416,-51,370,36
1,240,162,20,29,21,-1928,5412,15388,-67,478,93
1,240,160,15,30,21,-1940,5188,15400,-53,355,155
1,238,160,20,30,21,-2008,5228,15372,-57,351,38
1,240,160,22,34,21,-1924,5332,15304,-67,444,-30
1,238,158,22,32,26,-2020,5268,15308,-70,503,-152
1,238,158,24,30,21,-2100,5348,15292,-123,579,-110
1,240,160,18,30,21,-2100,5468,15316,-111,655,-63
1,240,160,18,30,22,-2232,5412,15304,-136,670,-36
1,238,160,20,30,18,-2388,5404,15408,-136,592,88
1,240,160,22,29,19,-2404,5376,15376,-98,459,106
1,240,160,20,30,21,-2384,5440,15380,-78,312,141
1,238,160,22,30,21,-2300,5408,15284,-85,302,107
1,240,160,20,30,21,-2332,5360,15284,-144,373,58
1,238,160,20,30,19,-2268,5300,15304,-120,355,-7
1,238,162,20,30,21,-2184,5428,15400,-180,383,-10
1,238,160,20,29,21,-2244,5312,15356,-161,313,7
1,240,163,20,29,19,-2124,5288,15364,-145,273,30
1,240,160,20,30,19,-2128,5240,15384,-176,329,121
1,240,160,20,30,21,-2080,5132,15376,-124,331,221
1,238,160,20,29,19,-2076,5256,15364,-119,416,224
1,238,162,15,30,19,-2120,5120,15328,-131,505,241
1,238,160,22,30,21,-2104,5120,15440,-91,501,170
1,238,160,22,30,21,-2152,5224,15464,-132,385,27
1,238,162,22,30,21,-2160,5224,15480,-80,326,-41
1,238,160,20,30,21,-2120,5208,15416,-80,293,-65
1,238,160,20,30,19,-2136,5180,15432,-90,249,-85
1,240,160,22,30,21,-2068,5228,15320,-47,270,-84
1,238,160,24,30,19,-2088,5368,15328,-24,366,-16
1,240,160,20,30,19,-2192,5348,15344,-34,399,93
1,238,162,22,30,19,-2124,5432,15336,-16,403,184
1,240,160,20,32,22,-2172,5376,15376,2,482,235
1,238,160,20,32,22,-2208,5408,15356,-82,395,235
1,238,160,22,29,21,-2164,5600,15328,-52,530,94
1,238,160,22,29,21,-2140,5032,15420,-57,260,61
1,240,160,22,32,21,-2180,5272,15340,-101,337,-66
1,238,162,22,30,21,-2156,5352,15376,-141,281,-82
1,238,160,20,30,21,-2132,5224,15324,-70,337,-66
1,240,162,24,32,21,-2308,5624,15416,-131,321,88
1,240,160,22,32,21,-2356,5132,15332,-77,324,204
1,240,160,22,30,21,-2152,5280,15344,-44,371,178
1,243,163,22,34,21,-2148,5288,15284,-64,350,78
1,243,165,24,35,21,-2224,5384,15308,-110,420,63
1,243,165,24,34,22,-2304,5252,15408,-63,350,14
1,249,165,18,34,21,-2216,5364,15360,-92,262,-47
1,243,165,20,34,22,-2184,5344,15328,-135,270,-26
1,243,165,15,35,14,-2240,5284,15360,-128,256,16
1,238,165,20,32,21,-2136,5400,15372,-131,292,95
1,240,163,20,32,21,-2048,5292,15248,-105,424,141
1,240,163,22,34,21,-2092,5260,15396,-79,432,206
1,240,163,22,34,21,-2112,5264,15392,-96,412,181
1,240,163,24,34,21,-2092,5328,15368,-86,457,189
1,240,162,20,32,21,-2256,5144,15492,1,291,70
1,240,162,22,34,21,-2116,5300,15352,-61,312,-55
1,238,163,20,35,24,-2212,5216,15352,-109,309,-39
1,240,163,22,32,21,-2252,5220,15364,-72,304,-129
1,240,163,24,34,22,-2200,5304,15312,-104,308,-97
1,240,163,24,34,21,-2208,5288,15356,-52,303,-21
1,240,163,22,32,16,-2180,5312,15424,-25,273,44
1,240,163,20,32,21,-2180,5368,15272,9,270,139
1,240,163,22,34,21,-2240,5360,15328,-29,305,142
1,240,163,22,34,21,-2172,5460,15348,-83,346,168
