label,auriculaire,pouce,majeur,anuleur,index,acx,acy,acz,gyx,gyy,gyz
1,0,99,138,53,193,912,-13496,9624,-108,319,13
1,-2,99,137,53,193,936,-13456,9548,-164,350,27
1,-2,99,137,53,193,848,-13536,9536,-182,354,34
1,0,99,137,53,191,852,-13600,9564,-179,309,98
1,0,99,137,51,193,852,-13688,9464,-204,241,104
1,0,99,137,53,191,940,-13688,9528,-246,218,54
1,-2,99,137,55,193,1080,-13756,9688,-190,161,-40
1,-2,99,138,53,193,1148,-13672,9584,-203,213,-109
1,0,99,137,51,191,1172,-13676,9624,-165,331,-36
1,-2,99,137,53,191,1100,-13728,9596,-133,386,-60
1,0,99,137,53,193,1164,-13724,9484,-143,487,72
1,-2,99,137,53,193,1068,-13740,9668,-90,606,133
1,0,95,137,53,193,996,-13864,9640,-82,547,116
1,0,99,137,53,193,868,-13824,9544,-23,565,153
1,-2,99,137,53,191,888,-13944,9520,21,585,150
1,0,99,137,53,191,724,-13892,9528,56,471,128
1,0,99,137,53,193,732,-13876,9444,106,370,44
1,0,99,137,53,191,944,-13644,9312,98,343,90
1,0,99,137,53,191,904,-13716,9344,25,289,94
1,0,97,137,51,193,1036,-13712,9456,94,316,-64
1,-2,99,137,53,191,1100,-13640,9368,70,380,-68
1,-2,99,137,53,193,1112,-13668,9576,78,518,-41
1,-2,99,137,53,193,1112,-13632,9528,102,522,-116
1,-2,99,137,53,193,1028,-13572,9500,113,572,-74
1,0,99,137,53,193,1016,-13624,9564,127,687,-72
1,-2,99,137,53,193,884,-13652,9712,131,459,-97
1,0,99,137,53,193,860,-13632,9668,71,430,-146
1,0,97,137,53,193,924,-13540,9564,71,395,-78
1,0,99,137,53,191,1104,-13648,9568,100,494,-89
1,0,97,137,53,191,1104,-13620,9532,155,561,-79
1,-2,99,137,53,191,1124,-13600,9612,176,687,-47
1,0,97,137,53,191,968,-13672,9664,209,758,-78
1,-2,99,137,53,193,844,-13668,9744,170,688,9
1,0,99,137,53,191,828,-13732,9824,205,564,11
1,0,99,137,53,191,780,-13788,9720,283,420,17
1,0,99,137,53,191,824,-13776,9588,251,345,28
1,0,99,137,53,193,884,-13668,9560,299,340,13
1,0,99,137,53,193,956,-13672,9592,386,358,-80
1,-2,97,137,53,193,972,-13376,9700,327,368,-131
1,-2,99,137,53,191,988,-13284,9804,268,341,-142
1,-2,99,137,53,191,1000,-13396,9860,257,422,-158
1,-2,99,137,53,193,1060,-13288,9796,234,480,-134
1,-2,99,137,55,191,1056,-13288,9772,253,564,-12
1,-2,99,137,53,191,912,-13364,9772,250,571,67
1,0,99,137,53,193,892,-13264,9716,174,470,124
1,-2,99,137,53,191,856,-13340,9752,141,453,43
1,0,99,137,53,191,852,-13156,9796,76,420,-101
1,0,99,137,53,193,940,-13092,9756,-9,477,-145
1,-2,99,137,53,193,956,-13152,9732,-34,558,-139
1,-2,99,137,53,193,876,-12996,9892,-100,562,-28
1,0,99,137,55,193,412,-13240,9904,-727,-75,44
1,0,100,138,55,193,348,-13264,9836,-729,-72,134
1,2,99,138,53,193,352,-13368,9900,-719,-47,183
1,0,99,137,55,193,344,-13392,9884,-702,-51,183
1,0,99,138,53,193,192,-13564,10092,-667,-117,128
1,0,99,138,55,193,244,-13492,10048,-727,-353,181
1,0,99,137,53,191,428,-13608,10092,-634,-408,75
1,0,99,137,53,191,496,-13788,10048,-524,-483,13
1,0,99,137,53,193,720,-13388,10084,-527,-340,-87
1,-2,99,138,53,193,688,-13620,10084,-476,-302,140
1,0,99,137,53,191,760,-13684,10212,-391,-63,297
1,0,99,137,53,191,684,-13896,10200,-216,198,406
1,0,99,137,53,193,408,-14020,10216,-38,372,437
1,0,99,137,53,191,236,-13896,10148,88,351,428
1,0,99,137,53,193,56,-13848,10012,119,157,533
1,0,99,137,55,193,184,-13912,9972,239,-46,443
1,-2,99,137,53,193,220,-13712,9852,318,-196,362
1,0,97,137,53,193,368,-13520,9888,352,-230,370
1,-2,99,137,55,193,504,-13284,9748,300,-257,352
1,0,99,137,53,191,636,-13212,9800,321,-82,402
1,0,99,135,53,191,488,-13120,9860,328,-16,427
