label,auriculaire,pouce,majeur,anuleur,index,acx,acy,acz,gyx,gyy,gyz
1,1138,135,132,129,157,-1624,4316,15808,-71,440,87
1,135,133,130,129,157,-1636,4344,15748,-36,379,76
1,135,133,132,129,155,-1644,4280,15708,-40,363,44
1,135,131,132,129,155,-1640,4324,15744,-53,367,5
1,135,133,132,129,153,-1632,4344,15772,-38,352,-24
1,135,133,132,129,155,-1644,4448,15720,-88,353,-9
1,135,133,132,131,155,-1612,4484,15744,-87,358,35
1,135,131,130,129,155,-1556,4412,15772,-60,346,81
1,135,131,130,129,155,-1600,4440,15732,-99,352,105
1,135,133,130,129,155,-1524,4384,15752,-91,332,118
1,135,133,130,131,155,-1476,4452,15692,-119,354,15
1,138,131,133,129,153,-1492,4444,15680,-107,351,-24
1,138,131,130,129,155,-1456,4388,15740,-104,334,-66
1,135,131,130,129,155,-1480,4432,15688,-121,400,-75
1,138,133,130,129,153,-1524,4428,15712,-114,425,-18
1,138,133,132,129,155,-1548,4392,15728,-119,431,46
1,135,133,130,129,155,-1556,4468,15756,-108,420,120
1,135,133,130,129,155,-1612,4380,15772,-87,434,139
1,135,131,132,131,155,-1668,4392,15724,-94,424,104
1,135,133,130,129,155,-1624,4352,15760,-104,396,64
1,138,133,132,129,155,-1640,4360,15748,-107,371,8
1,138,133,130,129,155,-1676,4408,15752,-105,350,-37
1,135,131,132,129,155,-1664,4360,15768,-118,363,-21
1,135,131,132,131,155,-1620,4456,15676,-109,331,6
1,135,133,132,129,155,-1548,4372,15792,-90,344,60
1,135,133,132,129,155,-1568,4388,15728,-93,309,106
1,135,133,132,129,155,-1524,4420,15696,-76,342,87
1,135,133,132,129,155,-1512,4440,15736,-106,354,75
1,135,133,132,129,155,-1512,4376,15748,-81,354,39
1,135,133,130,129,155,-1568,4416,15756,-98,378,-14
1,135,133,130,129,153,-1492,4344,15700,-101,371,-62
1,135,133,130,129,155,-1532,4380,15712,-118,408,-29
1,138,133,132,129,157,-1600,4412,15700,-108,446,-13
1,135,133,130,129,155,-1572,4364,15768,-122,422,52
1,135,133,130,129,155,-1640,4360,15744,-129,421,91
1,135,133,132,129,155,-1668,4364,15744,-82,422,113
1,135,133,130,129,155,-1716,4296,15784,-63,390,94
1,135,133,132,129,155,-1644,4316,15716,-65,357,69
1,135,133,132,129,155,-1660,4372,15788,-106,343,11
1,135,133,132,129,155,-1760,4380,15808,-80,330,-40
1,138,131,130,129,155,-1668,4448,15736,-97,279,-38
1,138,133,130,129,155,-1608,4456,15736,-89,266,17
1,135,133,130,129,155,-1584,4404,15700,-93,319,118
1,135,133,132,129,155,-1600,4376,15724,-97,348,194
1,135,133,130,129,155,-1564,4376,15736,-66,355,188
