label,auriculaire,pouce,majeur,anuleur,index,acx,acy,acz,gyx,gyy,gyz
1,35,163,39,42,44,3920,-14952,6296,-70,259,232
1,2,162,37,42,44,3952,-14936,6332,-72,231,201
1,2,162,37,43,44,3908,-14848,6356,-84,197,186
1,5,162,37,43,42,3924,-14884,6352,-105,156,152
1,5,162,37,43,44,3972,-14884,6412,-149,104,105
1,2,162,39,43,44,3992,-14920,6352,-140,130,130
1,2,162,39,43,44,3940,-14796,6404,-119,77,136
1,5,162,39,42,42,3996,-14816,6404,-145,1,113
1,5,162,39,43,44,4116,-14752,6368,-173,-39,50
1,5,162,37,43,44,4212,-14744,6232,-214,-41,11
1,5,160,37,43,42,4216,-14724,6220,-328,-33,-32
1,5,160,37,43,44,4280,-14780,6108,-377,-53,-74
1,5,156,37,43,44,4412,-14908,6076,-389,31,-200
1,5,154,37,43,44,4396,-15148,6096,-463,72,-273
1,5,153,37,43,44,4364,-15312,6208,-488,-207,-639
1,5,151,37,43,44,4456,-15308,6304,-369,209,-266
1,5,149,39,43,44,4512,-14940,6076,-522,529,-141
1,2,149,39,43,44,4380,-15172,6248,-390,678,-108
1,2,147,37,43,44,4300,-14912,6176,-351,781,-124
1,5,145,37,43,44,4136,-14908,6232,-295,717,-159
1,5,144,37,43,44,4156,-14712,6228,-393,910,-98
1,5,144,37,43,44,4072,-14812,6296,-341,794,-154
1,5,142,37,43,44,4020,-14668,6304,-401,727,-97
1,5,142,37,43,42,3960,-14860,6304,-373,618,-37
1,5,140,37,43,44,4084,-14820,6264,-353,472,36
1,5,140,37,42,44,3944,-14948,6220,-309,449,3
1,5,140,37,43,44,3952,-15052,6340,-200,345,57
1,2,138,39,43,44,3960,-15184,6224,-145,273,170
1,5,136,37,42,44,4088,-14936,6068,-215,266,137
1,5,135,39,43,44,4036,-15064,6208,-80,288,48
1,5,133,37,42,44,4088,-15132,6196,-68,181,6
1,5,133,39,43,44,4224,-14968,6120,-3,159,26
1,5,133,39,43,44,4336,-15040,6088,62,305,66
1,5,135,39,43,44,4328,-14856,6168,45,323,45
1,5,135,37,43,44,4276,-14796,6188,23,341,67
1,2,135,37,43,44,4296,-14856,6168,3,336,67
1,5,135,37,43,44,4228,-14688,6180,-30,376,37
1,5,136,37,42,44,4264,-14688,6200,-44,300,82
1,5,136,37,43,44,4260,-14736,6184,-73,319,126
1,5,136,39,43,44,4268,-14772,6204,-96,354,167
1,5,136,39,42,44,4156,-14892,6176,-108,420,252
1,5,136,37,42,44,4092,-15024,6196,-145,436,212
1,2,138,37,43,44,4064,-14980,6200,-120,401,175
1,2,138,37,43,44,4020,-14972,6212,-135,344,146
1,5,138,37,43,44,3996,-15080,6080,-170,285,123
1,5,138,37,43,44,4048,-14960,6060,-179,275,64
1,5,138,37,43,44,4068,-14904,6160,-200,223,31
1,5,138,37,42,44,4076,-14864,6100,-256,172,48
1,5,138,37,43,44,4136,-14892,6148,-261,204,18
