label,auriculaire,pouce,majeur,anuleur,index,acx,acy,acz,gyx,gyy,gyz
1,247,108,61,60,157,-17396,-5332,3904,-2034,6624,-4355
1,41,106,56,60,157,-17536,-4968,4788,-2256,6549,-3709
1,41,106,58,58,153,-18032,-4968,5544,-2954,5696,-3200
1,41,104,56,58,155,-18244,-5540,5568,-3401,4334,-2356
1,44,108,58,60,155,-18892,-6296,5676,-3672,3047,-1713
1,41,108,58,60,153,-18640,-7260,5504,-3657,1613,-1098
1,44,108,58,58,153,-18044,-7604,5232,-3482,485,-842
1,41,108,56,60,152,-17324,-7604,4360,-2950,-335,-694
1,47,108,56,58,152,-16804,-8000,3460,-2039,-1573,-547
1,44,108,58,60,152,-15676,-7360,2836,-866,-662,-30
1,44,108,56,60,153,-15300,-7104,3264,-927,-934,-1253
1,41,106,53,56,152,-15136,-6856,3828,-1438,-482,-1828
1,41,106,56,58,152,-15104,-6824,4076,-1868,-315,-2434
1,41,106,54,58,152,-14792,-6692,4200,-1989,-185,-3252
1,41,106,56,58,150,-14500,-6428,3896,-2052,182,-3925
1,41,106,54,56,150,-14728,-5884,3256,-1771,1061,-3436
1,36,104,53,55,148,-14580,-5740,3096,-1498,1240,-3674
1,36,102,53,55,147,-14636,-5856,3392,-1048,1789,-2898
1,36,104,53,55,147,-14748,-5688,3360,-675,2271,-2143
1,36,104,53,55,148,-14804,-5596,3360,-497,2656,-1617
1,36,104,54,56,148,-15164,-5556,3284,-566,2301,-653
1,38,104,54,56,148,-14600,-5708,3188,-568,2137,228
1,38,106,54,56,150,-14368,-5920,3392,-1124,2896,511
1,38,106,54,56,150,-14412,-6212,3508,-1709,3386,656
1,38,106,53,56,150,-14456,-6684,3224,-2026,3593,665
1,41,106,54,56,150,-14580,-7084,2804,-2031,3572,632
1,38,106,54,56,150,-14332,-7504,2672,-1837,3773,238
1,38,106,54,58,152,-14352,-7556,2564,-1815,3675,-378
1,38,106,54,56,152,-13856,-7476,2500,-1933,3653,-1532
1,38,106,53,56,152,-13616,-7336,2452,-2261,4195,-3021
1,36,108,53,55,152,-13572,-7172,2352,-3021,4628,-4521
1,36,106,51,55,152,-13756,-6808,2244,-3993,4660,-5144
1,36,106,51,55,152,-13724,-4892,2340,-4327,4956,-4760
1,36,106,51,55,152,-13964,-7016,2256,-5254,4536,-4735
1,33,106,49,53,150,-14244,-6572,2376,-5584,4521,-4317
1,36,106,49,53,150,-14604,-6716,2424,-5403,4750,-4055
1,30,108,49,51,150,-14964,-6640,2388,-4755,4935,-4003
1,27,106,48,51,148,-15260,-6368,2708,-4386,4132,-4671
1,27,106,48,51,147,-14652,-6508,2992,-4345,2826,-5832
1,27,108,46,50,145,-13884,-6632,2684,-4026,1741,-7096
1,24,106,46,51,144,-13500,-7412,2404,-3236,584,-8896
1,27,106,48,50,142,-12460,-8148,1672,-1989,-469,-11383
1,27,108,48,50,140,-10992,-8880,1296,-819,-788,-14870
1,27,106,48,50,139,-10660,-10028,1116,265,-945,-19687
1,30,108,49,51,139,-11256,-10120,644,-133,-2166,-24840
1,30,106,49,51,135,-11276,-10620,-120,-1963,-2766,-29926
1,27,108,51,53,135,-11432,-10976,548,-4229,-3240,-32768
1,36,108,49,53,132,-11600,-12076,1504,-5559,-4827,-32768
1,36,108,51,51,130,-11404,-13208,2544,-5756,-7309,-32768
1,38,109,53,56,129,-10804,-13352,3348,-5504,-10547,-32768
1,33,115,51,53,142,-10412,-13080,-2612,-797,968,562
1,36,115,51,53,142,-10508,-13220,-2716,-779,964,563
1,36,115,51,53,142,-10696,-13476,-2648,-625,839,532
1,36,115,49,55,142,-10720,-13624,-2740,-452,807,525
1,36,115,49,53,142,-10848,-13652,-2720,-232,652,473
1,36,115,51,53,142,-10840,-13692,-2796,3,476,400
1,36,115,51,53,142,-10784,-13608,-2712,211,321,384
1,36,115,49,53,140,-10720,-13424,-2636,375,32,269
1,36,115,48,53,140,-10556,-13168,-2640,499,-180,75
1,36,113,51,53,140,-10236,-12984,-2828,589,-255,16
1,36,115,49,51,140,-10124,-12684,-2904,603,-315,-203
1,36,115,49,53,140,-9980,-12560,-3052,477,-346,-440
1,36,115,51,53,140,-9808,-12340,-3168,389,-173,-348
1,36,115,49,53,142,-9736,-12296,-3168,300,32,-145
1,36,115,49,50,140,-9792,-12252,-3088,206,106,-49
1,36,115,49,53,140,-9772,-12224,-3136,151,246,18
1,36,115,51,53,140,-9820,-12308,-3028,125,344,170
1,36,113,49,53,140,-9872,-12212,-2916,53,414,251
1,36,113,49,51,140,-9896,-12220,-2892,-56,447,241
1,33,115,49,53,140,-9844,-12284,-2776,-233,579,228
1,36,115,49,53,140,-9980,-12380,-2832,-298,779,200
1,36,115,49,53,140,-10100,-12576,-2736,-264,875,260
1,36,115,49,53,140,-10312,-12632,-2576,-324,921,274
1,36,115,51,53,140,-10276,-12756,-2648,-359,825,365
1,36,115,49,53,140,-10348,-12980,-2676,-315,817,400
1,36,115,49,53,140,-10448,-13092,-2608,-218,760,419
1,36,115,49,51,140,-10544,-13112,-2624,-129,679,298
1,36,115,51,53,140,-10560,-13192,-2696,-119,584,190
1,36,115,49,53,140,-10604,-13084,-2652,-95,502,152
1,36,115,49,55,140,-10588,-13104,-2712,-33,415,146
1,36,115,49,53,140,-10584,-13128,-2680,57,335,143
1,36,115,49,53,142,-10416,-13012,-2760,102,170,95
1,36,113,49,53,140,-10248,-13016,-2836,206,167,116
1,36,115,49,53,142,-10140,-12888,-2808,286,191,0
1,36,115,49,53,142,-10100,-12692,-2860,260,164,-20
1,36,115,49,53,142,-10132,-12704,-2808,301,147,-18
1,36,115,49,51,142,-10156,-12660,-2720,317,108,-83
1,36,115,49,51,142,-10104,-12528,-2820,313,30,-47
1,36,115,49,53,142,-10040,-12496,-2900,271,113,245
1,36,115,49,53,142,-10092,-12540,-2884,206,218,361
1,36,115,48,51,144,-10176,-12576,-2780,123,234,398
1,36,115,51,53,144,-10172,-12580,-2824,86,349,489
1,36,115,49,53,145,-10316,-12744,-2636,64,375,419
1,36,117,49,53,144,-10460,-12724,-2656,98,237,278
1,36,115,49,53,144,-10412,-12756,-2636,165,150,266
1,36,117,49,53,144,-10316,-12736,-2536,172,30,192
1,36,117,49,53,145,-10364,-12532,-2572,118,-29,29
1,33,115,49,53,145,-10256,-12644,-2652,93,43,-23
1,36,115,49,51,145,-10236,-12696,-2676,66,121,5
1,30,117,51,53,145,-10328,-12704,-2656,9,184,65
1,2,111,46,35,135,-13564,-9860,-1544,-87,237,-46
1,5,109,48,37,135,-13528,-9856,-1512,-83,167,-135
1,5,111,48,37,135,-13424,-9828,-1488,-67,102,-189
1,8,111,46,37,134,-13396,-9728,-1480,-126,91,-237
1,8,109,48,38,135,-13268,-9716,-1524,-128,21,-104
1,8,109,48,40,134,-13156,-9704,-1588,-147,-16,7
1,5,108,48,38,132,-13264,-9628,-1576,-182,-26,-3
1,11,108,46,40,132,-13168,-9592,-1588,-184,1,111
1,8,108,48,40,134,-13196,-9620,-1556,-249,2,143
1,11,106,48,40,134,-13232,-9728,-1476,-216,18,206
1,11,106,48,40,132,-13300,-9704,-1420,-268,-19,95
1,13,108,48,42,134,-13220,-9828,-1432,-285,-220,165
1,13,108,48,42,134,-13120,-9808,-1532,-256,-159,122
1,13,106,48,42,132,-13116,-9752,-1508,-254,-179,170
1,13,106,48,42,134,-13208,-9772,-1528,-127,-163,212
1,13,106,49,42,132,-13124,-9820,-1488,-120,134,231
1,13,106,48,42,135,-13340,-9860,-1324,2,-104,282
1,13,106,48,42,134,-13400,-9688,-1472,-113,-202,175
1,13,104,48,42,134,-13468,-9868,-1564,-51,-196,133
1,13,104,48,42,134,-13244,-9884,-1392,-48,-145,216
1,13,108,49,43,135,-13308,-9732,-1412,-71,-41,259
1,16,104,48,42,134,-13364,-9856,-1448,-107,24,200
1,13,104,48,43,134,-13364,-9840,-1352,-52,78,239
1,16,104,49,42,135,-13368,-9772,-1456,-79,74,301
1,16,104,49,42,135,-13276,-9852,-1492,-23,31,329
1,16,104,48,43,135,-13344,-9716,-1420,-17,86,295
1,16,104,49,42,135,-13344,-9680,-1348,18,118,275
1,13,104,49,43,135,-13340,-9744,-1308,6,58,204
1,16,104,49,42,135,-13396,-9760,-1252,-10,52,179
1,13,104,49,42,137,-13372,-9632,-1356,7,-57,190
1,16,104,48,42,135,-13248,-9672,-1488,50,-83,172
1,16,104,48,42,137,-13156,-9572,-1448,44,16,153
1,16,106,49,43,137,-13180,-9520,-1448,-37,142,220
1,16,106,48,42,137,-13108,-9552,-1396,-46,271,246
1,16,106,48,43,137,-13216,-9508,-1312,-39,413,198
1,16,106,49,42,137,-13276,-9444,-1236,-91,448,208
1,16,106,49,43,137,-13344,-9576,-1276,-135,319,203
1,16,106,48,43,137,-13364,-9648,-1344,-42,275,134
1,16,106,49,43,137,-13380,-9576,-1360,-75,228,-11
1,16,104,49,43,137,-13436,-9644,-1380,-144,216,64
1,16,106,48,42,135,-13436,-9736,-1340,-138,265,110
1,16,106,48,43,137,-13316,-9692,-1328,-139,236,41
1,16,106,48,43,137,-13328,-9708,-1216,-111,176,72
1,16,106,48,43,137,-13240,-9700,-1320,-94,248,103
1,16,106,49,43,137,-13356,-9668,-1292,-86,292,97
1,16,106,48,43,137,-13304,-9748,-1300,-63,370,135
1,16,106,48,43,137,-13308,-9704,-1320,-61,367,147
1,16,106,49,43,137,-13240,-9796,-1320,-17,387,203
1,16,106,49,43,137,-13300,-9760,-1200,65,438,231
