label,auriculaire,pouce,majeur,anuleur,index,acx,acy,acz,gyx,gyy,gyz
1,1127,153,114,132,171,-3096,2624,15916,-89,191,-498
1,124,151,113,131,170,-3140,2720,15924,-80,123,-507
1,124,151,113,131,170,-3112,2596,15904,-86,150,-444
1,124,151,113,131,171,-3100,2652,15908,-36,124,-327
1,121,151,111,131,170,-2960,2972,15852,-31,116,-270
1,121,151,113,131,171,-3044,2668,15856,-63,190,-79
1,121,151,111,131,170,-3072,2712,15972,-138,202,-47
1,124,151,113,131,171,-3148,2600,15916,-56,170,-142
1,124,151,113,131,170,-2976,2760,16000,-118,179,-217
1,124,151,113,131,170,-3116,2628,15968,-86,123,-233
1,124,151,113,131,170,-3064,2696,15892,-43,134,-172
1,121,151,111,131,171,-2992,2776,15960,-61,201,-82
1,124,151,111,132,170,-3012,2712,15892,-62,273,65
1,124,149,111,129,170,-2928,2724,15812,-67,303,115
1,124,151,113,131,171,-3056,2712,15948,-95,334,100
1,121,151,111,131,170,-3044,2664,16000,-84,297,-1
1,124,151,113,131,170,-3044,2644,15956,-110,366,-125
1,124,151,113,131,171,-3112,2656,15932,-89,301,-273
1,124,153,113,131,170,-3084,2644,15892,-119,211,-420
1,124,151,111,131,171,-3072,2780,15956,-118,193,-416
1,124,151,111,131,170,-2976,2700,15924,-108,206,-322
1,124,149,113,131,170,-2996,2812,15948,-112,195,-194
1,124,149,113,131,171,-2932,2836,15888,-136,234,-29
1,124,151,113,131,171,-2908,2732,15920,-152,365,144
1,121,149,113,131,170,-3024,2624,15992,-153,367,173
1,121,151,113,131,170,-2964,2580,16004,-184,455,146
1,124,151,111,131,170,-3040,2508,15948,-123,399,25
1,124,149,111,131,170,-3084,2544,15988,-143,333,-186
1,121,151,111,131,170,-3016,2536,15932,-83,300,-229
1,124,151,111,131,170,-3116,2572,15900,-78,315,-164
1,124,151,111,131,171,-3040,2696,15936,-39,278,-53
1,124,149,111,131,170,-2980,2712,15964,-42,345,99
1,124,151,111,131,170,-3080,2684,15976,-93,414,236
1,124,151,111,131,170,-3088,2648,15908,-114,394,191
1,124,149,111,131,171,-3000,2700,15924,-136,377,43
1,121,151,111,131,170,-3124,2584,15928,-142,371,1
1,124,151,111,131,170,-3060,2604,15976,-107,372,-155
1,121,151,113,131,170,-3076,2804,15956,-103,322,-220
1,124,151,113,131,171,-3072,2700,15892,-112,273,-158
1,121,151,113,131,170,-3048,2656,15972,-113,368,1
1,124,151,111,131,171,-3124,2696,15972,-110,327,143
1,124,151,111,131,170,-3068,2628,16012,-126,362,258
1,124,151,111,131,171,-3120,2608,16016,-134,315,241
1,121,151,111,131,171,-3052,2532,16040,-67,264,-147
1,124,151,111,131,170,-2960,2772,16052,-144,206,-209
1,124,149,111,131,171,-2864,2648,15896,-227,216,-240
1,124,151,109,131,171,-2860,2640,15916,-161,348,-262
1,124,151,111,131,170,-2884,2700,15940,-96,294,-170
1,124,151,111,131,170,-2828,2676,16044,-126,369,39
1,124,151,111,131,170,-2924,2712,15956,-188,389,128
1,-36,223,22,22,199,-948,1776,16296,7,684,-248
1,-36,223,17,22,199,-740,2124,16256,27,894,67
1,-33,223,18,21,199,-932,1932,16256,92,864,232
1,-33,223,20,22,198,-1236,1888,16484,86,649,87
1,-33,223,22,21,198,-1288,1892,16324,147,386,-87
1,-33,223,22,22,196,-1196,2044,16116,203,409,-294
1,-33,221,22,22,196,-1608,2020,16348,254,346,-219
1,-36,221,22,21,196,-1232,2188,16260,295,256,-453
1,-30,221,20,21,196,-1240,2588,16216,211,248,-384
1,-36,221,20,21,196,-1452,2656,16252,-35,299,-70
1,-33,221,22,22,196,-1404,2516,16336,-79,161,141
1,-36,221,22,22,194,-1288,2484,16192,-161,221,302
1,-33,221,22,22,196,-1668,2000,16412,-121,66,337
1,-33,221,22,21,198,-1584,2260,16360,-167,-153,76
1,-33,221,20,22,196,-1336,2140,16372,-242,-430,118
1,-36,223,20,22,196,-1148,1828,16276,-237,-426,-228
1,-33,221,22,22,198,-1044,1848,16260,-115,-359,-376
1,-33,221,20,22,196,-712,1920,16120,7,-108,-428
1,-33,223,22,22,196,-940,1868,16312,131,-68,-455
1,-33,221,20,21,196,-916,2224,16180,134,74,-320
1,-33,221,20,22,196,-952,2112,16268,63,142,-110
1,-33,221,20,22,196,-1104,1948,16312,3,218,-17
1,-33,221,20,22,196,-1176,2080,16304,8,157,64
1,-33,221,20,22,196,-1076,2132,16328,27,59,175
