label,auriculaire,pouce,majeur,anuleur,index,acx,acy,acz,gyx,gyy,gyz
1,88,178,54,76,49,19376,-3480,-1344,2557,15427,-5646
1,85,176,51,74,47,19044,-3448,-968,2621,15351,-5505
1,85,180,51,74,47,19248,-3916,-364,2658,15701,-5791
1,138,217,70,95,62,19408,-3544,-184,2936,16159,-5679
1,83,183,53,72,47,19500,-3064,24,2814,16525,-6170
1,69,171,48,64,40,19472,-3240,-200,3318,17096,-6486
1,63,169,48,58,36,19704,-3064,196,3778,18100,-8235
1,55,167,48,60,32,18368,-2948,996,4981,18559,-9331
1,49,165,48,56,31,17336,-2484,2568,5307,18100,-9469
1,47,165,48,55,31,17316,-1688,2768,5087,17609,-10130
1,47,167,48,55,31,16596,-888,3172,4654,17884,-10350
1,55,178,54,60,36,16836,-76,3876,4189,17581,-9971
1,69,194,65,68,44,15780,-372,4336,3892,17404,-9442
1,69,194,63,66,44,15536,-580,4424,3753,17033,-9318
1,60,190,61,63,42,15664,8,5172,3623,17073,-9530
1,55,189,60,61,44,15384,200,5640,3361,17034,-9122
1,72,203,66,68,52,14780,84,5628,3162,17175,-8589
1,77,208,72,71,55,14348,584,6732,3159,17310,-7759
1,80,216,72,74,60,13092,640,7208,3144,16436,-6626
1,88,223,77,74,62,12648,484,7320,3416,15939,-5849
1,85,221,75,72,60,12520,772,7716,3645,15242,-5496
1,74,214,70,69,57,12300,960,7864,3750,14819,-4756
1,69,208,68,64,57,11736,668,7956,3832,14274,-4151
1,63,205,65,61,54,11652,632,8052,3826,14120,-4216
1,60,205,63,61,54,11120,840,8104,3904,14044,-4129
1,66,207,65,61,54,10748,1268,8532,3895,13926,-3894
1,60,207,63,58,52,10464,1532,8808,3812,13707,-4057
1,60,205,63,60,52,9500,1636,9204,3869,12952,-3869
1,63,210,63,60,57,8992,1840,9320,3760,11945,-3320
1,52,199,58,55,50,8736,2180,9404,3565,11075,-2533
1,55,207,58,55,54,8224,2296,9392,3463,10387,-1461
1,52,201,56,53,50,7864,1856,9188,3510,9894,-617
1,47,201,53,53,52,7992,1784,9204,3796,10125,19
1,44,198,53,48,49,7676,1924,9516,4169,9735,443
1,41,196,51,47,47,7164,2220,9764,4265,9034,952
