label,auriculaire,pouce,majeur,anuleur,index,acx,acy,acz,gyx,gyy,gyz
1,136,122,46,37,127,13048,-8892,-4108,142,310,-272
1,36,120,44,35,127,13108,-8972,-4088,193,325,-88
1,36,120,44,37,126,12968,-8984,-3996,246,314,96
1,36,118,44,35,126,13064,-9160,-3960,271,277,179
1,36,120,44,37,127,13084,-9392,-3936,301,280,163
1,36,122,44,37,126,13132,-9464,-4004,337,270,70
1,36,120,44,37,129,12928,-9416,-3960,290,199,-22
1,36,120,44,35,126,12804,-9652,-4036,386,73,-35
1,36,122,44,37,126,13144,-9592,-4092,432,78,-148
1,36,120,44,38,127,13380,-9584,-4096,431,188,-291
1,36,120,44,37,127,13036,-9384,-4032,294,279,-821
1,36,120,42,35,127,13672,-9296,-4272,419,160,-815
1,36,120,41,37,127,12988,-9376,-4192,654,-532,-801
1,36,120,36,35,126,13516,-9652,-4440,1167,-657,-426
1,36,120,32,37,127,13552,-9648,-4576,1463,-1045,-370
1,36,122,29,37,127,13744,-9296,-4332,1342,-903,-523
1,36,122,27,35,127,13716,-8820,-4300,876,-744,-1035
1,36,122,25,34,127,13084,-8468,-4116,858,-405,-782
1,36,124,24,32,129,13080,-9072,-4060,1062,-345,-606
1,33,126,24,30,130,13148,-9120,-4016,1227,-481,-548
1,27,127,22,27,132,13424,-8984,-4156,1284,-37,-230
1,24,127,20,25,132,13612,-9092,-4272,1131,306,-494
1,22,129,20,24,134,13544,-9212,-4244,1084,784,-765
1,19,129,18,22,135,13548,-9364,-4080,1263,1290,-866
1,16,129,20,22,135,13576,-9168,-4148,1250,1198,-848
1,13,131,18,21,135,13276,-9000,-3804,1295,1340,-838
1,13,131,18,19,137,11220,-9060,-1156,1131,-466,-2534
1,8,133,18,17,137,13444,-8856,-3804,882,1520,-1287
1,8,133,17,16,137,13072,-8508,-3724,679,1622,-1197
1,2,133,17,16,137,13220,-8452,-3440,602,1981,-1259
1,-2,133,15,12,137,13140,-8636,-3384,598,2532,-1117
1,-5,133,13,9,137,13268,-8960,-3464,660,2773,-963
1,-11,133,12,8,137,13360,-8616,-3492,905,2955,-647
1,-19,131,10,6,135,13384,-8996,-3472,1301,2768,-336
1,-22,133,10,4,137,13532,-9108,-3304,1756,2870,-10
1,-27,133,8,3,137,13548,-9036,-3512,2073,2821,182
1,-30,133,8,3,137,13652,-8916,-3468,2280,3108,389
1,-38,133,8,1,137,13848,-9276,-3588,2263,3373,409
1,-38,133,6,0,137,14584,-9380,-3432,2311,4387,47
1,-44,133,8,0,135,14396,-9204,-3456,2436,4919,-282
1,-47,133,6,-1,135,14596,-9124,-3168,2369,6344,-991
1,-49,131,5,-3,135,13680,-8916,-2792,2103,6531,-1161
1,-55,131,5,-4,134,13784,-8676,-2312,1812,6844,-1472
1,-60,131,5,-6,135,13240,-8456,-2436,1643,6390,-1373
1,-63,131,5,-8,134,13576,-8720,-2304,1401,6411,-1438
1,-66,131,3,-8,134,13392,-8776,-1896,1234,5801,-1514
1,-69,131,3,-9,132,13168,-8592,-1604,1264,5330,-1476
1,-72,133,1,-9,132,13680,-8916,-1340,1256,5185,-1589
1,-74,131,1,-11,132,13240,-8832,-1476,1236,4801,-1736
1,-77,133,0,-12,132,13928,-9128,-1476,1252,4840,-2147
1,-52,113,27,11,108,11472,-12000,560,-579,877,70
1,-52,113,27,11,108,11532,-12032,436,-617,882,80
1,-52,113,27,9,109,11500,-11996,512,-633,938,90
1,-52,113,25,9,108,11496,-11968,488,-648,978,129
1,-52,113,27,9,109,11420,-12056,632,-652,1016,152
1,-52,113,27,11,109,11404,-12036,652,-653,1075,159
1,-49,113,27,9,109,11432,-12084,684,-684,1074,161
1,-49,115,27,11,109,11408,-12072,720,-678,1054,156
1,-49,115,29,11,111,11388,-12004,684,-679,1048,116
1,-49,115,29,11,111,11364,-12116,648,-668,1036,93
1,-52,115,29,11,112,11436,-12104,712,-694,1004,17
1,-49,115,27,11,111,11412,-12132,716,-701,970,-11
1,-49,115,27,11,111,11384,-12092,716,-681,975,-12
1,-49,115,29,11,112,11480,-12080,748,-713,957,-59
1,-49,115,27,11,111,11420,-12036,744,-696,943,-72
1,-49,115,27,11,112,11348,-12048,712,-717,985,-59
1,-52,115,27,11,112,11416,-11956,704,-707,1000,-43
1,-49,117,29,11,112,11368,-12036,700,-722,993,-30
1,-47,117,29,12,114,11396,-12068,724,-708,1016,44
1,-49,117,29,12,114,11388,-12016,792,-725,1049,63
1,-49,117,29,12,114,11328,-12100,688,-702,1002,38
